pollster,end_date,approve,disapprove,n,rating,lean
InsiderAdvantage,2025-01-20,56.0,39.0,800,1.0,R
Ipsos,2025-01-21,47.0,41.0,1077,2.3,
SoCal Strategies,2025-01-21,49.0,36.0,742,1.3,
Big Data Poll,2025-01-22,55.5,37.4,2979,1.2,R
AtlasIntel,2025-01-23,50.1,49.7,1882,2.2,
RMG Research,2025-01-23,57.0,39.0,3000,1.3,R
Quantus Insights,2025-01-23,54.0,40.0,1000,1.0,R
Research Co.,2025-01-24,50.0,46.0,1001,1.8,
Echelon Insights,2025-01-24,51.0,43.0,1024,2.0,R
Morning Consult,2025-01-26,52.0,44.0,2303,2.0,
Ipsos,2025-01-26,45.0,46.0,1034,2.3,
Morning Consult,2025-01-27,52.0,38.0,0,2.0,
McLaughlin & Associates,2025-01-27,52.0,43.0,1000,1.0,R
Quinnipiac University,2025-01-27,46.0,43.0,1019,2.7,
Gallup,2025-01-27,47.0,48.0,1001,2.4,
co/efficient,2025-01-28,52.0,47.0,1570,1.0,R
Emerson College,2025-01-28,48.5,41.2,1000,2.5,
YouGov,2025-01-28,49.5,44.5,1577,2.3,
ActiVote,2025-01-31,52.0,45.9,1182,1.2,
RMG Research,2025-01-31,53.0,43.0,4000,1.3,R
TIPP Insights,2025-01-31,46.0,41.0,1478,1.5,
Fabrizio Ward/Impact Research,2025-02-01,48.0,47.0,3000,1.3,
Pew Research Center,2025-02-02,47.0,51.0,5086,2.8,
Navigator Research,2025-02-03,49.0,47.0,1000,1.8,D
Quantus Insights,2025-02-03,52.0,45.0,1000,1.0,R
Morning Consult,2025-02-03,49.0,47.0,0,2.0,
YouGov,2025-02-04,47.0,45.5,1423,2.3,
Civiqs,2025-02-04,45.0,52.0,1113,2.2,D
Marquette University Law School,2025-02-05,48.0,52.0,1063,2.9,
Cygnal Political,2025-02-05,49.8,47.6,1500,1.4,R
RMG Research,2025-02-06,51.0,45.0,3000,1.3,R
Clarity Campaign Labs,2025-02-06,48.0,43.0,1102,1.3,
YouGov,2025-02-07,53.0,47.0,2175,2.3,
J.L. Partners,2025-02-09,46.0,40.0,1017,1.8,
Morning Consult,2025-02-09,49.0,49.0,0,2.0,
