race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
AK-SEN,15575539,8501665,0,6094872,8303687,0,15476.0,3017435.0
AL-SEN,83341,3787330,0,-10011,627788,0,3019.0,17094132.0
AR-SEN,2269114,6233117,0,863578,9931885,0,0.0,2510176.0
CO-SEN,8119380,138597,0,2083870,50021,0,510004.0,0.0
DE-SEN,3940137,70152,0,4705684,38004,0,0.0,0.0
FL-SEN,14595387,10802230,0,7307305,8421236,0,26675.0,545860.0
GA-SEN,77279766,7409350,0,42587451,2079981,0,886293.0,1568662.0
IA-SEN,6276527,10217845,0,2362314,6749491,0,11513181.0,3883175.0
ID-SEN,8642,3357516,692245,1051,3535956,194226,0.0,0.0
IL-SEN,5906599,2459890,0,1107958,1512424,0,10437456.0,11068156.0
KS-SEN,3678710,3943411,0,2597698,5326447,0,0.0,227327.0
KY-SEN,1099509,9981055,0,309623,2305546,0,8306596.0,6980575.0
LA-SEN,1983548,6210122,0,479104,1427072,0,10861766.0,12093658.0
MA-SEN,4848657,1498561,0,2227617,726604,0,0.0,1482275.0
ME-SEN,0,16169827,0,0,11038115,0,86250.0,2629499.0
MI-SEN,12222407,10582463,0,2730129,5723827,0,1174412.0,23044602.0
MN-SEN,6044163,4669609,0,1565604,2080632,0,86106.0,5514766.0
MS-SEN,2384921,3825455,90225,847046,2535896,632,471544.0,98645.0
MT-SEN,58829,1984861,3238151,21485,1450719,977779,4700046.0,2483229.0
NC-SEN,34975789,11272504,0,20717567,3461698,0,46380.0,7097104.0
NE-SEN,0,11233507,5751951,0,6910970,2421487,201261.0,1732682.0
NH-SEN,13371607,3662252,0,5183321,2672646,0,130636.0,3645658.0
NJ-SEN,18869341,27316,0,23060940,123,0,0.0,0.0
NM-SEN,5626629,33525,0,4396754,11850,0,0.0,0.0
OH-SEN,38566234,14360028,0,16229741,9419311,0,20600.0,8605576.0
OK-SEN,52402,9953579,0,254,2491910,0,0.0,2379644.0
OR-SEN,4540974,120760,0,6828404,28980,0,0.0,0.0
RI-SEN,3126485,163439,0,3642761,2745,0,0.0,0.0
SC-SEN,10804040,0,0,4119295,0,0,0.0,145756.0
SD-SEN,228295,3176451,782050,3078,2736664,51406,0.0,565848.0
TN-SEN,1502,7010097,0,669,5649494,0,0.0,746984.0
TX-SEN,68555930,9248699,0,21548155,1755783,0,31374436.0,3791205.0
VA-SEN,17651762,341219,0,16154714,51419,0,0.0,0.0
WV-SEN,22447,4624145,0,12552,4377201,0,0.0,337585.0
WY-SEN,19576,2023908,0,1689,963842,0,0.0,113461.0
AK-GOV,0,0,0,0,0,0,0.0,0.0
AL-GOV,0,13792994,0,0,0,0,0.0,0.0
AR-GOV,0,0,0,0,0,0,0.0,0.0
AZ-GOV,6534592,1923723,0,0,0,0,0.0,0.0
CA-GOV,11283904,12875324,0,5129836,1724547,0,0.0,0.0
CO-GOV,6951032,2935521,84692,0,0,0,0.0,0.0
CT-GOV,0,0,0,0,0,0,0.0,0.0
FL-GOV,2814312,65627327,0,0,0,0,0.0,0.0
GA-GOV,2665880,73526815,0,0,0,0,0.0,0.0
HI-GOV,0,0,0,0,0,0,0.0,0.0
IA-GOV,9572747,163603,0,0,0,0,0.0,0.0
ID-GOV,136953,2057743,0,0,0,0,0.0,0.0
IL-GOV,25619035,2166962,0,3141018,127990,0,0.0,0.0
KS-GOV,0,0,0,0,0,0,0.0,0.0
MA-GOV,0,0,0,0,0,0,0.0,0.0
MD-GOV,0,0,0,0,0,0,0.0,0.0
ME-GOV,0,0,0,0,0,0,0.0,0.0
MI-GOV,5958887,4492470,0,0,0,0,0.0,0.0
MN-GOV,7053950,1001473,0,3859683,11704,0,0.0,0.0
NE-GOV,0,0,0,0,0,0,0.0,0.0
NH-GOV,606192,3694856,0,0,0,0,0.0,0.0
NM-GOV,13910580,987856,0,0,0,0,0.0,0.0
NV-GOV,4285307,2275075,0,0,0,0,0.0,0.0
NY-GOV,16594119,13445025,0,0,0,0,0.0,0.0
OH-GOV,10552470,25555956,0,0,0,0,0.0,0.0
OK-GOV,0,0,0,0,0,0,0.0,0.0
OR-GOV,0,0,0,0,0,0,0.0,0.0
PA-GOV,34960533,2545436,0,0,0,0,0.0,0.0
RI-GOV,0,0,0,0,0,0,0.0,0.0
SC-GOV,753609,62585,0,0,0,0,0.0,0.0
SD-GOV,0,0,0,0,0,0,0.0,0.0
TN-GOV,0,0,0,0,0,0,0.0,0.0
TX-GOV,8589462,71434049,0,3002416,67461299,0,0.0,0.0
VT-GOV,0,0,0,0,0,0,0.0,0.0
WI-GOV,13951,1,0,0,0,0,0.0,0.0
WY-GOV,0,5226,0,0,0,0,0.0,0.0
AK-01,0,0,0,0,0,0,0.0,0.0
AL-01,55423,1065922,0,15347,438428,0,0.0,0.0
AL-02,1295921,1300076,0,655662,449417,0,100000.0,2055970.0
AL-03,60787,2133554,0,9462,2590964,0,3435.0,0.0
AL-04,15591,1022664,0,396,749660,0,0.0,0.0
AL-05,646512,1477819,0,169720,1424334,0,0.0,0.0
AL-06,15899,1011566,0,2787,257661,0,0.0,131018.0
AL-07,1933864,0,0,3768636,0,0,0.0,0.0
AR-01,65149,944302,0,11958,1031631,0,0.0,0.0
AR-02,1174414,4421510,0,191398,2967541,0,0.0,418058.0
AR-03,120526,1871761,0,5951,2404276,0,0.0,0.0
AR-04,5853,2562973,0,907,4668447,0,0.0,0.0
AZ-01,1830193,2525520,0,401745,794475,0,155688.0,3243753.0
AZ-02,3519760,9481428,0,1910990,2841745,0,510040.0,40754.0
AZ-03,1435713,0,0,549683,0,0,0.0,0.0
AZ-04,2117114,564641,0,2020289,341651,0,422716.0,0.0
AZ-05,134852,1851302,0,6933,46776,0,0.0,0.0
AZ-06,7354599,6172867,0,3260752,4135163,0,17093.0,0.0
AZ-07,2285639,224367,0,427977,11399,0,817317.0,195587.0
AZ-08,209358,1206361,0,190394,384185,0,0.0,0.0
AZ-09,354383,580042,0,25745,303214,0,0.0,0.0
CA-01,1827711,1488906,0,152606,332899,0,474065.0,0.0
CA-02,978277,0,0,1075956,0,0,0.0,0.0
CA-03,1250126,258139,0,1830338,16000,0,0.0,0.0
