code,incumbent_party,open,note
AL-01,,1,Barry Moore (R) retiring to run for US Senate; seat open
AZ-01,,1,"David Schweikert (R) retiring; ran for AZ governor, lost GOP primary to Biggs"
AZ-05,,1,"Andy Biggs (R) retiring; won the AZ GOP gubernatorial primary (2026-07-21), not seeking House reelection"
CA-06,IND,0,"Kevin Kiley re-registered independent/NPP to run in the redrawn CA-06 after California's Prop 50 remap pushed him out of CA-03; the model files him in the rep slot with rep_party=IND (eifc-core.js documents this shape by name). Verified 2026-08-28 against multiple 2026 sources (Ballotpedia, The Hill, NPR, CBS Sacramento) - published IND is CORRECT, not an error; the brief's claim that it was wrong was itself the mistake."
CA-07,DEM,0,Doris Matsui (D) running for reelection; CA_SAME_PARTY inc1=True in build_candidates.py
CA-11,,1,Top-two same-party race with no incumbent per CA_SAME_PARTY inc1=False (Scott Wiener is not the sitting member)
CA-26,,1,Julia Brownley (D) retiring at end of term; seat open
CA-38,,1,"Linda Sanchez (D) redistricted to CA-41; verified no sitting incumbent runs in the new CA-38 (Hilda Solis is a former 2001-2009 member and LA County Supervisor, not a current House member); Ballotpedia and CalMatters both call it an open seat"
CA-48,,1,Darrell Issa (R) retiring at end of term; seat open
CO-01,,1,Diana DeGette (D) lost the 2026-06-30 Democratic primary to Melat Kiros; not on the general ballot
CT-01,,1,John Larson (D) lost the Democratic primary to Luke Bronin on 2026-08-11; not on the general ballot
FL-02,,1,Neal Dunn (R) retiring at end of term; seat open
FL-07,,1,Cory Mills (R) lost the Republican primary to Ryan Elijah (2026-08-18) amid House Ethics/DOJ investigations; not on the general ballot
FL-11,,1,Daniel Webster (R) retiring; seat open
FL-16,,1,Vern Buchanan (R) retiring at end of term; seat open
FL-19,,1,Byron Donalds (R) retiring to run for FL governor; seat open
FL-22,,1,"Lois Frankel (D) redistricted to FL-23 under the 2026 DeSantis-led mid-decade remap; new FL-22 is a newly drawn seat with no incumbent (FloridaPolitics, localcandidates.org)"
FL-24,,1,Frederica Wilson (D) retiring at end of term; seat open
GA-01,,1,Buddy Carter (R) retiring to run for US Senate; seat open
GA-10,,1,Mike Collins (R) retiring to run for US Senate; seat open
GA-11,,1,Barry Loudermilk (R) retiring at end of term; seat open
GA-13,,1,"David Scott (D) died 2026-04-22; Jasmine Clark won the Democratic nomination for the full 2026 term but is a Georgia state legislator, not the sitting member (a separate special election to finish Scott's term was won by Everton Blair); seat open"
IA-02,,1,Ashley Hinson (R) retiring to run for US Senate; seat open
IA-04,,1,Randy Feenstra (R) retiring to run for IA governor; seat open
IL-02,,1,Robin Kelly (D) retiring to run for US Senate; seat open
IL-04,,1,"Jesus ""Chuy"" Garcia (D) retiring at end of term; seat open"
IL-07,,1,Danny Davis (D) retiring at end of term; seat open
IL-08,,1,Raja Krishnamoorthi (D) retiring to run for US Senate; seat open
IL-09,,1,Jan Schakowsky (D) retiring at end of term; seat open
KY-04,,1,Thomas Massie (R) lost the Republican primary to Trump-backed Ed Gallrein (2026-05-19); not on the general ballot
KY-06,,1,Andy Barr (R) retiring to run for US Senate; seat open
LA-05,,1,Julia Letlow (R) retiring to run for US Senate; seat open
LA-06,,1,Cleo Fields (D) not seeking reelection after Louisiana v. Callais eliminated his majority-Black district; running for a state Senate seat instead; seat open
MA-06,,1,Seth Moulton (D) retiring to run for US Senate; seat open
MD-05,,1,Steny Hoyer (D) announced 2026-01-08 he will not seek reelection; seat open
ME-02,,1,Jared Golden (D) retiring; verified open seat
MI-10,,1,John James (R) retiring to run for MI governor; seat open
MI-11,,1,Haley Stevens (D) retired to run for US Senate (lost primary); seat open
MI-13,,1,Shri Thanedar (D) lost the Democratic primary to Donavan McKinney on 2026-08-04; not on the general ballot
MN-02,,1,Angie Craig (D) retiring to run for US Senate; seat open
MO-06,,1,Sam Graves (R) announced 2026-03-27 he will not seek reelection; seat open
MT-01,,1,Ryan Zinke (R) retiring at end of term; seat open
NC-11,,1,Chuck Edwards (R) withdrew from reelection after a House Ethics Committee finding on his conduct; seat open
NE-02,,1,Don Bacon (R) retiring at end of term; seat open
NH-01,,1,Chris Pappas (D) retiring to run for US Senate; seat open
NJ-12,,1,Bonnie Watson Coleman (D) retiring at end of term; seat open
NV-02,,1,Mark Amodei (R) retiring at end of term; seat open
NY-07,,1,Nydia Velazquez (D) announced she will not seek reelection; seat open
NY-10,,1,Dan Goldman (D) lost the Democratic primary to Brad Lander on 2026-06-23; not on the general ballot
NY-12,,1,Jerry Nadler (D) retiring at end of term; seat open
NY-13,,1,Adriano Espaillat (D) lost the Democratic primary to Darializa Avila Chevalier on 2026-06-23; not on the general ballot
NY-21,,1,Elise Stefanik (R) ended her NY governor bid 2025-12-19 and announced she will not seek House reelection; seat open
OK-01,,1,Kevin Hern (R) retiring to run for US Senate; seat open
PA-03,,1,Dwight Evans (D) announced he will not seek reelection in 2026; seat open
SC-01,,1,"Nancy Mace (R) running for SC governor, not on the House ballot; seat open"
SC-05,,1,"Ralph Norman (R) retiring to run for statewide office (governor, then US Senate); seat open"
SD-01,,1,Dusty Johnson (R) retiring to run for SD governor; seat open
TN-05,,1,Andy Ogles (R) lost the Republican primary to Charlie Hatcher on 2026-08-06; not on the general ballot
TN-06,,1,John Rose (R) retiring to run for TN governor; seat open
TN-09,,1,Steve Cohen (D) retiring at end of term due to redistricting; seat open
TX-02,,1,Dan Crenshaw (R) lost the Republican primary to Steve Toth on 2026-03-03; not on the general ballot
TX-08,,1,Morgan Luttrell (R) retiring at end of term amid the 2025 TX mid-decade redistricting; seat open
TX-09,,1,"Al Green (D) was redrawn into TX-18 under the 2025 TX remap and lost the 2026-05-26 Democratic runoff there to Christian Menefee (30.6%-69.4%); not on any November 2026 ballot. New TX-09 Dem nominee is Leticia Gutierrez, not a sitting member. (Corrects fix-round-1 report; verified via CNN, Houston Public Media, Texas Tribune, CBS News, NBC News.)"
TX-10,,1,Michael McCaul (R) retiring at end of term; seat open
TX-19,,1,Jodey Arrington (R) retiring; seat open
TX-21,,1,Chip Roy (R) retiring to run for TX Attorney General; seat open
TX-22,,1,Troy Nehls (R) retiring at end of term; seat open
TX-23,,1,Tony Gonzales (R) resigned 2026-04-14; seat vacant pending a special election; no verified incumbent on the 2026 general ballot
TX-30,,1,"Jasmine Crockett (D) ran for US Senate instead of re-election, losing the 2026-03-03 Democratic Senate primary to James Talarico; not on the TX-30 ballot. Rev. Frederick Haynes III won the TX-30 Democratic primary outright (72.6%) to succeed her; not a sitting member. (Corrects fix-round-1 report; verified via KERA News, Fox4, CBS Texas, The Intercept.)"
TX-32,,1,"Julie Johnson (D), redrawn out of a competitive TX-32, ran instead in neighboring TX-33 and lost the 2026-05-26 Democratic runoff to Colin Allred; not on any November 2026 ballot for TX-32. New TX-32 Dem nominee is Dan Barrios, not a sitting member. (Corrects fix-round-1 report; verified via Ballotpedia News, Texas Tribune, KERA News, Spectrum News.)"
TX-33,,1,"Marc Veasey (D), whose TX-33 was redrawn away from Fort Worth/Tarrant County toward Dallas, is not seeking re-election here (briefly filed for Tarrant County judge in Dec 2025, withdrew that too, and is simply serving out his current term); the new TX-33 nomination instead went to Colin Allred (D), who left the House after the 2024 cycle to run for Senate and is not a current sitting member. (Corrects fix-round-1 report; verified via WFAA, Texas Tribune, Ballotpedia News, Dallas News, The Hill.)"
TX-35,,1,"Greg Casar (D) was redrawn out of TX-35 (over 90% of his constituents moved) and is running instead in the new TX-37, where he already appears as the resolved DEM incumbent in races_summary.csv; TX-35's new Dem nominee (from its own runoff) is not a sitting member. (Corrects fix-round-1 report; verified via The Texan, KUT, The Hill, San Antonio Report, thenationaldesk.com.)"
TX-38,,1,Wesley Hunt (R) retiring to run for US Senate; seat open
UT-01,,1,"Blake Moore (R) redistricted to UT-02; the new (Solid Dem) UT-01 under the court-ordered map has no sitting incumbent - Ben McAdams is a former 2019-2021 member, not current; seat open"
WA-04,,1,Dan Newhouse (R) retiring at end of term; seat open
WI-07,,1,Tom Tiffany (R) retiring to run for WI governor; seat open
WY-01,,1,Harriet Hageman (R) retiring to run for US Senate; seat open
CA-01,REP,0,"James Gallagher (R) won the 2026-06-02 special election outright (majority, no runoff needed) to serve the remainder of the late Doug LaMalfa's term, and is the sitting member; he and Mike McGuire (D) also advanced from the regular 2026 primary to a November general rematch for the full term. Verified via Press Democrat, NBC News, CBS Sacramento, abc10.com, Yahoo News. Corrects the coordinator's own initial guess that this looked open."
CA-14,,1,"Top-two same-party race per CA_SAME_PARTY in build_candidates.py: {party: DEM, c1: Aisha Wahab, c2: Melissa Hernandez, inc1: False} - inc1=False means no incumbent is running, same pattern as CA-11."
CA-25,DEM,0,"Raul Ruiz (D), sitting member since 2023, running for re-election; advanced from the 2026-06-02 primary to the November general. Verified via GovTrack, Ballotpedia, ruiz.house.gov."
CA-31,DEM,0,"Gil Cisneros (D), sitting member since 2025, running for re-election; advanced to the November general. Verified via GovTrack, Ballotpedia, khq.com."
FL-01,REP,0,"Jimmy Patronis (R) won the 2025-04-01 special election after Matt Gaetz resigned (2024-11-13) and never returned to Congress; Patronis is the sitting member and is running for a full term in 2026 against the same Democratic opponent, Gay Valimont, he beat in the special. He resigned as FL CFO to take the House seat and is not seeking that office in 2026. Verified via Wikipedia special-election page, WUWF, ms.now, joinjimmy.com."
