code,state,chamber,district,vap_total,vap_white_pct,vap_black_pct,vap_hisp_pct,vap_asian_pct,vap_native_pct,vap_pac_pct,vap_minor_pct
AK-H-33,AK,lower,33,13168.0,75.21,3.65,5.45,4.43,9.91,0.91,24.79
AK-H-34,AK,lower,34,11444.0,77.47,3.09,5.65,3.94,8.13,0.65,22.53
AK-H-27,AK,lower,27,12906.0,76.96,1.99,4.3,3.05,12.4,0.99,23.04
AK-H-39,AK,lower,39,11123.0,11.99,0.75,1.19,1.54,85.1,0.35,88.01
AK-H-14,AK,lower,14,13896.0,52.1,7.0,8.06,13.61,16.13,4.56,47.9
AK-H-24,AK,lower,24,18188.0,73.21,4.98,8.3,4.41,7.94,0.82,26.79
AK-H-5,AK,lower,5,14734.0,56.08,1.97,6.08,18.44,17.15,1.19,43.92
AK-H-31,AK,lower,31,15285.0,55.28,8.78,7.19,7.09,21.27,1.38,44.72
AK-H-1,AK,lower,1,13770.0,59.22,1.38,3.67,8.14,27.62,0.71,40.78
AK-H-3,AK,lower,3,12219.0,71.81,1.65,4.71,6.5,15.25,1.58,28.19
AK-H-8,AK,lower,8,16466.0,81.32,1.12,2.92,2.33,10.84,0.59,18.68
AK-H-11,AK,lower,11,13858.0,66.37,4.04,6.51,11.31,11.17,1.51,33.63
AK-H-13,AK,lower,13,15789.0,54.03,6.24,8.53,14.29,14.96,4.23,45.97
AK-H-16,AK,lower,16,13566.0,63.47,3.7,6.2,12.59,12.1,2.79,36.53
AK-H-19,AK,lower,19,12563.0,33.98,12.64,12.38,16.04,18.78,10.09,66.02
AK-H-21,AK,lower,21,14583.0,55.4,9.76,6.88,11.41,14.31,4.58,44.6
AK-H-23,AK,lower,23,12208.0,76.8,3.54,6.36,4.71,7.87,0.8,23.2
AK-H-26,AK,lower,26,12180.0,78.23,2.08,4.4,3.09,11.01,0.94,21.77
AK-H-29,AK,lower,29,15767.0,80.61,1.35,3.6,2.56,10.4,0.53,19.39
AK-H-32,AK,lower,32,13282.0,61.53,10.21,12.98,5.7,8.19,1.41,38.47
AK-H-35,AK,lower,35,13983.0,72.77,3.62,4.7,4.73,13.61,0.53,27.23
AK-H-36,AK,lower,36,16496.0,64.07,1.26,3.02,2.2,28.62,0.53,35.93
AK-H-40,AK,lower,40,13165.0,26.06,2.15,4.15,4.67,61.96,2.35,73.94
AK-H-30,AK,lower,30,18110.0,78.92,1.68,2.99,2.15,12.86,0.83,21.08
AK-H-25,AK,lower,25,11721.0,78.89,2.02,4.49,3.0,10.62,0.95,21.11
AK-H-12,AK,lower,12,14048.0,54.35,5.31,8.19,16.8,13.84,2.86,45.65
AK-H-38,AK,lower,38,11625.0,10.66,1.04,1.07,1.92,85.84,0.21,89.34
AK-H-7,AK,lower,7,12288.0,77.25,1.22,4.12,2.96,13.58,0.75,22.75
AK-H-22,AK,lower,22,11864.0,41.38,12.75,9.63,14.91,17.23,7.64,58.62
AK-H-15,AK,lower,15,13541.0,62.67,3.83,5.49,14.47,12.05,2.54,37.33
AK-H-28,AK,lower,28,12020.0,78.35,2.05,4.56,3.14,11.32,0.75,21.65
AK-H-2,AK,lower,2,14650.0,61.99,1.47,4.05,5.93,26.69,0.78,38.01
AK-H-9,AK,lower,9,13519.0,80.83,1.81,4.45,5.53,6.3,0.51,19.17
AK-H-4,AK,lower,4,16147.0,62.68,2.13,5.63,10.22,19.6,1.81,37.32
AK-H-37,AK,lower,37,14193.0,25.03,4.92,9.94,16.21,43.37,2.05,74.97
AK-H-17,AK,lower,17,13157.0,56.15,8.79,7.64,9.12,14.52,4.99,43.85
