code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
AK-H-33,02033,AK,lower,33,State House District 33,7839.0,1313.0,5533.0,8650.0,1994.0,6237.0,8862.0,2019.0,6548.0,-61.64183464796962,-51.54902199003766,-52.86564725107973
AK-H-34,02034,AK,lower,34,State House District 34,7432.0,2192.0,4315.0,8308.0,3050.0,4881.0,10028.0,3770.0,5840.0,-32.626402335945905,-23.08662211574833,-21.54006243496358
AK-H-27,02027,AK,lower,27,State House District 27,6680.0,1122.0,4895.0,8145.0,1703.0,6144.0,8859.0,1810.0,6781.0,-62.705667276051194,-56.59487702306614,-57.86287975788616
AK-H-39,02039,AK,lower,39,State House District 39,4980.0,2705.0,1273.0,5229.0,3136.0,1743.0,4208.0,2182.0,1690.0,35.99798893916541,28.55093256814921,12.706611570247933
AK-H-14,02014,AK,lower,14,State House District 14,7304.0,3683.0,2800.0,7651.0,4494.0,2879.0,7437.0,4357.0,2768.0,13.620237544346752,21.90424521904245,22.301754385964912
AK-H-24,02024,AK,lower,24,State House District 24,11272.0,2797.0,7109.0,12982.0,4320.0,8080.0,10128.0,3242.0,6483.0,-43.529174237835655,-30.32258064516129,-33.32647814910026
AK-H-5,02005,AK,lower,5,State House District 5,8013.0,2914.0,4028.0,8902.0,3765.0,4753.0,8029.0,3335.0,4353.0,-16.047248631518293,-11.598966893637003,-13.241415192507805
AK-H-31,02031,AK,lower,31,State House District 31,7603.0,2952.0,3629.0,8382.0,3969.0,4040.0,6996.0,3241.0,3467.0,-10.287190396596262,-0.88650268447996,-3.3691115086463927
AK-H-1,02001,AK,lower,1,State House District 1,8173.0,2624.0,4449.0,9190.0,3706.0,5108.0,8584.0,3373.0,4855.0,-25.80234695320232,-15.906512366689357,-18.01166747690812
AK-H-3,02003,AK,lower,3,State House District 3,8705.0,4018.0,3468.0,9907.0,5600.0,3936.0,11116.0,6143.0,4493.0,7.34704782260219,17.449664429530202,15.513350883790899
AK-H-8,02008,AK,lower,8,State House District 8,10587.0,2048.0,7485.0,12202.0,3023.0,8810.0,10832.0,2591.0,7961.0,-57.03346270848632,-48.905602974731686,-50.89082638362395
AK-H-11,02011,AK,lower,11,State House District 11,9296.0,3609.0,4715.0,10419.0,4697.0,5415.0,9853.0,4645.0,4865.0,-13.286881307063911,-7.100474683544304,-2.3133543638275498
AK-H-13,02013,AK,lower,13,State House District 13,8427.0,3458.0,3993.0,9428.0,4716.0,4360.0,7586.0,3690.0,3589.0,-7.180244262515098,3.922432789775231,1.387553235334524
AK-H-16,02016,AK,lower,16,State House District 16,8981.0,4359.0,3664.0,9840.0,5555.0,3952.0,9646.0,5339.0,3912.0,8.662595039262122,16.86126012411907,15.425359420603177
AK-H-19,02019,AK,lower,19,State House District 19,5041.0,2803.0,1721.0,5561.0,3267.0,2078.0,5032.0,2832.0,1971.0,23.91688770999116,22.24508886810103,17.926296064959402
AK-H-21,02021,AK,lower,21,State House District 21,9093.0,3863.0,4215.0,9887.0,5082.0,4456.0,9055.0,4723.0,3984.0,-4.357514236197078,6.5632208010065005,8.487423911795107
AK-H-23,02023,AK,lower,23,State House District 23,9334.0,2742.0,5330.0,10259.0,3856.0,5969.0,10716.0,4132.0,6115.0,-32.06144697720516,-21.506361323155215,-19.352005465014148
AK-H-26,02026,AK,lower,26,State House District 26,6888.0,1126.0,5100.0,8452.0,1762.0,6397.0,9457.0,2019.0,7146.0,-63.82910375843238,-56.808432405932095,-55.94108019639934
AK-H-29,02029,AK,lower,29,State House District 29,9596.0,2058.0,6434.0,11870.0,3087.0,8283.0,10510.0,2715.0,7421.0,-51.530852567122,-45.699208443271765,-46.42857142857143
AK-H-32,02032,AK,lower,32,State House District 32,5034.0,1373.0,3018.0,5627.0,1836.0,3451.0,5881.0,1892.0,3750.0,-37.46299248462765,-30.54662379421222,-32.93158454448777
AK-H-35,02035,AK,lower,35,State House District 35,9120.0,4041.0,3869.0,9947.0,5213.0,4305.0,9662.0,4843.0,4368.0,2.1744627054361567,9.539819289766758,5.156877646292476
AK-H-36,02036,AK,lower,36,State House District 36,11002.0,3990.0,5582.0,12123.0,4879.0,6705.0,9696.0,3600.0,5665.0,-16.631842875052236,-15.763121546961326,-22.288181327576904
AK-H-40,02040,AK,lower,40,State House District 40,4430.0,2224.0,1339.0,4420.0,2193.0,1945.0,3295.0,1364.0,1688.0,24.83861914117317,5.993233446109231,-10.615989515072084
AK-H-30,02030,AK,lower,30,State House District 30,10084.0,2182.0,6895.0,12098.0,3303.0,8411.0,10346.0,2718.0,7334.0,-51.92244133524292,-43.60594160833191,-45.92120970951055
AK-H-25,02025,AK,lower,25,State House District 25,7783.0,1777.0,5114.0,8696.0,2569.0,5801.0,10472.0,3180.0,6894.0,-48.425482513423304,-38.614097968936676,-36.8671828469327
AK-H-12,02012,AK,lower,12,State House District 12,8334.0,3491.0,3883.0,9552.0,4718.0,4508.0,8526.0,4180.0,4059.0,-5.315975047464063,2.2761760242792106,1.4686248331108143
AK-H-38,02038,AK,lower,38,State House District 38,4669.0,2586.0,1042.0,4907.0,2959.0,1643.0,3996.0,2030.0,1558.0,42.55788313120176,28.596262494567583,13.154960981047935
AK-H-7,02007,AK,lower,7,State House District 7,7698.0,1568.0,5329.0,8815.0,2249.0,6257.0,9619.0,2519.0,6781.0,-54.53095548789329,-47.11968022572302,-45.82795698924731
AK-H-22,02022,AK,lower,22,State House District 22,5189.0,2167.0,2357.0,5962.0,3047.0,2686.0,5471.0,2667.0,2594.0,-4.199823165340407,6.296877725449154,1.3875689032503327
AK-H-15,02015,AK,lower,15,State House District 15,8637.0,3432.0,4279.0,9792.0,4632.0,4861.0,9304.0,4375.0,4595.0,-10.984308131241084,-2.412303802802065,-2.4526198439241917
AK-H-28,02028,AK,lower,28,State House District 28,7238.0,1327.0,5145.0,8316.0,1981.0,6005.0,9289.0,2220.0,6716.0,-58.992583436341164,-50.38817931379916,-50.313339301700985
AK-H-2,02002,AK,lower,2,State House District 2,9648.0,4096.0,4284.0,10808.0,5473.0,4973.0,9593.0,4591.0,4543.0,-2.243436754176611,4.786521156423511,0.5255090869279615
AK-H-9,02009,AK,lower,9,State House District 9,10759.0,4429.0,5135.0,12061.0,5889.0,5861.0,11852.0,5862.0,5584.0,-7.3818485989125895,0.23829787234042554,2.4287960859688975
AK-H-4,02004,AK,lower,4,State House District 4,10474.0,6076.0,3166.0,11550.0,7549.0,3597.0,9286.0,6174.0,2692.0,31.486691192382597,35.45666606854477,39.27362959621024
AK-H-37,02037,AK,lower,37,State House District 37,5280.0,2591.0,1916.0,5329.0,2781.0,2319.0,4352.0,1923.0,2208.0,14.97670290658975,9.058823529411764,-6.899055918663762
AK-H-17,02017,AK,lower,17,State House District 17,7028.0,4174.0,2103.0,7390.0,4820.0,2353.0,7730.0,5002.0,2407.0,32.993468217301256,34.392862121845816,35.024969631529224
AK-H-20,02020,AK,lower,20,State House District 20,8121.0,3812.0,3279.0,8674.0,4723.0,3577.0,7277.0,3933.0,3042.0,7.516570300380765,13.80722891566265,12.774193548387098
AK-H-6,02006,AK,lower,6,State House District 6,9311.0,3355.0,4957.0,11300.0,4832.0,6115.0,12015.0,4786.0,6707.0,-19.273339749759383,-11.720105965104596,-16.714521882885233
AK-H-18,02018,AK,lower,18,State House District 18,4864.0,2031.0,2200.0,5199.0,2765.0,2188.0,4806.0,1928.0,2675.0,-3.9943275821318838,11.649505350292753,-16.22854660004345
AK-H-10,02010,AK,lower,10,State House District 10,8662.0,3346.0,4340.0,9740.0,4585.0,4869.0,8774.0,4080.0,4357.0,-12.932604735883423,-3.0040194626613075,-3.2831575204456556
AK-S-R,0200R,AK,upper,R,State Senate District R,20122.0,8031.0,9450.0,22070.0,10092.0,11010.0,19358.0,8443.0,10033.0,-8.117384588982324,-4.350298549900483,-8.605758822255899
AK-S-S,0200S,AK,upper,S,State Senate District S,9949.0,5177.0,2958.0,10235.0,5740.0,3961.0,8348.0,3953.0,3766.0,27.277197295636142,18.338315637563138,2.4225936002072808
AK-S-T,0200T,AK,upper,T,State Senate District T,9410.0,4929.0,2612.0,9649.0,5329.0,3688.0,7503.0,3546.0,3378.0,30.72536798833046,18.198957524675613,2.4263431542461005
AK-S-I,0200I,AK,upper,I,State Senate District I,11892.0,6205.0,4303.0,12588.0,7585.0,4541.0,12536.0,6930.0,5082.0,18.10049486105824,25.103084281708725,15.384615384615385
AK-S-J,0200J,AK,upper,J,State Senate District J,13161.0,6615.0,5000.0,14236.0,7991.0,5655.0,12309.0,6765.0,5013.0,13.904433921653034,17.118569544188773,14.875191034131433
AK-S-K,0200K,AK,upper,K,State Senate District K,14282.0,6030.0,6572.0,15849.0,8129.0,7142.0,14526.0,7390.0,6578.0,-4.300904618314553,6.463230960644359,5.813287514318442
AK-S-L,0200L,AK,upper,L,State Senate District L,20606.0,5540.0,12438.0,23241.0,8176.0,14049.0,20844.0,7374.0,12598.0,-38.36911781065747,-26.4251968503937,-26.156619266973763
AK-S-M,0200M,AK,upper,M,State Senate District M,14670.0,2903.0,10214.0,17148.0,4332.0,12198.0,19929.0,5199.0,14040.0,-55.73683006785088,-47.58620689655172,-45.95353188835178
AK-S-N,0200N,AK,upper,N,State Senate District N,13918.0,2449.0,10040.0,16461.0,3684.0,12149.0,18148.0,4030.0,13497.0,-60.78148770918408,-53.46428345859913,-54.01380726878531
AK-S-O,0200O,AK,upper,O,State Senate District O,19680.0,4240.0,13329.0,23968.0,6390.0,16693.0,20856.0,5433.0,14755.0,-51.73316637258808,-44.63457956071568,-46.17594610659798
AK-S-P,0200P,AK,upper,P,State Senate District P,12637.0,4324.0,6647.0,14009.0,5804.0,7492.0,12878.0,5134.0,7217.0,-21.17400419287212,-12.695547533092661,-16.865031171565057
AK-S-Q,0200Q,AK,upper,Q,State Senate District Q,15271.0,3505.0,9848.0,16958.0,5044.0,11118.0,18890.0,5789.0,12388.0,-47.50243390998278,-37.58198242791734,-36.30412059195687
AK-S-A,0200A,AK,upper,A,State Senate District A,17821.0,6720.0,8733.0,19999.0,9180.0,10081.0,18177.0,7964.0,9397.0,-13.026596777324793,-4.677846425419241,-8.254132826450089
AK-S-B,0200B,AK,upper,B,State Senate District B,19179.0,10094.0,6633.0,21456.0,13148.0,7533.0,20403.0,12317.0,7185.0,20.691098224427574,27.15052463613945,26.315249717977647
AK-S-C,0200C,AK,upper,C,State Senate District C,17324.0,6268.0,8985.0,20202.0,8596.0,10868.0,20044.0,8121.0,11060.0,-17.812889267685044,-11.672831894780106,-15.322454512277774
AK-S-D,0200D,AK,upper,D,State Senate District D,18284.0,3617.0,12814.0,21017.0,5272.0,15067.0,20451.0,5110.0,14742.0,-55.97346479216115,-48.15870986774178,-48.51904090267983
AK-S-E,0200E,AK,upper,E,State Senate District E,19421.0,7775.0,9475.0,21801.0,10474.0,10730.0,20626.0,9942.0,9941.0,-9.855072463768117,-1.2073193737030747,0.005029422119398481
AK-S-F,0200F,AK,upper,F,State Senate District F,17630.0,7100.0,8598.0,19971.0,9415.0,9923.0,18379.0,8825.0,8924.0,-9.54261689387183,-2.6269521150067225,-0.5577779029804496
AK-S-G,0200G,AK,upper,G,State Senate District G,15730.0,7141.0,6793.0,17080.0,9210.0,7239.0,15023.0,8047.0,6357.0,2.4974881584613176,11.982491336859384,11.732851985559567
AK-S-H,0200H,AK,upper,H,State Senate District H,17619.0,7791.0,7943.0,19632.0,10187.0,8813.0,18950.0,9714.0,8507.0,-0.9660607601372823,7.231578947368421,6.6242247955655555
