state,chamber,district,party,pres_margin,next_election
AL,House,1,R,-48.8,2026.0
AL,House,2,R,-66.0,2026.0
AL,House,3,R,-30.7,2026.0
AL,House,4,R,-32.5,2026.0
AL,House,5,R,-44.5,2026.0
AL,House,6,R,-29.8,2026.0
AL,House,7,R,-57.0,2026.0
AL,House,8,R,-28.5,2026.0
AL,House,9,R,-71.7,2026.0
AL,House,10,D,0.0,2026.0
AL,House,11,R,-82.1,2026.0
AL,House,12,R,-78.4,2026.0
AL,House,13,R,-70.7,2026.0
AL,House,14,R,-81.2,2026.0
AL,House,15,R,-15.9,2026.0
AL,House,16,R,-75.8,2026.0
AL,House,17,R,-79.8,2026.0
AL,House,18,R,-71.7,2026.0
AL,House,19,D,31.8,2026.0
AL,House,20,R,-24.2,2026.0
AL,House,21,R,-19.2,2026.0
AL,House,22,R,-48.9,2026.0
AL,House,23,R,-71.2,2026.0
AL,House,24,R,-72.7,2026.0
AL,House,25,R,-5.2,2026.0
AL,House,26,R,-72.7,2026.0
AL,House,27,R,-70.7,2026.0
AL,House,28,R,-26.8,2026.0
AL,House,29,R,-73.4,2026.0
AL,House,30,R,-76.2,2026.0
AL,House,31,R,-60.7,2026.0
AL,House,32,D,1.6,2026.0
AL,House,33,R,-38.8,2026.0
AL,House,34,R,-80.4,2026.0
AL,House,35,R,-58.5,2026.0
AL,House,36,R,-48.1,2026.0
AL,House,37,R,-45.5,2026.0
AL,House,38,R,-43.1,2026.0
AL,House,39,R,-75.8,2026.0
AL,House,40,R,-62.2,2026.0
AL,House,41,R,-46.4,2026.0
AL,House,42,R,-71.4,2026.0
AL,House,43,R,-42.3,2026.0
AL,House,44,R,-26.8,2026.0
AL,House,45,R,-43.1,2026.0
AL,House,46,R,-17.9,2026.0
AL,House,47,R,-15.5,2026.0
AL,House,48,R,-33.5,2026.0
AL,House,49,R,-49.1,2026.0
AL,House,50,R,-59.7,2026.0
AL,House,51,R,-59.1,2026.0
AL,House,52,D,66.7,2026.0
AL,House,53,D,42.2,2026.0
AL,House,54,D,58.3,2026.0
AL,House,55,D,72.5,2026.0
AL,House,56,D,44.9,2026.0
AL,House,57,D,32.3,2026.0
AL,House,58,D,56.6,2026.0
AL,House,59,D,65.2,2026.0
AL,House,60,D,48.8,2026.0
AL,House,61,R,-47.1,2026.0
AL,House,62,R,-41.3,2026.0
AL,House,63,R,-16.8,2026.0
AL,House,64,R,-63.9,2026.0
AL,House,65,R,-43.7,2026.0
AL,House,66,R,-57.8,2026.0
AL,House,67,D,32.2,2026.0
AL,House,68,D,0.4,2026.0
AL,House,69,D,8.2,2026.0
AL,House,70,D,38.4,2026.0
AL,House,71,D,11.5,2026.0
AL,House,72,D,11.1,2026.0
AL,House,73,R,-28.5,2026.0
AL,House,74,D,29.0,2026.0
AL,House,75,R,-27.5,2026.0
AL,House,76,D,52.0,2026.0
AL,House,77,D,46.3,2026.0
AL,House,78,D,39.0,2026.0
AL,House,79,R,-22.7,2026.0
AL,House,80,R,-34.0,2026.0
AL,House,81,R,-47.6,2026.0
AL,House,82,D,30.7,2026.0
AL,House,83,D,2.7,2026.0
AL,House,84,D,5.5,2026.0
AL,House,85,R,-26.1,2026.0
AL,House,86,R,-57.8,2026.0
AL,House,87,R,-72.0,2026.0
AL,House,88,R,-37.9,2026.0
AL,House,89,R,-33.9,2026.0
AL,House,90,R,-41.8,2026.0
AL,House,91,R,-52.5,2026.0
AL,House,92,R,-71.7,2026.0
AL,House,93,R,-49.8,2026.0
AL,House,94,R,-53.3,2026.0
AL,House,95,R,-63.2,2026.0
AL,House,96,R,-44.7,2026.0
AL,House,97,D,26.8,2026.0
AL,House,98,D,4.4,2026.0
AL,House,99,D,28.2,2026.0
AL,House,100,R,-40.4,2026.0
AL,House,101,R,-28.9,2026.0
AL,House,102,R,-65.3,2026.0
AL,House,103,D,28.6,2026.0
AL,House,104,R,-24.1,2026.0
AL,House,105,R,-61.4,2026.0
AL,Senate,1,R,-54.9,2026.0
AL,Senate,2,R,-0.4,2026.0
AL,Senate,3,R,-39.9,2026.0
AL,Senate,4,R,-81.1,2026.0
AL,Senate,5,R,-73.6,2026.0
AL,Senate,6,R,-53.7,2026.0
AL,Senate,7,R,-12.1,2026.0
AL,Senate,8,R,-54.2,2026.0
AL,Senate,9,R,-59.1,2026.0
AL,Senate,10,R,-61.8,2026.0
AL,Senate,11,R,-50.2,2026.0
AL,Senate,12,R,-43.8,2026.0
AL,Senate,13,R,-48.4,2026.0
AL,Senate,14,R,-43.8,2026.0
AL,Senate,15,R,-38.6,2026.0
AL,Senate,16,R,-24.8,2026.0
AL,Senate,17,R,-64.3,2026.0
AL,Senate,18,D,57.3,2026.0
AL,Senate,19,D,29.9,2026.0
