race_code,race_type,state,dem_votes,rep_votes,ind_votes,oth_votes,total_votes,margin,pres24,cd_code
AK-GOV,governor,AK,112698,123748,0,0,236446,-4.67,-13.8,AK-01
AL-GOV,governor,AL,88360,141258,0,0,229618,-23.04,-36.34,AL-01
AL-GOV,governor,AL,101316,103909,0,0,205224,-1.26,-14.47,AL-02
AL-GOV,governor,AL,73319,148197,0,0,221517,-33.8,-47.03,AL-03
AL-GOV,governor,AL,52046,174610,0,0,226656,-54.08,-67.01,AL-04
AL-GOV,governor,AL,101978,145543,0,0,247521,-17.6,-29.51,AL-05
AL-GOV,governor,AL,94069,150619,0,0,244687,-23.11,-34.78,AL-06
AL-GOV,governor,AL,137891,72449,0,0,210340,31.11,17.99,AL-07
AR-GOV,governor,AR,60096,120569,13598,0,194263,-33.47,-46.17,AR-01
AR-GOV,governor,AR,101084,109978,15887,0,226950,-4.21,-15.91,AR-02
AR-GOV,governor,AR,87302,116680,15354,0,219336,-14.4,-25.51,AR-03
AR-GOV,governor,AR,66645,118340,13923,0,198908,-27.95,-40.66,AR-04
AZ-GOV,governor,AZ,174501,137437,4045,0,315983,11.88,-3.17,AZ-01
AZ-GOV,governor,AZ,144938,142601,3728,0,291268,0.81,-15.06,AZ-02
AZ-GOV,governor,AZ,116399,31517,1918,0,149834,57.39,40.0,AZ-03
AZ-GOV,governor,AZ,146050,94601,3120,0,243772,21.38,6.67,AZ-04
AZ-GOV,governor,AZ,145069,161874,3980,0,310922,-5.47,-20.21,AZ-05
AZ-GOV,governor,AZ,172432,131938,3946,0,308317,13.3,-0.83,AZ-06
AZ-GOV,governor,AZ,135782,58496,2519,0,196798,39.78,22.55,AZ-07
AZ-GOV,governor,AZ,132505,137793,3505,0,273803,-1.96,-16.5,AZ-08
AZ-GOV,governor,AZ,116813,161407,3607,0,281827,-16.03,-31.28,AZ-09
CA-GOV,governor,CA,141950,96854,0,0,238805,18.88,12.58,CA-01
CA-GOV,governor,CA,178663,93520,0,0,272182,31.28,25.43,CA-02
CA-GOV,governor,CA,149254,107294,0,0,256548,16.36,10.61,CA-03
CA-GOV,governor,CA,147047,94174,0,0,241221,21.92,15.15,CA-04
CA-GOV,governor,CA,108076,145375,0,0,253450,-14.72,-21.15,CA-05
CA-GOV,governor,CA,134223,100165,0,0,234387,14.53,8.47,CA-06
CA-GOV,governor,CA,145779,96981,0,0,242760,20.1,13.25,CA-07
CA-GOV,governor,CA,156108,62727,0,0,218835,42.67,35.2,CA-08
CA-GOV,governor,CA,113510,74465,0,0,187975,20.77,11.78,CA-09
CA-GOV,governor,CA,186604,77905,0,0,264509,41.09,34.87,CA-10
CA-GOV,governor,CA,224165,28394,0,0,252559,77.51,70.57,CA-11
CA-GOV,governor,CA,204673,17454,0,0,222127,84.28,77.61,CA-12
CA-GOV,governor,CA,81741,66983,0,0,148724,9.92,-0.04,CA-13
CA-GOV,governor,CA,143741,55624,0,0,199365,44.2,36.21,CA-14
CA-GOV,governor,CA,167915,45507,0,0,213422,57.35,49.69,CA-15
CA-GOV,governor,CA,185783,51774,0,0,237557,56.41,49.9,CA-16
CA-GOV,governor,CA,137509,47456,0,0,184965,48.69,40.79,CA-17
CA-GOV,governor,CA,116745,52506,0,0,169252,37.95,28.57,CA-18
CA-GOV,governor,CA,186968,76076,0,0,263044,42.16,35.68,CA-19
CA-GOV,governor,CA,80647,139383,0,0,220030,-26.69,-32.84,CA-20
CA-GOV,governor,CA,81267,60039,0,0,141306,15.02,5.94,CA-21
CA-GOV,governor,CA,65066,55197,0,0,120263,8.21,-2.08,CA-22
CA-GOV,governor,CA,84558,109612,0,0,194170,-12.9,-19.54,CA-23
