county_fips,state,county_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,vap_tot,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
01001,AL,-46.72,-44.96,59.5,37.3,22.1,2.5,44523,72.8,18.7,3.0,1.4,0.3,0.0
01003,AL,-58.7,-56.93,64.4,32.5,31.9,2.1,182471,82.7,7.4,4.5,0.9,0.6,0.0
01005,AL,-14.83,-13.07,46.1,50.7,-4.6,2.9,20134,47.0,45.8,4.6,0.4,0.2,0.0
01007,AL,-64.77,-63.01,67.2,29.6,37.7,2.7,17533,74.5,20.2,2.6,0.1,0.2,0.1
01009,AL,-81.55,-79.79,73.8,23.0,50.8,1.5,45403,86.5,1.4,7.8,0.3,0.3,0.0
01011,AL,46.08,47.84,20.6,76.2,-55.6,3.6,8356,24.8,70.4,3.3,0.1,0.0,0.0
01013,AL,-22.81,-21.04,49.7,47.1,2.6,3.3,14903,53.4,42.3,1.2,0.8,0.2,0.0
01015,AL,-45.15,-43.38,58.8,38.0,20.8,2.5,92289,70.2,21.4,3.5,1.1,0.4,0.1
01017,AL,-23.42,-21.66,49.8,47.0,2.7,2.9,27791,55.6,37.7,3.0,1.2,0.2,0.0
01019,AL,-75.94,-74.18,71.9,24.9,47.0,2.6,20169,91.2,4.1,1.2,0.2,0.4,0.0
01021,AL,-72.49,-70.73,70.0,26.8,43.2,1.7,34385,80.0,8.9,8.0,0.4,0.3,0.0
01023,AL,-24.0,-22.23,50.3,46.5,3.7,3.4,10168,56.0,41.3,0.7,0.1,0.1,0.0
01025,AL,-17.14,-15.38,47.4,49.5,-2.1,3.4,18249,53.7,43.1,0.7,0.4,0.3,0.0
01027,AL,-70.48,-68.72,69.6,27.2,42.4,2.6,11299,80.9,13.5,2.5,0.3,0.3,0.0
01029,AL,-84.06,-82.3,75.3,21.5,53.9,2.5,11620,92.0,3.1,1.6,0.2,0.3,0.0
01031,AL,-58.35,-56.59,64.1,32.8,31.3,1.8,40774,69.7,16.1,7.3,1.8,0.8,0.1
01033,AL,-46.84,-45.08,59.6,37.2,22.3,2.6,45078,77.4,15.8,2.4,0.7,0.4,0.0
01035,AL,-14.04,-12.28,46.0,50.9,-4.9,3.3,9277,52.5,42.6,1.7,0.4,0.6,0.0
01037,AL,-43.54,-41.78,58.4,38.4,20.0,3.1,8603,66.9,28.6,1.3,0.1,0.3,0.0
01039,AL,-72.76,-71.0,70.6,26.2,44.4,2.7,29387,83.1,11.8,1.4,0.6,0.4,0.0
01041,AL,-54.87,-53.11,63.1,33.7,29.5,2.9,10360,72.2,23.1,1.1,0.6,0.4,0.0
01043,AL,-80.97,-79.21,73.8,23.0,50.8,2.1,68240,90.5,1.1,3.7,0.6,0.4,0.1
01045,AL,-52.7,-50.94,61.8,35.0,26.9,2.1,38048,68.9,19.5,5.5,1.5,0.5,0.1
01047,AL,32.71,34.47,26.4,70.4,-44.0,3.9,29613,29.2,67.7,0.7,0.4,0.1,0.0
01049,AL,-74.43,-72.67,70.4,26.4,44.0,0.9,53920,80.5,1.5,12.2,0.3,1.0,0.0
01051,AL,-52.49,-50.73,62.0,34.8,27.2,2.6,69005,72.9,20.2,2.6,0.8,0.3,0.0
01053,AL,-46.61,-44.84,59.6,37.2,22.4,2.9,28575,61.8,29.6,1.6,0.3,3.7,0.1
01055,AL,-56.1,-54.34,63.4,33.4,30.0,2.4,81121,77.4,14.1,3.6,0.9,0.4,0.0
01057,AL,-72.48,-70.72,70.5,26.4,44.1,2.6,12791,84.5,10.4,1.9,0.3,0.3,0.0
01059,AL,-73.83,-72.07,70.0,26.8,43.2,0.5,23931,77.8,3.8,15.6,0.2,0.4,0.0
01061,AL,-77.42,-75.66,72.4,24.4,48.0,2.2,20820,83.1,8.5,3.8,0.4,0.6,0.0
01063,AL,55.95,57.71,16.7,80.1,-63.5,4.2,6070,18.1,78.9,0.8,0.1,0.1,0.0
01065,AL,6.9,8.66,37.3,59.5,-22.3,3.7,11483,41.7,55.3,0.8,0.1,0.2,0.0
01067,AL,-51.08,-49.32,61.5,35.3,26.3,2.9,13641,69.8,25.1,1.6,0.4,0.3,0.0
01069,AL,-48.19,-46.43,60.1,36.7,23.5,2.6,82646,66.9,24.6,3.5,1.2,0.3,0.1
01071,AL,-71.94,-70.18,70.1,26.7,43.4,2.3,41768,87.3,3.1,2.5,0.4,1.3,0.0
01073,AL,10.57,12.33,35.2,61.6,-26.3,2.7,527087,50.4,40.4,4.3,2.0,0.2,0.0
01075,AL,-76.43,-74.67,72.2,24.6,47.6,2.7,11019,86.3,10.4,1.2,0.0,0.2,0.0
01077,AL,-52.01,-50.25,61.7,35.1,26.5,2.4,74908,83.5,9.4,2.7,0.8,0.3,0.0
01079,AL,-62.73,-60.97,66.2,30.6,35.6,2.4,25878,76.1,10.5,2.2,0.2,4.1,0.0
01081,AL,-28.16,-26.4,51.4,45.4,6.0,2.1,136444,64.8,22.1,4.5,5.0,0.2,0.1
01083,AL,-44.42,-42.66,58.2,38.6,19.7,2.0,79718,75.4,13.1,5.4,1.7,0.5,0.1
