race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,111144,121519,0,3783,47.01,51.39,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,615208,970355,0,0,38.8,61.2,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,304496,534961,0,0,36.27,63.73,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1249908,1122615,0,0,52.68,47.32,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7019385,4079158,0,0,63.25,36.75,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1332350,902572,0,0,59.62,40.38,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,717262,513878,0,0,58.26,41.74,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3522883,4131943,0,0,46.02,53.98,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1756753,1918293,0,0,47.8,52.2,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,236121,125570,0,0,65.28,34.72,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,593479,570975,0,0,50.97,49.03,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,172728,460815,0,0,27.26,72.74,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2307544,1647193,0,0,58.35,41.65,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,395230,534084,0,0,42.53,57.47,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1586127,845440,0,0,65.23,34.77,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1430281,696553,0,0,67.25,32.75,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,322014,259949,0,0,55.33,44.67,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2174811,1789450,0,0,54.86,45.14,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1227267,1050477,0,0,53.88,46.12,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,262467,400544,0,0,39.59,60.41,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,256009,322323,0,0,44.27,55.73,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,336882,309495,0,0,52.12,47.88,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,530022,509045,0,0,51.01,48.99,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3243522,2569977,0,0,55.79,44.21,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1903601,2131911,0,0,47.17,52.83,0.0,0.0,,
