race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-9.71,30.9,69.2,Lean R,-13.18,3.29,-13.8,4.08,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.42,53.98,1.6,105031,127632,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.97,1.4,98.6,Safe R,-29.63,3.29,-30.88,7.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.52,61.48,0.0,610705,974858,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.33,0.4,99.6,Safe R,-30.5,3.29,-31.57,4.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.33,63.67,0.0,304999,534457,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.05,68.5,31.5,Lean D,-4.25,3.29,-5.59,10.63,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.52,47.48,0.0,1246115,1126408,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,26.61,99.5,0.5,Safe D,23.32,3.29,20.82,5.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,63.31,36.69,0.0,7026045,4072499,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.57,97.5,2.5,Safe D,11.58,3.29,11.29,9.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,60.29,39.71,0.0,1347357,887565,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.14,95.9,4.1,Safe D,15.88,3.29,14.76,3.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,59.07,40.93,0.0,727256,503884,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.74,23.0,77.0,Likely R,-10.56,3.29,-13.22,5.48,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.13,53.87,0.0,3531133,4123693,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-4.28,34.1,65.9,Lean R,-1.71,3.29,-2.21,-2.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.86,52.14,0.0,1758958,1916088,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.68,99.8,0.2,Safe D,25.73,3.29,23.56,7.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,65.34,34.66,0.0,236338,125353,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,2.05,57.8,42.2,Toss-up,-12.1,3.29,-13.45,15.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.03,48.97,0.0,594178,570276,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.35,0.0,100.0,Safe R,-36.28,3.29,-37.52,-7.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.32,72.68,0.0,173108,460435,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.18,93.9,6.1,Likely D,12.91,3.29,11.14,5.05,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,58.09,41.91,0.0,2297347,1657390,0,0,3954737
