race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-3.54,42.5,57.5,Toss-up,-13.18,3.69,-13.8,10.26,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.66,20.42,5,21.239999999999995,0.194,47.46,50.94,1.6,112214,120449,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.96,1.8,98.2,Safe R,-29.63,3.69,-30.88,8.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-18.5,0.15,39.02,60.98,0.0,618713,966850,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.93,0.5,99.5,Safe R,-30.5,3.69,-31.57,4.63,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.53,63.47,0.0,306678,532779,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.81,71.1,28.9,Lean D,-4.25,3.69,-5.59,11.4,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.64,36.69,9,6.950000000000003,0.242,52.91,47.09,0.0,1255185,1117339,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.01,99.5,0.5,Safe D,23.32,3.69,20.82,6.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,63.51,36.49,0.0,7048242,4050302,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.67,97.0,3.0,Safe D,11.58,3.69,11.29,8.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.300000000000004,0.15,59.84,40.16,0.0,1337289,897632,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,16.96,94.8,5.2,Likely D,15.88,3.69,14.76,2.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,58.48,41.52,0.0,719983,511157,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.26,27.4,72.6,Lean R,-10.56,3.69,-13.22,6.96,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.49,41.81,13,-3.3200000000000003,0.268,46.87,53.13,0.0,3587633,4067193,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-2.59,40.2,59.8,Toss-up,-1.71,3.69,-2.21,-0.39,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.0,43.33,1,4.670000000000002,0.15,48.7,51.3,0.0,1789862,1885184,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.08,99.9,0.1,Safe D,25.73,3.69,23.56,7.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.54,34.46,0.0,237061,124630,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.71,63.9,36.1,Lean D,-12.1,3.69,-13.45,17.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.71,39.88,2,10.829999999999998,0.15,51.85,48.15,0.0,603823,560631,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.95,0.0,100.0,Safe R,-36.28,3.69,-37.52,-7.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.52,72.48,0.0,174375,459168,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,17.14,95.0,5.0,Likely D,12.91,3.69,11.14,6.0,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,58.57,41.43,0.0,2316284,1638453,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-14.42,8.4,91.6,Likely R,-16.26,3.69,-16.41,1.99,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,42.79,57.21,0.0,397646,531668,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.58,99.9,0.1,Safe D,27.69,3.69,25.91,5.67,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.76,27.56,4,27.2,0.175,65.79,34.21,0.0,1599717,831850,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,34.94,100.0,0.0,Safe D,30.41,3.69,29.51,5.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,29.04,2,20.29,0.15,67.47,32.53,0.0,1434981,691853,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,11.18,85.8,14.2,Likely D,7.49,3.69,7.09,4.1,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,55.59,44.41,0.0,323527,258436,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,10.86,85.1,14.9,Likely D,-0.36,3.69,-1.44,12.3,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,35.51,31.31,13,4.199999999999999,0.268,55.43,44.57,0.0,2197455,1766807,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,9.75,82.5,17.5,Likely D,4.94,3.69,4.34,5.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.55,34.74,3,16.809999999999995,0.15,54.88,45.12,0.0,1249930,1027814,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-18.01,4.2,95.8,Safe R,-20.75,3.69,-20.84,2.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-5.0,0.15,41.0,59.0,0.0,271802,391210,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.06,12.4,87.6,Likely R,3.66,3.69,2.82,-14.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.16,46.4,4,-10.240000000000002,0.175,43.97,56.03,0.0,254306,324026,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,4.76,67.6,32.4,Lean D,7.45,3.69,6.14,-1.39,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,52.38,47.62,0.0,338563,307814,0,0,646377
