code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.74,-9.18,0.27,-13.8,46.0,50.4,-4.3,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.74,-29.89,1.2,-36.34,56.2,40.2,16.0,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.74,-7.89,1.4,-14.46,47.0,49.3,-2.3,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.74,-40.69,1.15,-47.04,60.7,35.7,25.1,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.74,-61.25,0.78,-66.99,69.0,27.4,41.6,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.74,-24.56,0.94,-29.51,53.6,42.8,10.8,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.74,-29.99,1.03,-34.79,56.0,40.4,15.6,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.74,24.69,1.59,17.99,33.4,63.0,-29.5,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.74,-39.8,1.12,-46.4,60.3,36.1,24.3,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.74,-10.68,1.0,-16.22,47.7,48.6,-0.9,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.74,-21.78,0.06,-25.81,51.1,45.2,5.9,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.74,-34.32,0.96,-40.73,57.7,38.6,19.1,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.74,1.61,0.09,-3.14,41.2,55.1,-13.9,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.74,-9.84,-0.14,-15.12,45.7,50.7,-4.9,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.74,44.45,-2.54,40.31,19.0,77.3,-58.3,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.74,10.56,-0.53,6.76,36.5,59.9,-23.4,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.74,-15.84,-0.05,-20.19,48.5,47.9,0.5,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.74,2.77,-0.35,-0.76,40.1,56.3,-16.2,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.74,26.57,-2.48,22.39,26.8,69.6,-42.8,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.74,-12.41,-0.15,-16.48,46.8,49.5,-2.7,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.74,-27.08,-0.61,-31.34,52.4,44.0,8.4,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.74,17.18,-0.53,12.63,33.7,62.7,-29.0,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
