race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-2.41,45.1,54.9,Toss-up,-12.16,3.96,-4.93,0.21,4.11,-1.06,-13.8,11.39,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,50.51,44.93,9,5.48,0.242,8661662,6500847,0,48.02,50.38,1.6,113531,119132,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-25.32,0.8,99.2,Safe R,-27.33,3.96,-25.32,-2.4,0.93,-0.48,-30.88,5.56,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,37.34,62.66,0.0,592034,993529,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.09,0.5,99.5,Safe R,-29.4,3.96,-28.52,-0.9,-1.67,-0.51,-31.57,4.47,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,36.45,63.55,0.0,306022,533435,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.56,99.1,0.9,Safe D,13.73,3.96,24.56,3.32,3.55,-0.01,11.29,13.27,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,62.28,37.72,0.0,1391894,843028,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,23.79,98.9,1.1,Safe D,15.61,3.96,23.79,2.84,1.67,-0.28,14.84,8.95,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.9,38.1,0.0,221308,136235,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-5.99,28.3,71.7,Lean R,-8.75,3.96,-5.96,-0.02,-1.67,0.51,-13.22,7.24,False,False,,,0.0,0.0,,,0.0,projected,confirmed,39.77,45.88,6,-6.07,0.21,8188392,8407064,0,47.01,52.99,0.0,3598320,4056506,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,10.69,84.7,15.3,Likely D,-0.37,3.96,12.08,1.88,6.73,-0.12,-2.21,12.89,False,False,,,0.0,0.0,,,0.0,confirmed,projected,48.54,43.48,7,5.83,0.223,60439613,4880582,0,55.34,44.66,0.0,2033876,1641170,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-1.83,43.0,57.0,Toss-up,-8.08,3.96,-2.58,3.19,-0.93,-0.71,-13.45,11.61,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,44.41,45.69,3,-1.13,0.15,3463099,0,0,47.79,49.58,2.63,556520,577309,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-40.62,0.0,100.0,Safe R,-38.19,3.96,-40.62,-2.93,-2.97,-0.49,-37.52,-3.1,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.69,70.31,0.0,188095,445447,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.96,96.6,3.4,Safe D,14.47,3.96,18.96,0.53,0.0,0.0,11.14,7.83,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,59.48,40.52,0.0,2352335,1602402,0,0,3954737
