code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,4.82,-8.36,-13.8,44.9,51.8,-6.9,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,4.82,-30.0,-36.34,55.1,41.7,13.4,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,4.82,-8.21,-14.46,45.9,50.8,-4.8,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,4.82,-40.76,-47.04,59.6,37.1,22.5,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,4.82,-60.95,-66.99,67.9,28.8,39.1,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,4.82,-24.42,-29.51,52.5,44.3,8.2,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,4.82,-29.93,-34.79,54.9,41.8,13.1,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,4.82,24.18,17.99,32.3,64.4,-32.1,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,4.82,-39.83,-46.4,59.2,37.5,21.7,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,4.82,-10.6,-16.22,46.6,50.1,-3.5,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,4.82,-20.77,-25.81,50.0,46.7,3.3,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,4.82,-34.2,-40.73,56.6,40.1,16.5,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,4.82,2.6,-3.14,40.1,56.6,-16.4,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,4.82,-8.62,-15.12,44.6,52.1,-7.5,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,4.82,48.08,40.31,17.9,78.8,-60.9,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,4.82,12.17,6.76,35.4,61.4,-26.0,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,4.82,-14.72,-20.19,47.4,49.4,-2.0,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,4.82,4.2,-0.76,39.0,57.7,-18.7,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,4.82,30.13,22.39,25.7,71.1,-45.4,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,4.82,-11.18,-16.48,45.7,51.0,-5.3,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,4.82,-25.39,-31.34,51.3,45.5,5.8,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,4.82,18.79,12.63,32.6,64.1,-31.5,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,4.82,31.25,25.45,28.0,68.8,-40.8,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,4.82,16.22,10.55,33.9,62.8,-28.8,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,4.82,21.59,14.96,30.9,65.8,-34.9,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,4.82,-14.93,-21.2,46.7,50.1,-3.4,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,4.82,14.65,8.67,34.3,62.4,-28.1,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,4.82,19.94,13.26,31.8,65.0,-33.2,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,4.82,42.43,35.19,21.8,74.9,-53.1,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,4.82,20.3,11.8,30.8,66.0,-35.2,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,4.82,40.87,34.75,23.0,73.7,-50.7,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,4.82,77.42,70.62,7.5,89.3,-81.8,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,4.82,84.19,77.64,4.5,92.3,-87.8,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,4.82,9.78,0.51,33.9,62.9,-29.0,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,4.82,43.89,36.2,20.8,76.0,-55.2,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,4.82,57.05,49.64,15.1,81.6,-66.5,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,4.82,56.35,49.91,16.1,80.6,-64.6,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,4.82,48.43,40.75,18.8,78.0,-59.2,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,4.82,38.12,29.37,21.6,75.1,-53.5,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,4.82,42.04,35.64,22.3,74.4,-52.1,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,4.82,-27.02,-32.98,51.3,45.5,5.8,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,4.82,14.76,6.17,31.7,65.0,-33.3,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,4.82,7.78,-1.86,34.2,62.6,-28.4,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,4.82,-13.48,-19.9,45.3,51.4,-6.1,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,4.82,31.61,25.76,26.4,70.4,-44.0,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,4.82,13.58,5.97,32.7,64.1,-31.4,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,4.82,22.36,15.73,29.9,66.8,-36.9,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,4.82,17.38,10.06,31.8,64.9,-33.1,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,4.82,33.09,26.17,25.2,71.5,-46.3,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,4.82,44.33,34.71,19.2,77.5,-58.3,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,4.82,48.24,41.41,19.9,76.8,-56.9,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,4.82,20.97,12.61,29.2,67.5,-38.4,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,4.82,33.16,25.76,26.2,70.5,-44.2,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,4.82,19.21,10.12,30.1,66.6,-36.5,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,4.82,61.94,53.04,11.3,85.5,-74.2,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,4.82,17.06,8.0,30.9,65.8,-34.9,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,4.82,46.81,40.42,20.8,76.0,-55.2,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,4.82,70.95,62.31,8.8,88.0,-79.2,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,4.82,21.95,12.8,28.3,68.4,-40.1,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,4.82,18.91,9.85,30.2,66.5,-36.3,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,4.82,-6.88,-12.6,42.9,53.8,-11.0,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,4.82,22.65,14.61,28.4,68.3,-39.8,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,4.82,20.07,13.57,31.5,65.3,-33.8,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
CA-43,district,CA,54.96,4.82,59.78,50.59,13.2,83.5,-70.3,-4.9,7.6,26.3,51.9,10.1,3.4,0.7
CA-44,district,CA,41.6,4.82,46.42,36.32,17.8,78.9,-61.1,-7.1,8.9,10.6,64.7,10.8,3.9,1.1
CA-45,district,CA,6.76,4.82,11.58,4.07,33.9,62.9,-29.0,-4.6,21.5,3.1,30.9,41.4,2.3,0.8
CA-46,district,CA,20.26,4.82,25.08,16.7,27.1,69.6,-42.5,-6.6,19.3,2.6,57.4,16.0,4.1,0.6
CA-47,district,CA,11.79,4.82,16.61,10.47,33.2,63.6,-30.4,-1.8,48.9,2.7,16.6,29.7,1.6,0.5
CA-48,district,CA,4.15,4.82,8.97,3.52,35.8,60.9,-25.1,-2.9,46.1,5.1,35.0,9.1,3.9,0.9
CA-49,district,CA,13.11,4.82,17.93,12.48,32.9,63.8,-30.9,-1.1,59.5,3.2,19.4,14.7,2.3,0.9
CA-50,district,CA,19.36,4.82,24.18,18.83,30.3,66.4,-36.1,-1.0,56.9,4.0,16.6,19.5,2.2,0.8
CA-51,district,CA,19.95,4.82,24.77,18.79,29.8,66.9,-37.0,-1.5,52.8,8.1,23.9,11.3,2.9,1.0
CA-52,district,CA,22.64,4.82,27.46,18.06,26.4,70.4,-44.0,-6.1,16.8,8.3,55.0,15.7,3.3,1.0
CO-01,district,CO,58.82,4.82,63.64,57.61,13.6,83.2,-69.6,-1.0,57.7,9.5,24.0,5.1,3.3,0.4
CO-02,district,CO,40.74,4.82,45.56,40.92,22.0,74.7,-52.7,0.6,78.8,1.6,12.3,4.8,2.3,0.3
CO-03,district,CO,-9.78,4.82,-4.96,-9.98,42.8,53.9,-11.1,-0.8,69.5,1.5,22.6,1.4,4.8,0.3
CO-04,district,CO,-19.22,4.82,-14.4,-18.71,47.5,49.2,-1.7,0.6,78.3,2.5,11.8,4.5,2.7,0.3
CO-05,district,CO,-10.24,4.82,-5.42,-9.34,43.5,53.2,-9.7,0.2,68.2,7.6,15.2,4.9,3.4,0.8
CO-06,district,CO,20.85,4.82,25.67,20.36,30.0,66.8,-36.8,-0.4,58.9,11.2,19.1,7.2,3.0,0.5
CO-07,district,CO,14.76,4.82,19.58,15.41,33.0,63.7,-30.7,0.4,77.2,2.0,13.3,4.1,3.2,0.2
CO-08,district,CO,-0.6,4.82,4.22,-1.88,38.1,58.7,-20.6,-2.5,55.1,2.5,33.9,4.3,3.9,0.3
CT-01,district,CT,24.46,4.82,29.28,23.27,28.8,67.9,-39.1,0.4,60.2,16.7,15.3,6.2,1.5,0.1
CT-02,district,CT,8.44,4.82,13.26,7.86,36.1,60.6,-24.5,1.3,80.5,5.1,7.7,4.4,2.1,0.2
CT-03,district,CT,15.51,4.82,20.33,14.34,32.7,64.0,-31.3,0.6,64.1,14.8,14.2,5.3,1.5,0.1
CT-04,district,CT,25.33,4.82,30.15,23.73,28.1,68.6,-40.5,-0.3,59.4,13.4,19.8,6.1,1.2,0.1
CT-05,district,CT,6.68,4.82,11.5,5.68,36.2,60.5,-24.3,-0.0,67.4,8.8,18.0,4.2,1.5,0.1
DE-01,district,DE,15.61,4.82,20.43,14.84,33.2,63.6,-30.4,1.5,61.9,22.6,8.6,4.8,2.0,0.1
FL-01,district,FL,-36.7,4.82,-31.88,-37.53,55.4,41.3,14.1,1.6,72.0,13.5,6.7,4.2,3.2,0.4
FL-02,district,FL,-16.49,4.82,-11.67,-18.33,47.0,49.7,-2.7,1.9,65.3,23.0,6.4,2.8,2.3,0.2
FL-03,district,FL,-19.45,4.82,-14.63,-21.26,47.9,48.8,-0.9,1.2,67.6,15.8,10.6,3.9,1.9,0.2
FL-04,district,FL,-10.78,4.82,-5.96,-11.96,44.6,52.2,-7.6,1.9,54.9,31.4,7.8,3.6,2.1,0.3
FL-05,district,FL,-20.63,4.82,-15.81,-21.69,48.2,48.5,-0.3,0.8,67.3,12.8,10.8,7.0,1.8,0.3
FL-06,district,FL,-28.57,4.82,-23.75,-30.31,51.8,44.9,6.9,1.3,74.7,11.2,9.8,2.1,2.1,0.2
FL-07,district,FL,-10.92,4.82,-6.1,-12.62,43.6,53.1,-9.5,-0.2,64.0,10.4,18.8,4.7,1.9,0.2
FL-08,district,FL,-15.06,4.82,-10.24,-16.4,45.7,51.0,-5.3,0.5,68.2,10.8,14.2,4.5,2.1,0.2
FL-09,district,FL,-14.81,4.82,-9.99,-17.93,44.1,52.6,-8.5,-2.4,48.3,10.5,35.7,3.5,1.8,0.2
FL-10,district,FL,26.8,4.82,31.62,24.29,27.0,69.8,-42.8,-1.4,35.3,27.4,30.0,5.2,1.8,0.3
FL-11,district,FL,-14.37,4.82,-9.55,-15.84,45.0,51.8,-6.8,-0.3,62.1,10.8,19.9,5.3,1.7,0.2
FL-12,district,FL,-12.99,4.82,-8.17,-15.55,44.1,52.6,-8.5,-0.9,58.2,10.6,24.5,4.6,1.9,0.2
FL-13,district,FL,-12.0,4.82,-7.18,-13.46,44.6,52.1,-7.5,1.0,76.9,6.4,10.3,4.4,1.9,0.2
FL-14,district,FL,-8.79,4.82,-3.97,-10.62,42.3,54.5,-12.2,-1.1,54.3,13.2,25.6,4.6,2.0,0.2
FL-15,district,FL,-17.66,4.82,-12.84,-20.09,46.8,49.9,-3.1,0.5,63.4,14.9,14.8,4.7,1.9,0.2
FL-16,district,FL,-11.67,4.82,-6.85,-13.81,44.4,52.3,-7.9,0.9,70.7,12.0,12.9,2.7,1.6,0.1
FL-17,district,FL,-20.19,4.82,-15.37,-22.24,48.2,48.6,-0.4,1.1,78.3,7.0,11.0,2.1,1.5,0.1
FL-18,district,FL,-15.19,4.82,-10.37,-17.1,45.1,51.6,-6.5,-0.7,55.5,15.1,24.6,2.5,2.1,0.2
