race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Bernadette Wilson,DEM,REP,,REP,-5.73,34.2,65.8,Lean R,-13.27,5.19,-9.14,0.0,0.0,-1.06,-13.8,8.07,True,False,,,0.0,0.0,,,0.0,presumptive,projected,46.99,37.94,3,8.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.98,49.02,8.0,101624,115906,18916,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.54,2.8,97.2,Safe R,-29.66,5.19,-21.58,0.0,3.37,-0.48,-30.88,11.34,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.23,59.77,0.0,637844,947719,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.13,1.9,98.1,Safe R,-30.62,5.19,-26.06,0.0,-0.13,-0.51,-31.57,10.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,60.56,0.0,331051,508405,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.59,80.0,20.0,Likely D,-4.25,5.19,8.25,0.94,6.01,0.36,-5.59,14.18,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,46.25,37.04,18,9.43,0.29,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3,45.7,0.0,1288164,1084360,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.81,99.7,0.3,Safe D,23.42,5.19,29.75,0.25,0.0,0.89,20.82,6.99,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.211,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,36.1,0.0,7092430,4006114,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.72,95.8,4.2,Safe D,11.48,5.19,17.29,0.64,0.0,-0.01,11.29,6.42,False,False,IND,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.74,39.66,0.0,1268067,886397,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.62,97.2,2.8,Safe D,15.88,5.19,19.96,0.0,-1.03,-0.09,14.76,4.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.61,31.46,2,18.15,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.81,40.19,0.0,736354,494786,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.51,26.2,73.8,Lean R,-10.43,5.19,-7.36,-2.16,-0.47,0.51,-13.22,6.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,53.26,0.0,3578164,4076662,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.88,57.4,42.6,Toss-up,-1.84,5.19,0.97,-2.26,0.0,-0.12,-2.21,4.09,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.256,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.94,49.06,0.0,1872011,1803035,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.12,99.9,0.1,Safe D,25.72,5.19,32.12,0.0,1.67,-0.46,23.56,8.56,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.06,33.94,0.0,238932,122759,0,0,361691
