race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.94,87.7,12.3,Likely D,-13.27,5.5,-8.83,0.0,0.0,-1.06,-13.8,4.96,True,False,,4,Jonathan Kreiss-Tomkins,10.79,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.58,54.42,0.0,107781,128665,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.28,2.8,97.2,Safe R,-29.66,5.5,-21.27,0.0,3.37,-0.48,-30.88,11.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-7.11,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.36,59.64,0.0,639933,945630,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.44,1.7,98.3,Safe R,-30.62,5.5,-25.75,0.0,-0.13,-0.51,-31.57,10.13,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-4.43,0.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.28,60.72,0.0,329748,509709,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.81,81.1,18.9,Likely D,-4.25,5.5,8.56,0.94,6.01,0.36,-5.59,14.4,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.95,0.315,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,45.6,0.0,1290769,1081754,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.96,99.7,0.3,Safe D,23.42,5.5,30.06,0.25,0.0,0.89,20.82,7.14,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,57.79,36.61,6,21.58,0.273,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.98,36.02,0.0,7100619,3997924,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.98,96.2,3.8,Safe D,11.48,5.5,17.6,0.64,0.0,-0.01,11.29,6.69,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,15.74,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.87,39.53,0.0,1270906,883559,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.36,97.2,2.8,Safe D,15.88,5.5,20.27,0.0,-1.03,-0.09,14.76,4.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,51.51,35.42,4,16.53,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.68,40.32,0.0,734733,496406,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.95,27.5,72.5,Lean R,-10.43,5.5,-7.05,-2.16,-0.47,0.51,-13.22,7.28,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,41.43,43.38,18,-2.62,0.286,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.03,52.97,0.0,3599800,4055026,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,2.14,58.8,41.2,Toss-up,-1.84,5.5,1.28,-2.26,0.0,-0.12,-2.21,4.35,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,5.36,0.268,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.07,48.93,0.0,1876938,1798109,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.43,99.9,0.1,Safe D,25.72,5.5,32.43,0.0,1.67,-0.46,23.56,8.87,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.21,33.79,0.0,239492,122198,0,0,361691
