race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,45.61,55.99,87.8,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,21.41,44.01,9.1,0
AK-GOV,C-1061,Dave Bronson,REP,,0,17.35,0.0,1.6,0
AK-GOV,C-1068,Candice English,REP,,0,15.63,0.0,1.4,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,47.77,49.44,46.5,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,48.55,50.56,53.5,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.17,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.38,50.38,53.8,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.62,49.62,46.2,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.79,51.35,60.8,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.21,48.65,39.2,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.61,65.61,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.39,34.39,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.61,47.61,31.8,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.39,52.39,68.2,1
