race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,49.13,48.02,0.0,,0.0,0.68,14,0.1299
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.2279
AR-SEN,39.64,48.37,3.44,LIB,0.0,0.0,4,0.3369
FL-SEN,44.14,48.26,0.0,,0.0,0.0,6,0.3614
GA-SEN,53.62,42.98,0.0,,0.0,0.0,11,0.0976
IA-SEN,45.37,44.41,0.32,LIB,0.0,0.0,15,0.4442
ID-SEN,29.96,39.02,3.65,IND,0.0,0.0,5,0.2998
KS-SEN,43.84,45.58,3.13,LIB,0.0,0.0,5,0.4272
KY-SEN,39.99,49.0,0.0,,0.0,0.0,2,0.3386
MA-SEN,50.61,30.23,1.93,PSL,0.0,0.0,9,0.1581
ME-SEN,47.31,44.35,0.0,,0.0,0.0,8,0.5532
MI-SEN,46.23,44.58,0.02,LIB,0.0,0.0,29,0.335
MN-SEN,44.95,40.96,1.75,IND,0.0,0.0,6,0.4442
MS-SEN,39.49,45.44,3.54,IND,0.0,0.0,2,0.3506
MT-SEN,25.0,42.73,20.33,IND,0.0,0.0,8,0.3423
NC-SEN,48.37,38.13,1.3,LIB,0.0,0.0,29,0.2128
NE-SEN,47.0,46.63,0.0,,0.0,0.0,4,0.1376
NH-SEN,44.77,42.57,0.09,IND,0.0,0.0,19,0.1295
OH-SEN,48.96,43.87,0.07,LIB,0.0,0.0,19,0.2107
OK-SEN,25.0,49.0,4.0,IND,0.0,0.0,1,0.4156
RI-SEN,51.21,31.81,3.15,IND,0.0,0.0,3,0.2715
SC-SEN,38.51,42.23,1.16,LIB,0.0,0.0,6,0.4403
SD-SEN,41.27,46.07,0.0,,0.0,0.0,7,0.2516
TN-SEN,31.84,53.94,5.58,IND,0.0,0.0,1,0.6598
TX-SEN,46.86,44.28,0.68,LIB,0.0,0.0,31,0.2529
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.1144
AR-GOV,40.0,45.0,7.0,LIB,0.0,0.0,1,0.4774
AZ-GOV,46.33,37.27,1.28,IND,0.0,0.0,19,0.2348
CA-GOV,56.04,35.51,0.0,,0.0,0.0,5,0.1867
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0001
CT-GOV,51.51,35.42,0.0,,0.0,0.0,4,0.4632
FL-GOV,41.43,43.38,0.32,NPA,0.0,0.0,18,0.1296
GA-GOV,49.9,45.89,0.0,,0.0,0.0,8,0.2327
IA-GOV,50.15,41.57,0.0,,0.0,0.0,9,0.5144
ID-GOV,29.0,50.5,5.0,IND,0.0,0.0,1,0.3536
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0011
KS-GOV,45.38,48.02,0.0,,0.0,0.0,2,0.7283
MA-GOV,53.37,31.99,0.0,,0.0,0.0,8,0.1835
MD-GOV,58.0,31.0,0.0,,0.0,0.0,1,0.3878
ME-GOV,48.55,37.15,2.84,IND,0.0,0.0,6,0.482
MI-GOV,49.33,41.82,0.25,IND,0.0,0.0,26,0.2053
MN-GOV,50.47,36.9,1.8,GRE,0.0,0.0,5,0.3684
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.0254
NH-GOV,38.47,47.97,0.0,,0.0,0.0,6,0.2562
NM-GOV,45.55,35.12,0.0,,0.0,0.0,3,0.4554
NV-GOV,43.95,43.64,1.84,NPA,0.0,0.0,11,0.2188
NY-GOV,49.47,37.98,0.1,LIB,0.0,0.0,18,0.1287
OH-GOV,47.69,48.29,0.18,LIB,0.0,0.0,19,0.1005
OR-GOV,44.2,47.13,0.0,,0.0,0.0,3,0.0723
PA-GOV,54.09,36.01,0.11,GRE,0.0,0.0,14,0.23
RI-GOV,39.66,15.05,18.95,IND,0.0,0.0,2,0.3306
SC-GOV,39.66,47.0,0.0,,0.0,0.0,2,0.3868
TN-GOV,33.2,49.82,7.32,IND,0.0,0.0,3,0.34
TX-GOV,44.8,48.04,0.63,LIB,0.0,0.0,26,0.2626
VT-GOV,30.95,43.32,2.34,OTH,0.0,0.0,2,0.2155
WI-GOV,46.33,43.81,0.0,,0.0,0.0,6,0.3847
AK-01,36.81,48.68,8.02,IND,0.0,0.0,5,0.2594
AL-02,45.19,45.62,0.0,,0.0,0.0,3,0.4172
AR-02,48.0,44.0,0.0,,0.0,0.0,2,0.1938
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0009
AZ-02,43.5,45.67,1.16,LIB,0.0,0.0,2,0.3775
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.043
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.1436
