date,state,chamber,total,majority,seats_up,cur_dem,cur_gop,cur_other,cur_control,coalition_desc,proj_dem_mean,proj_dem_median,proj_dem_favored,structural_dem,dem_seats_p05,dem_seats_p95,dem_control_prob,proj_control,flip
2026-08-17,AK,House,40,21,40,14,21,5,Coalition,14D + 5I + 2R bipartisan coalition,16.9,17,17,0,12.0,21.0,0.0708,Coalition,False
2026-08-17,AK,Senate,20,11,10,9,11,0,Coalition,9D + 8R bipartisan coalition,8.9,9,9,5,8.0,10.0,0.0282,Coalition,False
2026-08-17,AL,House,105,53,105,29,76,0,R,,30.3,29,29,0,24.0,40.0,0.0122,R,False
2026-08-17,AL,Senate,35,18,35,8,27,0,R,,9.1,9,9,0,7.0,12.0,0.0054,R,False
2026-08-17,AR,House,100,51,100,20,80,0,R,,24.0,23,23,0,16.0,37.0,0.009,R,False
2026-08-17,AR,Senate,35,18,17,6,29,0,R,,6.8,7,7,2,5.0,9.0,0.0004,R,False
2026-08-17,AZ,House,60,31,60,26,34,0,R,,29.8,30,29,-1,21.0,38.0,0.4302,R,False
2026-08-17,AZ,Senate,30,16,30,13,17,0,R,,15.9,16,16,0,12.0,21.0,0.5249,D,True
2026-08-17,CA,Assembly,80,41,80,59,21,0,D,,62.6,63,64,0,52.0,71.0,0.9954,D,False
2026-08-17,CA,Senate,40,21,20,30,10,0,D,,31.3,32,31,16,27.0,34.0,0.9997,D,False
2026-08-17,CO,House,65,33,65,43,22,0,D,,46.6,47,47,0,36.0,56.0,0.9783,D,False
2026-08-17,CO,Senate,35,18,17,23,12,0,D,,23.1,23,23,12,20.0,26.0,0.9924,D,False
2026-08-17,CT,House,151,76,151,102,49,0,D,,122.2,126,133,0,86.0,145.0,0.9753,D,False
2026-08-17,CT,Senate,36,19,36,25,11,0,D,,28.9,30,31,0,19.0,34.0,0.9557,D,False
2026-08-17,DE,House,41,21,41,27,14,0,D,,31.7,32,31,0,25.0,37.0,0.9885,D,False
2026-08-17,DE,Senate,21,11,11,15,6,0,D,,15.8,16,15,7,13.0,18.0,0.9985,D,False
2026-08-17,FL,House,120,61,120,34,86,0,R,,49.4,47,43,0,31.0,76.0,0.1952,R,False
2026-08-17,FL,Senate,40,21,20,12,27,1,R,,13.9,13,13,5,10.0,19.0,0.0189,R,False
2026-08-17,GA,House,180,91,180,80,100,0,R,,87.7,86,85,0,71.0,109.0,0.3308,R,False
2026-08-17,GA,Senate,56,29,56,23,33,0,R,,25.4,24,23,0,20.0,33.0,0.1712,R,False
2026-08-17,HI,House,51,26,51,42,9,0,D,,44.7,45,45,0,39.0,48.0,0.9988,D,False
2026-08-17,HI,Senate,25,13,13,22,3,0,D,,22.0,22,22,10,21.0,23.0,0.9998,D,False
2026-08-17,IA,House,100,51,100,33,67,0,R,,41.5,40,37,0,27.0,62.0,0.1903,R,False
