race_code,ctrl_if_dem,ctrl_if_rep
AK-01,99.6,41.9
AL-01,100.0,25.8
AL-02,99.6,43.9
AL-03,,25.8
AL-04,100.0,25.8
AL-05,100.0,26.1
AL-06,100.0,25.8
AL-07,74.2,
AR-01,100.0,25.8
AR-02,100.0,35.3
AR-03,100.0,26.1
AR-04,100.0,25.8
AZ-01,93.7,74.0
AZ-02,98.0,54.4
AZ-03,74.2,
AZ-04,75.5,99.4
AZ-05,100.0,29.2
AZ-06,93.4,75.1
AZ-07,74.2,
AZ-08,100.0,31.6
AZ-09,100.0,26.1
CA-01,75.9,99.5
CA-02,74.2,
CA-03,75.2,100.0
CA-04,74.2,100.0
CA-05,100.0,26.9
CA-06,81.4,96.0
CA-07,74.2,
CA-08,74.2,
CA-09,74.3,100.0
CA-10,74.2,100.0
CA-11,74.2,100.0
CA-12,74.2,100.0
CA-13,75.1,100.0
CA-14,74.2,
CA-15,74.2,100.0
CA-16,74.2,100.0
CA-17,74.2,
CA-18,74.2,
CA-19,74.2,
CA-20,100.0,25.8
CA-21,75.3,100.0
CA-22,91.6,80.4
CA-23,100.0,27.5
CA-24,74.2,
CA-25,75.8,99.5
CA-26,74.5,100.0
CA-27,74.4,100.0
CA-28,74.2,100.0
CA-29,74.2,100.0
CA-30,74.2,100.0
CA-31,77.6,99.3
CA-32,74.2,
CA-33,74.4,100.0
CA-34,74.2,
CA-35,74.5,100.0
CA-36,74.2,100.0
CA-37,74.2,100.0
CA-38,74.5,100.0
CA-39,74.6,100.0
CA-40,100.0,25.8
CA-41,74.3,100.0
CA-42,74.5,100.0
CA-43,74.2,100.0
CA-44,74.2,100.0
CA-45,75.4,100.0
CA-46,74.2,
CA-47,75.1,100.0
CA-48,86.0,91.9
CA-49,75.0,100.0
CA-50,74.5,100.0
CA-51,74.3,100.0
CA-52,74.2,
CO-01,74.2,
CO-02,74.2,100.0
CO-03,99.3,47.3
CO-04,100.0,39.1
CO-05,99.9,34.8
CO-06,74.2,100.0
CO-07,74.3,100.0
CO-08,87.9,88.6
CT-01,74.3,100.0
CT-02,75.0,100.0
CT-03,74.4,100.0
CT-04,74.2,
CT-05,79.2,98.2
DE-01,74.3,100.0
FL-01,100.0,25.8
FL-02,100.0,31.3
FL-03,100.0,27.1
FL-04,100.0,32.3
FL-05,100.0,26.9
FL-06,100.0,26.0
FL-07,98.9,47.7
FL-08,100.0,31.1
FL-09,98.9,49.9
FL-10,74.2,100.0
FL-11,100.0,34.0
FL-12,100.0,29.2
FL-13,99.9,37.5
FL-14,91.2,79.9
FL-15,100.0,27.5
FL-16,99.7,39.6
FL-17,100.0,26.8
FL-18,100.0,29.8
FL-19,100.0,26.2
FL-20,74.2,
FL-21,100.0,28.1
FL-22,98.1,55.6
FL-23,74.3,100.0
FL-24,74.2,
FL-25,90.9,83.0
FL-26,100.0,30.4
FL-27,99.9,36.5
FL-28,100.0,28.2
GA-01,100.0,32.5
GA-02,74.8,100.0
GA-03,100.0,25.8
GA-04,74.2,100.0
GA-05,74.2,
GA-06,74.2,
GA-07,100.0,27.1
GA-08,100.0,25.8
GA-09,100.0,25.8
GA-10,100.0,27.4
GA-11,100.0,27.0
GA-12,100.0,29.8
GA-13,74.2,100.0
GA-14,100.0,26.2
HI-01,74.2,100.0
HI-02,74.2,100.0
IA-01,82.3,95.4
IA-02,97.0,62.5
IA-03,93.3,74.4
IA-04,100.0,26.3
ID-01,,25.8
ID-02,100.0,25.8
IL-01,74.2,
IL-02,74.2,100.0
IL-03,74.2,100.0
IL-04,74.2,100.0
IL-05,74.2,
IL-06,75.7,100.0
IL-07,74.2,100.0
IL-08,76.0,100.0
IL-09,74.2,100.0
IL-10,74.2,
IL-11,74.6,98.0
IL-12,100.0,25.8
IL-13,74.4,100.0
IL-14,74.9,100.0
IL-15,,25.8
IL-16,100.0,26.9
IL-17,75.6,100.0
IN-01,79.1,98.9
IN-02,100.0,25.9
IN-03,100.0,25.8
IN-04,100.0,25.8
IN-05,100.0,28.1
IN-06,100.0,25.8
IN-07,74.2,
IN-08,,25.8
IN-09,100.0,25.8
KS-01,100.0,25.8
KS-02,100.0,27.3
KS-03,75.2,100.0
KS-04,100.0,26.3
KY-01,,25.8
KY-02,,25.8
KY-03,74.2,
KY-04,100.0,25.8
KY-05,,25.8
KY-06,99.8,34.9
LA-01,,25.8
LA-02,74.2,100.0
LA-03,100.0,25.8
LA-04,,25.8
LA-05,100.0,25.8
LA-06,100.0,25.8
MA-01,74.8,100.0
MA-02,74.2,100.0
MA-03,74.2,100.0
MA-04,74.2,
MA-05,74.2,
MA-06,74.3,100.0
MA-07,74.2,100.0
MA-08,74.2,100.0
MA-09,74.8,100.0
MD-01,100.0,27.6
MD-02,74.2,100.0
MD-03,74.2,
MD-04,74.2,100.0
MD-05,74.2,
MD-06,76.2,100.0
MD-07,74.2,100.0
MD-08,74.2,
ME-01,74.3,100.0
ME-02,100.0,37.9
MI-01,100.0,29.0
MI-02,100.0,25.9
MI-03,75.3,100.0
MI-04,99.3,45.0
MI-05,100.0,25.9
MI-06,74.2,
MI-07,97.7,58.6
MI-08,76.0,100.0
MI-09,100.0,25.8
MI-10,97.1,61.3
MI-11,74.4,100.0
MI-12,74.2,
MI-13,74.2,
MN-01,100.0,35.3
MN-02,81.5,96.0
MN-03,74.3,100.0
MN-04,74.2,100.0
MN-05,74.2,100.0
MN-06,100.0,27.1
MN-07,100.0,25.8
MN-08,100.0,31.0
MO-01,74.2,100.0
MO-02,99.9,33.7
MO-03,100.0,25.9
MO-04,,25.8
MO-05,74.2,
MO-06,,25.8
MO-07,100.0,25.8
MO-08,100.0,25.8
MS-01,100.0,25.8
MS-02,74.2,
MS-03,100.0,26.0
MS-04,100.0,25.8
MT-01,99.8,36.8
MT-02,100.0,25.8
NC-01,95.6,66.1
NC-02,74.2,
NC-03,99.9,34.4
NC-04,74.2,
NC-05,100.0,30.8
NC-06,100.0,28.9
NC-07,100.0,30.8
NC-08,100.0,27.1
NC-09,100.0,29.9
NC-10,100.0,27.7
NC-11,99.7,43.0
NC-12,74.2,
NC-13,100.0,29.0
NC-14,100.0,28.9
ND-01,,25.8
NE-01,100.0,29.7
NE-02,84.1,93.7
NE-03,,25.8
NH-01,93.2,76.0
NH-02,78.8,98.5
NJ-01,74.2,
NJ-02,100.0,31.7
NJ-03,74.8,100.0
NJ-04,100.0,25.9
NJ-05,75.2,100.0
NJ-06,74.3,100.0
NJ-07,93.7,71.9
NJ-08,74.2,100.0
NJ-09,75.4,100.0
NJ-10,74.2,100.0
NJ-11,75.5,100.0
NJ-12,74.2,100.0
NM-01,74.5,100.0
NM-02,78.3,99.4
NM-03,74.7,100.0
NV-01,77.4,99.5
NV-02,99.8,37.3
NV-03,80.9,97.3
NV-04,76.0,98.8
NY-01,99.9,39.4
NY-02,100.0,29.9
NY-03,78.6,99.1
NY-04,79.0,98.2
NY-05,74.2,
NY-06,74.2,100.0
NY-07,74.2,100.0
NY-08,74.2,100.0
NY-09,74.2,
NY-10,74.2,
NY-11,100.0,26.4
NY-12,74.2,
NY-13,74.2,
NY-14,74.2,
NY-15,74.2,100.0
NY-16,74.2,
NY-17,95.7,65.7
NY-18,75.9,100.0
NY-19,80.8,97.6
NY-20,74.4,100.0
NY-21,100.0,29.2
NY-22,74.9,100.0
NY-23,100.0,26.2
NY-24,100.0,26.2
NY-25,74.4,100.0
NY-26,74.2,100.0
OH-01,84.7,93.3
OH-02,100.0,25.8
OH-03,74.2,100.0
OH-04,,25.8
OH-05,100.0,26.2
OH-06,100.0,25.8
OH-07,99.3,44.5
OH-08,100.0,32.4
OH-09,86.6,89.2
OH-10,100.0,31.7
OH-11,74.2,100.0
OH-12,100.0,25.9
OH-13,76.5,99.7
OH-14,100.0,26.5
OH-15,99.9,39.4
OK-01,100.0,26.9
OK-02,100.0,25.8
OK-03,100.0,25.8
OK-04,100.0,25.8
OK-05,100.0,27.1
OR-01,74.2,100.0
OR-02,100.0,25.8
OR-03,74.2,
OR-04,77.9,99.4
OR-05,78.2,99.6
OR-06,76.5,99.3
PA-01,99.4,46.5
PA-02,74.2,
PA-03,74.2,
PA-04,74.3,100.0
PA-05,74.2,
PA-06,74.5,100.0
PA-07,95.7,66.1
PA-08,98.1,56.5
PA-09,100.0,25.8
PA-10,86.2,91.2
PA-11,100.0,27.3
PA-12,74.2,100.0
PA-13,,25.8
