race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,48.47,47.4,0.0,,14.38,14.91,13,0.1403
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.3455
AR-SEN,39.64,48.37,3.44,LIB,0.0,0.0,4,0.5107
FL-SEN,40.04,49.3,0.0,,0.0,0.0,4,0.1226
GA-SEN,53.62,42.98,0.0,,0.0,0.0,11,0.148
IA-SEN,45.65,47.02,0.55,LIB,0.0,0.0,10,0.2631
ID-SEN,29.96,39.02,3.65,IND,0.0,0.0,5,0.4544
KS-SEN,43.2,47.03,0.0,,0.0,0.0,3,0.3431
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0031
MA-SEN,51.23,30.31,0.0,,0.0,0.0,8,0.1502
ME-SEN,48.26,45.65,0.0,,0.0,0.0,5,0.4601
MI-SEN,45.75,46.15,0.0,,0.0,0.0,23,0.3199
MN-SEN,46.18,41.09,0.95,IND,0.0,0.0,5,0.1895
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.0432
MT-SEN,29.54,44.7,15.91,IND,0.0,0.0,6,0.3929
NC-SEN,50.06,40.36,0.75,LIB,0.0,0.0,27,0.2168
NE-SEN,47.0,42.8,0.0,,0.0,0.0,3,0.0313
NH-SEN,47.34,41.78,0.0,,0.0,0.0,17,0.0986
OH-SEN,50.65,45.83,0.09,LIB,0.0,0.0,17,0.1712
OK-SEN,25.0,49.0,4.0,IND,0.0,0.0,1,0.63
RI-SEN,52.0,34.82,0.0,,0.0,0.0,2,0.1399
SC-SEN,44.73,47.89,0.0,,0.0,0.0,3,0.0803
SD-SEN,35.08,52.22,0.0,,0.0,0.0,5,0.095
TX-SEN,46.02,44.34,0.96,LIB,0.0,0.0,26,0.2371
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.1734
AR-GOV,40.0,45.0,7.0,LIB,0.0,0.0,1,0.7236
AZ-GOV,46.25,37.04,1.32,IND,0.0,0.0,18,0.3384
CA-GOV,56.04,35.51,0.0,,0.0,0.0,5,0.2829
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0002
CT-GOV,49.61,31.46,0.0,,0.0,0.0,2,0.4017
FL-GOV,39.39,43.16,0.43,NPA,0.0,0.0,17,0.1372
GA-GOV,49.9,45.89,0.0,,0.0,0.0,8,0.3527
IA-GOV,49.19,43.96,0.0,,0.0,0.0,6,0.3841
ID-GOV,29.0,50.5,5.0,IND,0.0,0.0,1,0.5359
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0017
MA-GOV,53.13,32.73,0.0,,0.0,0.0,7,0.1815
MD-GOV,58.0,31.0,0.0,,0.0,0.0,1,0.5878
ME-GOV,50.81,38.39,5.69,IND,0.0,0.0,4,0.371
MI-GOV,49.47,42.67,0.6,IND,0.0,0.0,22,0.1781
MN-GOV,51.72,36.25,0.91,IND,0.0,0.0,4,0.2498
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.0385
NH-GOV,38.07,47.19,0.0,,0.0,0.0,5,0.2751
NM-GOV,41.4,25.66,0.0,,0.0,0.0,2,0.5118
NV-GOV,43.14,49.05,0.0,,0.0,0.0,10,0.2297
