date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-4.57,40.9,59.1,Toss-up,-13.18,3.18,-10.0,-13.8,9.23,46.95,51.45,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.74,0.27,47.5,-1.5,39.8,85.0,57.5,59.4,52.5,52.5,53.4,50.4,45.5,42.5,42.5,43.5,43.5,47.4,42.5,44.5,45.4,51.3,57.2,55.3,59.2,52.0,51.0,51.0,50.1,49.1,48.1,47.1,46.1,46.1,45.1,45.1,45.1,46.1,46.1,47.1,48.1
2026-01-02,305,-3.91,42.4,57.6,Toss-up,-13.18,3.18,-10.0,-13.8,9.89,47.28,51.12,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.74,0.27,47.5,-1.5,40.1,85.4,57.8,59.8,52.9,52.9,53.7,50.8,45.8,42.9,42.9,43.9,43.9,47.7,42.8,44.8,45.8,51.7,57.6,55.6,59.5,52.4,51.4,51.4,50.4,49.4,48.4,47.4,46.5,46.5,45.5,45.5,45.5,46.5,46.5,47.4,48.4
2026-01-03,304,-4.3,42.4,57.6,Toss-up,-13.18,3.19,-9.99,-13.8,9.5,47.08,51.32,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.73,0.27,47.5,-1.5,39.9,85.2,57.6,59.6,52.7,52.7,53.5,50.6,45.6,42.7,42.7,43.7,43.7,47.5,42.6,44.6,45.6,51.5,57.4,55.4,59.3,52.2,51.2,51.2,50.2,49.2,48.2,47.2,46.3,46.3,45.3,45.3,45.3,46.3,46.3,47.2,48.2
2026-01-04,303,-5.24,40.0,60.0,Lean R,-13.18,3.13,-10.05,-13.8,8.56,46.62,51.78,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.79,0.27,47.6,-1.3,39.4,84.7,57.1,59.1,52.2,52.2,53.0,50.1,45.2,42.2,42.2,43.2,43.2,47.1,42.2,44.1,45.1,51.0,56.9,54.9,58.9,51.7,50.7,50.7,49.7,48.7,47.8,46.8,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.8,47.8
2026-01-05,302,-4.34,40.6,59.4,Toss-up,-13.18,3.17,-10.01,-13.8,9.46,47.07,51.33,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.3,39.9,85.1,57.6,59.6,52.7,52.7,53.5,50.5,45.6,42.7,42.7,43.7,43.7,47.5,42.6,44.6,45.6,51.5,57.4,55.4,59.3,52.1,51.2,51.2,50.2,49.2,48.2,47.2,46.2,46.2,45.3,45.3,45.3,46.2,46.2,47.2,48.2
2026-01-06,301,-5.6,37.6,62.4,Lean R,-13.18,3.17,-10.01,-13.8,8.2,46.45,51.95,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.3,39.3,84.5,57.0,58.9,52.0,52.0,52.9,49.9,45.0,42.0,42.0,43.0,43.0,46.9,42.0,44.0,44.9,50.8,56.7,54.8,58.7,51.5,50.5,50.5,49.6,48.6,47.6,46.6,45.6,45.6,44.6,44.6,44.6,45.6,45.6,46.6,47.6
2026-01-07,300,-4.05,41.7,58.3,Toss-up,-13.18,3.17,-10.01,-13.8,9.75,47.21,51.19,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.4,40.0,85.3,57.7,59.7,52.8,52.8,53.6,50.7,45.8,42.8,42.8,43.8,43.8,47.7,42.7,44.7,45.7,51.6,57.5,55.5,59.5,52.3,51.3,51.3,50.3,49.3,48.3,47.4,46.4,46.4,45.4,45.4,45.4,46.4,46.4,47.4,48.3
2026-01-08,299,-4.46,41.3,58.7,Toss-up,-13.18,3.17,-10.01,-13.8,9.34,47.01,51.39,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.4,39.8,85.1,57.5,59.5,52.6,52.6,53.4,50.5,45.6,42.6,42.6,43.6,43.6,47.5,42.5,44.5,45.5,51.4,57.3,55.3,59.3,52.1,51.1,51.1,50.1,49.1,48.1,47.2,46.2,46.2,45.2,45.2,45.2,46.2,46.2,47.2,48.1
2026-01-09,298,-4.08,41.1,58.9,Toss-up,-13.18,3.17,-10.01,-13.8,9.72,47.19,51.21,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.4,40.0,85.3,57.7,59.7,52.8,52.8,53.6,50.7,45.7,42.8,42.8,43.8,43.8,47.6,42.7,44.7,45.7,51.6,57.5,55.5,59.5,52.3,51.3,51.3,50.3,49.3,48.3,47.3,46.4,46.4,45.4,45.4,45.4,46.4,46.4,47.3,48.3
2026-01-10,297,-4.32,42.0,58.0,Toss-up,-13.18,3.17,-10.01,-13.8,9.48,47.08,51.32,1.6,True,False,,,,0.0,0.0,0.0,58.81,41.14,4,17.67,0.175,-9.75,0.27,47.6,-1.4,39.9,85.2,57.6,59.6,52.7,52.7,53.5,50.6,45.6,42.7,42.7,43.7,43.7,47.5,42.6,44.6,45.6,51.5,57.4,55.4,59.3,52.2,51.2,51.2,50.2,49.2,48.2,47.2,46.3,46.3,45.3,45.3,45.3,46.3,46.3,47.2,48.2
