date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-4.11,42.1,57.9,Toss-up,-12.25,3.11,-5.87,-13.8,9.69,47.18,51.22,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.13,-1.06,47.5,-1.6,40.0,85.3,57.7,59.7,52.8,52.8,53.6,50.7,45.7,42.8,42.8,43.8,43.8,47.6,42.7,44.7,45.7,51.6,57.5,55.5,59.4,52.3,51.3,51.3,50.3,49.3,48.3,47.3,46.4,46.4,45.4,45.4,45.4,46.4,46.4,47.3,48.3
2026-01-02,305,-3.41,42.3,57.7,Toss-up,-12.34,3.11,-5.96,-13.8,10.38,47.52,50.88,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.13,-1.06,47.5,-1.6,40.3,85.6,58.0,60.0,53.1,53.1,53.9,51.0,46.1,43.1,43.1,44.1,44.1,48.0,43.1,45.0,46.0,51.9,57.8,55.8,59.8,52.6,51.6,51.6,50.6,49.6,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-03,304,-4.54,40.5,59.5,Toss-up,-12.47,3.11,-6.09,-13.8,9.26,46.97,51.43,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.13,-1.06,47.5,-1.6,39.8,85.0,57.5,59.5,52.6,52.6,53.4,50.4,45.5,42.6,42.6,43.6,43.6,47.4,42.5,44.5,45.5,51.4,57.3,55.3,59.2,52.0,51.1,51.1,50.1,49.1,48.1,47.1,46.1,46.1,45.2,45.2,45.2,46.1,46.1,47.1,48.1
2026-01-04,303,-3.83,42.5,57.5,Toss-up,-12.38,3.04,-6.07,-13.8,9.97,47.32,51.08,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.2,-1.06,47.6,-1.3,40.1,85.4,57.8,59.8,52.9,52.9,53.7,50.8,45.9,42.9,42.9,43.9,43.9,47.8,42.9,44.8,45.8,51.7,57.6,55.6,59.6,52.4,51.4,51.4,50.4,49.4,48.5,47.5,46.5,46.5,45.5,45.5,45.5,46.5,46.5,47.5,48.5
2026-01-05,302,-4.4,43.0,57.0,Toss-up,-12.32,3.08,-5.97,-13.8,9.4,47.04,51.36,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.16,-1.06,47.6,-1.4,39.8,85.1,57.6,59.5,52.6,52.6,53.5,50.5,45.6,42.6,42.6,43.6,43.6,47.5,42.6,44.5,45.5,51.4,57.3,55.4,59.3,52.1,51.1,51.1,50.1,49.2,48.2,47.2,46.2,46.2,45.2,45.2,45.2,46.2,46.2,47.2,48.2
2026-01-06,301,-4.17,40.6,59.4,Toss-up,-12.47,3.08,-6.12,-13.8,9.63,47.15,51.25,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.16,-1.06,47.6,-1.4,40.0,85.2,57.7,59.6,52.7,52.7,53.6,50.6,45.7,42.7,42.7,43.7,43.7,47.6,42.7,44.7,45.6,51.5,57.4,55.5,59.4,52.2,51.2,51.2,50.3,49.3,48.3,47.3,46.3,46.3,45.3,45.3,45.3,46.3,46.3,47.3,48.3
2026-01-07,300,-4.17,42.2,57.8,Toss-up,-12.47,3.08,-6.13,-13.8,9.63,47.15,51.25,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.16,-1.06,47.6,-1.5,40.0,85.2,57.7,59.6,52.7,52.7,53.6,50.6,45.7,42.7,42.7,43.7,43.7,47.6,42.7,44.7,45.6,51.5,57.4,55.5,59.4,52.2,51.2,51.2,50.3,49.3,48.3,47.3,46.3,46.3,45.3,45.3,45.3,46.3,46.3,47.3,48.3
2026-01-08,299,-4.28,39.6,60.4,Lean R,-12.55,3.08,-6.21,-13.8,9.52,47.1,51.3,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.16,-1.06,47.6,-1.5,39.9,85.2,57.6,59.6,52.7,52.7,53.5,50.6,45.7,42.7,42.7,43.7,43.7,47.6,42.6,44.6,45.6,51.5,57.4,55.4,59.4,52.2,51.2,51.2,50.2,49.2,48.2,47.3,46.3,46.3,45.3,45.3,45.3,46.3,46.3,47.3,48.2
2026-01-09,298,-4.36,41.0,59.0,Toss-up,-12.47,3.09,-6.11,-13.8,9.44,47.06,51.34,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.15,-1.06,47.6,-1.4,39.9,85.1,57.6,59.5,52.7,52.7,53.5,50.5,45.6,42.7,42.7,43.6,43.6,47.5,42.6,44.6,45.5,51.5,57.4,55.4,59.3,52.1,51.2,51.2,50.2,49.2,48.2,47.2,46.2,46.2,45.2,45.2,45.2,46.2,46.2,47.2,48.2
2026-01-10,297,-3.64,42.7,57.3,Toss-up,-12.31,3.09,-5.95,-13.8,10.16,47.41,50.99,1.6,True,False,,,,0.0,0.0,0.0,45.19,43.12,5,1.38,0.194,8661662,6500847,0,-11.15,-1.06,47.6,-1.4,40.2,85.5,57.9,59.9,53.0,53.0,53.8,50.9,46.0,43.0,43.0,44.0,44.0,47.9,42.9,44.9,45.9,51.8,57.7,55.7,59.7,52.5,51.5,51.5,50.5,49.5,48.5,47.6,46.6,46.6,45.6,45.6,45.6,46.6,46.6,47.6,48.5
