section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,AL-06,house,Democratic candidate (AL-06),Republican candidate (AL-06),-27.12,0.4,99.6,Safe R,89147,155484,0,244631.0,36.44,63.56,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-30.77,5.32,False,-29.43,55.0,13.1,,,,,,,,,,,
demographic,,,,,,,,,45596,129691,0,,26.0,74.0,0.0,,,0.0,0,,,,,,,,,,,,,race,White,71.65,175287.0,,,,,,,
demographic,,,,,,,,,33929,13187,0,,72.0,28.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,19.26,47116.0,,,,,,,
demographic,,,,,,,,,5037,6408,0,,44.0,56.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,4.68,11445.0,,,,,,,
demographic,,,,,,,,,2460,2886,0,,46.0,54.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,2.19,5346.0,,,,,,,
demographic,,,,,,,,,2026,3167,0,,39.0,61.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.12,5192.0,,,,,,,
demographic,,,,,,,,,96,149,0,,39.0,61.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.1,245.0,,,,,,,
demographic,,,,,,,,,17244,22374,0,,43.5,56.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.19,39617.0,,,,,,,
demographic,,,,,,,,,17987,26397,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.14,44384.0,,,,,,,
demographic,,,,,,,,,15580,28277,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,17.93,43858.0,,,,,,,
demographic,,,,,,,,,13920,28878,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.49,42798.0,,,,,,,
demographic,,,,,,,,,12599,26137,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.83,38736.0,,,,,,,
demographic,,,,,,,,,7916,15696,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.65,23612.0,,,,,,,
demographic,,,,,,,,,3897,7728,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.75,11626.0,,,,,,,
demographic,,,,,,,,,7362,13045,0,,36.1,63.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,8.34,20406.0,,,,,,,
demographic,,,,,,,,,19101,42366,0,,31.1,68.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,25.13,61467.0,,,,,,,
demographic,,,,,,,,,16340,33062,0,,33.1,66.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,20.19,49401.0,,,,,,,
demographic,,,,,,,,,6637,12840,0,,34.1,65.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.96,19477.0,,,,,,,
demographic,,,,,,,,,23291,34827,0,,40.1,59.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,23.76,58118.0,,,,,,,
demographic,,,,,,,,,11198,13106,0,,46.1,53.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,9.93,24304.0,,,,,,,
demographic,,,,,,,,,3233,4102,0,,44.1,55.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,3.0,7336.0,,,,,,,
demographic,,,,,,,,,1982,2140,0,,48.1,51.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.68,4122.0,,,,,,,
demographic,,,,,,,,,4617,6510,0,,41.5,58.5,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,4.55,11127.0,,,,,,,
demographic,,,,,,,,,3241,4763,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,3.27,8004.0,,,,,,,
demographic,,,,,,,,,3085,4534,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.11,7619.0,,,,,,,
demographic,,,,,,,,,3078,4716,0,,39.5,60.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,3.19,7795.0,,,,,,,
demographic,,,,,,,,,3451,5515,0,,38.5,61.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,3.66,8966.0,,,,,,,
demographic,,,,,,,,,3246,5413,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,3.54,8659.0,,,,,,,
demographic,,,,,,,,,3065,5333,0,,36.5,63.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,3.43,8398.0,,,,,,,
demographic,,,,,,,,,3078,5594,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,3.55,8672.0,,,,,,,
demographic,,,,,,,,,2922,5310,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,3.37,8232.0,,,,,,,
demographic,,,,,,,,,5812,11039,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,6.89,16851.0,,,,,,,
demographic,,,,,,,,,8209,15590,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,9.73,23799.0,,,,,,,
demographic,,,,,,,,,11590,22012,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,13.74,33602.0,,,,,,,
demographic,,,,,,,,,8937,16244,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,10.29,25182.0,,,,,,,
demographic,,,,,,,,,6368,11574,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,7.33,17941.0,,,,,,,
demographic,,,,,,,,,8033,13980,0,,36.5,63.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,9.0,22013.0,,,,,,,
demographic,,,,,,,,,10412,17360,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,11.35,27772.0,,,,,,,
county,,,,,-39.1,,,,6031,13775,0,19806.0,,,,,,,0,,,,,,,,,,,,,,,,,01001,72.8,18.7,3.0,1.4,0.3,0.0
county,,,,,-57.14,,,,1390,5094,0,6484.0,,,,,,,0,,,,,,,,,,,,,,,,,01007,74.5,20.2,2.6,0.1,0.2,0.1
county,,,,,-64.86,,,,2433,11411,0,13844.0,,,,,,,0,,,,,,,,,,,,,,,,,01021,80.0,8.9,8.0,0.4,0.3,0.0
county,,,,,-35.93,,,,1182,2507,0,3689.0,,,,,,,0,,,,,,,,,,,,,,,,,01037,66.9,28.6,1.3,0.1,0.3,0.0
county,,,,,-48.46,,,,4242,12219,0,16460.0,,,,,,,0,,,,,,,,,,,,,,,,,01051,72.9,20.2,2.6,0.8,0.3,0.0
county,,,,,-8.78,,,,47119,56189,0,103308.0,,,,,,,0,,,,,,,,,,,,,,,,,01073,50.4,40.4,4.3,2.0,0.2,0.0
county,,,,,-33.7,,,,26628,53695,0,80322.0,,,,,,,0,,,,,,,,,,,,,,,,,01117,75.4,12.5,6.1,2.3,0.2,0.0
county,,,,,-65.44,,,,124,593,0,717.0,,,,,,,0,,,,,,,,,,,,,,,,,01121,63.6,31.2,1.8,0.5,0.3,0.0
