date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,29.74,99.8,0.2,Safe D,22.44,3.11,29.74,17.99,11.75,64.87,35.13,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.35,-0.12,34.9,-26.7,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-02,305,29.74,99.8,0.2,Safe D,22.44,3.11,29.74,17.99,11.75,64.87,35.13,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.35,-0.12,34.9,-26.7,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-03,304,29.74,99.8,0.2,Safe D,22.44,3.11,29.74,17.99,11.75,64.87,35.13,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.35,-0.12,34.9,-26.7,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-04,303,29.66,99.8,0.2,Safe D,22.41,3.05,29.66,17.99,11.67,64.83,35.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.29,-0.12,35.0,-26.5,40.4,86.4,58.4,60.4,53.4,53.4,71.6,68.6,63.6,60.6,60.6,61.6,61.6,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.2,68.2,68.2,67.2,66.2,65.2,64.2,63.2,63.2,62.2,62.2,62.2,63.2,63.2,64.2,65.2
2026-01-05,302,29.7,99.8,0.2,Safe D,22.43,3.08,29.7,17.99,11.71,64.85,35.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.32,-0.12,35.0,-26.5,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-06,301,29.7,99.8,0.2,Safe D,22.43,3.08,29.7,17.99,11.71,64.85,35.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.32,-0.12,35.0,-26.5,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-07,300,29.7,99.8,0.2,Safe D,22.43,3.08,29.7,17.99,11.71,64.85,35.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.32,-0.12,35.0,-26.7,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-08,299,29.72,99.8,0.2,Safe D,22.43,3.09,29.72,17.99,11.73,64.86,35.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.33,-0.12,35.0,-26.6,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-09,298,29.72,99.8,0.2,Safe D,22.43,3.09,29.72,17.99,11.73,64.86,35.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.33,-0.12,35.0,-26.6,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
2026-01-10,297,29.72,99.8,0.2,Safe D,22.43,3.09,29.72,17.99,11.73,64.86,35.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22.33,-0.12,35.0,-26.6,40.4,86.4,58.4,60.4,53.4,53.4,71.7,68.7,63.7,60.7,60.7,61.7,61.7,65.8,60.8,62.8,63.8,69.8,75.8,73.8,77.8,69.3,68.3,68.3,67.3,66.3,65.3,64.3,63.3,63.3,62.3,62.3,62.3,63.3,63.3,64.3,65.3
