section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,AR-01,house,Democratic candidate (AR-01),Republican candidate (AR-01),-38.49,0.0,100.0,Safe R,60227,135599,0,195826.0,30.76,69.24,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-42.14,5.32,False,-39.33,59.3,21.8,,,,,,,,,,,
demographic,,,,,,,,,32472,116328,0,,21.8,78.2,0.0,,,0.0,0,,,,,,,,,,,,,race,White,75.99,148800.0,,,,,,,
demographic,,,,,,,,,22502,10676,0,,67.8,32.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,16.94,33178.0,,,,,,,
demographic,,,,,,,,,2445,3695,0,,39.8,60.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,3.14,6141.0,,,,,,,
demographic,,,,,,,,,791,1100,0,,41.8,58.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,0.97,1891.0,,,,,,,
demographic,,,,,,,,,1898,3552,0,,34.8,65.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.78,5450.0,,,,,,,
demographic,,,,,,,,,127,239,0,,34.8,65.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.19,366.0,,,,,,,
demographic,,,,,,,,,12253,20022,0,,38.0,62.0,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.48,32275.0,,,,,,,
demographic,,,,,,,,,11420,21241,0,,35.0,65.0,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,16.68,32661.0,,,,,,,
demographic,,,,,,,,,9339,21826,0,,30.0,70.0,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.91,31165.0,,,,,,,
demographic,,,,,,,,,9031,24459,0,,27.0,73.0,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.1,33490.0,,,,,,,
demographic,,,,,,,,,8908,24127,0,,27.0,73.0,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,16.87,33035.0,,,,,,,
demographic,,,,,,,,,6090,15686,0,,28.0,72.0,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,11.12,21776.0,,,,,,,
demographic,,,,,,,,,3195,8229,0,,28.0,72.0,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.83,11424.0,,,,,,,
demographic,,,,,,,,,8544,17786,0,,32.4,67.6,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,13.45,26329.0,,,,,,,
demographic,,,,,,,,,20755,54856,0,,27.4,72.6,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,38.61,75611.0,,,,,,,
demographic,,,,,,,,,12709,30445,0,,29.4,70.6,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,22.04,43153.0,,,,,,,
demographic,,,,,,,,,4970,11351,0,,30.4,69.6,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,8.33,16321.0,,,,,,,
demographic,,,,,,,,,8127,14169,0,,36.4,63.6,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,11.39,22296.0,,,,,,,
demographic,,,,,,,,,3987,5405,0,,42.4,57.6,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,4.8,9392.0,,,,,,,
