date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-28.3,0.3,99.7,Safe R,-24.5,3.18,-28.3,-25.81,-2.49,35.85,64.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.09,-0.69,52.6,8.7,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-02,305,-28.3,0.3,99.7,Safe R,-24.5,3.18,-28.3,-25.81,-2.49,35.85,64.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.09,-0.69,52.6,8.7,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-03,304,-28.29,0.3,99.7,Safe R,-24.49,3.19,-28.29,-25.81,-2.48,35.86,64.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.08,-0.69,52.6,8.7,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.2,31.2,33.2,34.2,40.2,46.2,44.2,48.2,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-04,303,-28.38,0.3,99.7,Safe R,-24.52,3.13,-28.38,-25.81,-2.56,35.81,64.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.14,-0.69,52.8,9.0,29.9,75.9,47.9,49.9,42.9,42.9,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.8,39.8,39.8,38.8,37.8,36.8,35.8,34.8,34.8,33.8,33.8,33.8,34.8,34.8,35.8,36.8
2026-01-05,302,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.7,8.9,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-06,301,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.7,8.9,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-07,300,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.7,8.8,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-08,299,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.8,8.8,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-09,298,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.7,8.9,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-10,297,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.7,8.9,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-11,296,-28.35,0.3,99.7,Safe R,-24.51,3.15,-28.35,-25.81,-2.53,35.83,64.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.12,-0.69,52.7,8.7,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.8,39.8,39.8,38.8,37.8,36.8,35.8,34.8,34.8,33.8,33.8,33.8,34.8,34.8,35.8,36.8
2026-01-12,295,-28.29,0.3,99.7,Safe R,-24.49,3.19,-28.29,-25.81,-2.48,35.86,64.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.08,-0.69,52.6,8.5,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.2,31.2,33.2,34.2,40.2,46.2,44.2,48.2,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
2026-01-13,294,-28.32,0.3,99.7,Safe R,-24.5,3.17,-28.32,-25.81,-2.51,35.84,64.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-23.1,-0.69,52.5,8.3,30.0,76.0,48.0,50.0,43.0,43.0,42.4,39.4,34.4,31.4,31.4,32.4,32.4,36.1,31.1,33.1,34.1,40.1,46.1,44.1,48.1,40.9,39.9,39.9,38.9,37.9,36.9,35.9,34.9,34.9,33.9,33.9,33.9,34.9,34.9,35.9,36.9
