date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-28.02,0.4,99.6,Safe R,-30.5,3.11,-28.02,-31.57,3.54,35.99,64.01,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.9,-0.51,55.4,14.3,26.8,72.8,44.8,46.8,39.8,39.8,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-02,305,-28.02,0.4,99.6,Safe R,-30.5,3.11,-28.02,-31.57,3.54,35.99,64.01,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.9,-0.51,55.4,14.3,26.8,72.8,44.8,46.8,39.8,39.8,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-03,304,-28.02,0.4,99.6,Safe R,-30.5,3.11,-28.02,-31.57,3.54,35.99,64.01,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.9,-0.51,55.4,14.3,26.8,72.8,44.8,46.8,39.8,39.8,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-04,303,-28.09,0.4,99.6,Safe R,-30.5,3.04,-28.09,-31.57,3.47,35.95,64.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.97,-0.51,55.5,14.5,26.7,72.7,44.7,46.7,39.7,39.7,42.9,39.9,34.9,31.9,31.9,32.9,32.9,36.9,31.9,33.9,34.9,40.9,46.9,44.9,48.9,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-05,302,-28.05,0.4,99.6,Safe R,-30.5,3.08,-28.05,-31.57,3.51,35.97,64.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.93,-0.51,55.5,14.5,26.7,72.7,44.7,46.7,39.7,39.7,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-06,301,-28.05,0.4,99.6,Safe R,-30.5,3.08,-28.05,-31.57,3.51,35.97,64.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.93,-0.51,55.5,14.5,26.7,72.7,44.7,46.7,39.7,39.7,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-07,300,-28.05,0.4,99.6,Safe R,-30.5,3.08,-28.05,-31.57,3.51,35.97,64.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.93,-0.51,55.5,14.4,26.7,72.7,44.7,46.7,39.7,39.7,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-08,299,-28.05,0.4,99.6,Safe R,-30.5,3.08,-28.05,-31.57,3.51,35.97,64.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.93,-0.51,55.5,14.4,26.7,72.7,44.7,46.7,39.7,39.7,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-09,298,-28.04,0.4,99.6,Safe R,-30.5,3.09,-28.04,-31.57,3.52,35.98,64.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.92,-0.51,55.5,14.4,26.8,72.8,44.8,46.8,39.8,39.8,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
2026-01-10,297,-28.04,0.4,99.6,Safe R,-30.5,3.09,-28.04,-31.57,3.52,35.98,64.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-27.92,-0.51,55.5,14.4,26.8,72.8,44.8,46.8,39.8,39.8,43.0,40.0,35.0,32.0,32.0,33.0,33.0,37.0,32.0,34.0,35.0,41.0,47.0,45.0,49.0,40.7,39.7,39.7,38.7,37.7,36.7,35.7,34.7,34.7,33.7,33.7,33.7,34.7,34.7,35.7,36.7
