section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,AZ-05,house,Democratic candidate (AZ-05),Republican candidate (AZ-05),-12.72,11.0,89.0,Likely R,135946,175571,0,311518.0,43.64,56.36,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-16.37,5.32,False,-14.22,47.4,-2.0,,,,,,,,,,,
demographic,,,,,,,,,80619,137383,0,,37.0,63.0,0.0,,,0.0,0,,,,,,,,,,,,,race,White,69.98,218001.0,,,,,,,
demographic,,,,,,,,,11685,2396,0,,83.0,17.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,4.52,14081.0,,,,,,,
demographic,,,,,,,,,26173,21431,0,,55.0,45.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,15.28,47605.0,,,,,,,
demographic,,,,,,,,,12701,9589,0,,57.0,43.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,7.16,22289.0,,,,,,,
demographic,,,,,,,,,3967,3970,0,,50.0,50.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.55,7937.0,,,,,,,
demographic,,,,,,,,,802,803,0,,50.0,50.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.52,1605.0,,,,,,,
demographic,,,,,,,,,23262,22508,0,,50.8,49.2,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,14.69,45770.0,,,,,,,
demographic,,,,,,,,,26931,29383,0,,47.8,52.2,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.08,56313.0,,,,,,,
demographic,,,,,,,,,26677,35619,0,,42.8,57.2,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,20.0,62296.0,,,,,,,
demographic,,,,,,,,,21589,32623,0,,39.8,60.2,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.4,54211.0,,,,,,,
demographic,,,,,,,,,17796,26892,0,,39.8,60.2,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,14.35,44688.0,,,,,,,
demographic,,,,,,,,,13467,19522,0,,40.8,59.2,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.59,32989.0,,,,,,,
demographic,,,,,,,,,6226,9025,0,,40.8,59.2,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.9,15251.0,,,,,,,
demographic,,,,,,,,,7319,9629,0,,43.2,56.8,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,5.44,16948.0,,,,,,,
