date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,36.81,100.0,0.0,Safe D,28.24,3.11,36.81,22.39,14.42,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.28,1.86,28.2,-40.1,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-02,305,36.81,100.0,0.0,Safe D,28.24,3.11,36.81,22.39,14.42,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.28,1.86,28.2,-40.1,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-03,304,36.81,100.0,0.0,Safe D,28.24,3.11,36.81,22.39,14.42,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.28,1.86,28.2,-40.1,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-04,303,36.72,100.0,0.0,Safe D,28.22,3.04,36.72,22.39,14.33,68.36,31.64,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.21,1.86,28.3,-39.8,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-05,302,36.77,100.0,0.0,Safe D,28.23,3.08,36.77,22.39,14.38,68.38,31.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.25,1.86,28.3,-39.9,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-06,301,36.77,100.0,0.0,Safe D,28.23,3.08,36.77,22.39,14.38,68.38,31.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.25,1.86,28.3,-39.9,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-07,300,36.77,100.0,0.0,Safe D,28.23,3.08,36.77,22.39,14.38,68.38,31.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.25,1.86,28.3,-40.0,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-08,299,36.77,100.0,0.0,Safe D,28.23,3.08,36.77,22.39,14.38,68.38,31.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.25,1.86,28.3,-40.0,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-09,298,36.78,100.0,0.0,Safe D,28.23,3.09,36.78,22.39,14.39,68.39,31.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.26,1.86,28.3,-40.0,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-10,297,36.78,100.0,0.0,Safe D,28.23,3.09,36.78,22.39,14.39,68.39,31.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.26,1.86,28.3,-40.0,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-11,296,36.73,100.0,0.0,Safe D,28.22,3.05,36.73,22.39,14.34,68.37,31.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.22,1.86,28.3,-40.1,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-12,295,36.79,100.0,0.0,Safe D,28.23,3.1,36.79,22.39,14.4,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.27,1.86,28.2,-40.3,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-13,294,36.78,100.0,0.0,Safe D,28.23,3.09,36.78,22.39,14.39,68.39,31.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.26,1.86,28.1,-40.5,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-14,293,36.78,100.0,0.0,Safe D,28.23,3.09,36.78,22.39,14.39,68.39,31.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.26,1.86,28.1,-40.4,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-15,292,36.81,100.0,0.0,Safe D,28.24,3.11,36.81,22.39,14.42,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.28,1.86,28.2,-40.4,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-16,291,36.81,100.0,0.0,Safe D,28.24,3.11,36.81,22.39,14.42,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.28,1.86,28.1,-40.5,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-17,290,36.85,100.0,0.0,Safe D,28.24,3.15,36.85,22.39,14.46,68.43,31.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.32,1.86,28.1,-40.6,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-18,289,36.77,100.0,0.0,Safe D,28.23,3.08,36.77,22.39,14.38,68.38,31.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.25,1.86,28.1,-40.5,55.0,98.0,73.0,75.0,68.0,68.0,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.1,72.1,72.1,71.1,70.1,69.1,68.1,67.1,67.1,66.1,66.1,66.1,67.1,67.1,68.1,69.1
2026-01-19,288,36.82,100.0,0.0,Safe D,28.24,3.12,36.82,22.39,14.43,68.41,31.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.29,1.86,28.1,-40.4,55.1,98.0,73.1,75.1,68.1,68.1,74.7,71.7,66.7,63.7,63.7,64.7,64.7,69.3,64.3,66.3,67.3,73.3,79.3,77.3,81.3,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-20,287,36.9,100.0,0.0,Safe D,28.25,3.19,36.9,22.39,14.51,68.45,31.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.36,1.86,28.0,-40.7,55.1,98.0,73.1,75.1,68.1,68.1,74.8,71.8,66.8,63.8,63.8,64.8,64.8,69.4,64.4,66.4,67.4,73.4,79.4,77.4,81.4,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
2026-01-21,286,36.9,100.0,0.0,Safe D,28.25,3.19,36.9,22.39,14.51,68.45,31.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2094207,223537,0,30.36,1.86,28.0,-40.6,55.1,98.0,73.1,75.1,68.1,68.1,74.8,71.8,66.8,63.8,63.8,64.8,64.8,69.4,64.4,66.4,67.4,73.4,79.4,77.4,81.4,73.2,72.2,72.2,71.2,70.2,69.2,68.2,67.2,67.2,66.2,66.2,66.2,67.2,67.2,68.2,69.2
