date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,4.94,68.1,31.9,Lean D,-4.25,3.18,4.94,-5.59,10.52,52.47,47.53,0.0,False,False,,,,0.0,0.0,0.0,-1.07,42.7,-11.2,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-02,305,4.94,68.1,31.9,Lean D,-4.25,3.18,4.94,-5.59,10.52,52.47,47.53,0.0,False,False,,,,0.0,0.0,0.0,-1.07,42.7,-11.2,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-03,304,4.95,68.2,31.8,Lean D,-4.25,3.19,4.95,-5.59,10.53,52.47,47.53,0.0,False,False,,,,0.0,0.0,0.0,-1.06,42.7,-11.2,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-04,303,4.89,68.0,32.0,Lean D,-4.25,3.13,4.89,-5.59,10.47,52.44,47.56,0.0,False,False,,,,0.0,0.0,0.0,-1.12,42.8,-10.9,43.5,89.5,61.5,63.5,56.5,56.5,59.3,56.3,51.3,48.3,48.3,49.3,49.3,52.5,47.5,49.5,50.5,56.5,62.5,60.5,64.5,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-05,302,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.0,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-06,301,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.0,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-07,300,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.1,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-08,299,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.0,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-09,298,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.0,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
2026-01-10,297,4.93,68.1,31.9,Lean D,-4.25,3.17,4.93,-5.59,10.51,52.46,47.54,0.0,False,False,,,,0.0,0.0,0.0,-1.08,42.8,-11.0,43.5,89.5,61.5,63.5,56.5,56.5,59.4,56.4,51.4,48.4,48.4,49.4,49.4,52.6,47.6,49.6,50.6,56.6,62.6,60.6,64.6,57.5,56.5,56.5,55.5,54.5,53.5,52.5,51.5,51.5,50.5,50.5,50.5,51.5,51.5,52.5,53.5
