section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,CA-25,house,Democratic candidate (CA-25),Republican candidate (CA-25),17.7,95.6,4.4,Safe D,111263,77794,0,189057.0,58.85,41.15,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,10.72,5.32,False,14.08,32.7,-31.4,,,,,,,,,,,
demographic,,,,,,,,,27816,33309,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,race,White,32.33,61125.0,,,,,,,
demographic,,,,,,,,,7913,734,0,,91.5,8.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,4.57,8648.0,,,,,,,
demographic,,,,,,,,,65501,37638,0,,63.5,36.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,54.55,103139.0,,,,,,,
demographic,,,,,,,,,5461,2875,0,,65.5,34.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,4.41,8336.0,,,,,,,
demographic,,,,,,,,,4148,2942,0,,58.5,41.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,3.75,7091.0,,,,,,,
demographic,,,,,,,,,421,298,0,,58.5,41.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.38,719.0,,,,,,,
demographic,,,,,,,,,22333,11598,0,,65.8,34.2,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,17.95,33931.0,,,,,,,
demographic,,,,,,,,,21002,12431,0,,62.8,37.2,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,17.68,33432.0,,,,,,,
demographic,,,,,,,,,16828,12277,0,,57.8,42.2,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.39,29104.0,,,,,,,
demographic,,,,,,,,,15824,13042,0,,54.8,45.2,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,15.27,28866.0,,,,,,,
demographic,,,,,,,,,16199,13351,0,,54.8,45.2,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.63,29551.0,,,,,,,
demographic,,,,,,,,,12256,9701,0,,55.8,44.2,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,11.61,21956.0,,,,,,,
demographic,,,,,,,,,6819,5398,0,,55.8,44.2,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,6.46,12217.0,,,,,,,
demographic,,,,,,,,,23891,16115,0,,59.7,40.3,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,21.16,40006.0,,,,,,,
demographic,,,,,,,,,28073,23232,0,,54.7,45.3,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,27.14,51304.0,,,,,,,
