date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,28.86,99.7,0.3,Safe D,19.46,3.11,28.86,14.61,14.24,64.43,35.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.92,1.98,31.0,-34.5,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-02,305,28.86,99.7,0.3,Safe D,19.46,3.11,28.86,14.61,14.24,64.43,35.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.92,1.98,31.0,-34.5,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-03,304,28.86,99.7,0.3,Safe D,19.46,3.11,28.86,14.61,14.24,64.43,35.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.92,1.98,31.0,-34.5,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-04,303,28.77,99.7,0.3,Safe D,19.44,3.04,28.77,14.61,14.16,64.38,35.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.85,1.98,31.1,-34.3,49.2,95.2,67.2,69.2,62.2,62.2,71.1,68.1,63.1,60.1,60.1,61.1,61.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.5,68.5,68.5,67.5,66.5,65.5,64.5,63.5,63.5,62.5,62.5,62.5,63.5,63.5,64.5,65.5
2026-01-05,302,28.82,99.7,0.3,Safe D,19.45,3.08,28.82,14.61,14.21,64.41,35.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.89,1.98,31.1,-34.3,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-06,301,28.82,99.7,0.3,Safe D,19.45,3.08,28.82,14.61,14.21,64.41,35.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.89,1.98,31.1,-34.3,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-07,300,28.82,99.7,0.3,Safe D,19.45,3.08,28.82,14.61,14.21,64.41,35.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.89,1.98,31.1,-34.4,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-08,299,28.82,99.7,0.3,Safe D,19.45,3.08,28.82,14.61,14.21,64.41,35.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.89,1.98,31.1,-34.4,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-09,298,28.83,99.7,0.3,Safe D,19.45,3.09,28.83,14.61,14.22,64.42,35.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.9,1.98,31.1,-34.4,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-10,297,28.83,99.7,0.3,Safe D,19.45,3.09,28.83,14.61,14.22,64.42,35.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.9,1.98,31.1,-34.4,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-11,296,28.78,99.7,0.3,Safe D,19.44,3.05,28.78,14.61,14.17,64.39,35.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.86,1.98,31.0,-34.6,49.2,95.2,67.2,69.2,62.2,62.2,71.1,68.1,63.1,60.1,60.1,61.1,61.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.5,68.5,68.5,67.5,66.5,65.5,64.5,63.5,63.5,62.5,62.5,62.5,63.5,63.5,64.5,65.5
2026-01-12,295,28.84,99.7,0.3,Safe D,19.46,3.1,28.84,14.61,14.23,64.42,35.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.91,1.98,31.0,-34.7,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-13,294,28.83,99.7,0.3,Safe D,19.45,3.09,28.83,14.61,14.22,64.42,35.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.9,1.98,30.9,-34.9,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
2026-01-14,293,28.83,99.7,0.3,Safe D,19.45,3.09,28.83,14.61,14.22,64.42,35.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1325096,0,0,22.9,1.98,30.9,-34.8,49.2,95.2,67.2,69.2,62.2,62.2,71.2,68.2,63.2,60.2,60.2,61.2,61.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.6,68.6,68.6,67.6,66.6,65.6,64.6,63.6,63.6,62.6,62.6,62.6,63.6,63.6,64.6,65.6
