date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,10.41,84.0,16.0,Likely D,5.57,3.18,10.41,3.52,6.89,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,7.33,38.4,-19.7,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-02,305,10.41,84.0,16.0,Likely D,5.57,3.18,10.41,3.52,6.89,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,7.33,38.4,-19.7,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-03,304,10.43,84.0,16.0,Likely D,5.57,3.19,10.43,3.52,6.91,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,7.34,38.4,-19.7,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-04,303,10.35,83.8,16.2,Likely D,5.56,3.13,10.35,3.52,6.83,55.18,44.82,0.0,False,False,,,,0.0,0.0,0.0,7.28,38.5,-19.5,44.1,90.1,62.1,64.1,57.1,57.1,62.1,59.1,54.1,51.1,51.1,52.1,52.1,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-05,302,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.5,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-06,301,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.5,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-07,300,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.7,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-08,299,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.6,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-09,298,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.6,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-10,297,10.4,84.0,16.0,Likely D,5.57,3.17,10.4,3.52,6.88,55.2,44.8,0.0,False,False,,,,0.0,0.0,0.0,7.32,38.5,-19.6,44.1,90.1,62.1,64.1,57.1,57.1,62.2,59.2,54.2,51.2,51.2,52.2,52.2,55.4,50.4,52.4,53.4,59.4,65.4,63.4,67.4,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
