date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,53.03,100.0,0.0,Safe D,44.76,3.11,53.03,40.92,12.11,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.45,-0.4,24.6,-47.4,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-02,305,53.03,100.0,0.0,Safe D,44.76,3.11,53.03,40.92,12.11,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.45,-0.4,24.6,-47.4,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-03,304,53.03,100.0,0.0,Safe D,44.76,3.11,53.03,40.92,12.11,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.45,-0.4,24.6,-47.4,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-04,303,52.93,100.0,0.0,Safe D,44.73,3.04,52.93,40.92,12.01,76.46,23.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.38,-0.4,24.7,-47.1,72.2,98.0,90.2,92.2,85.2,85.2,82.9,79.9,74.9,71.9,71.9,72.9,72.9,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-05,302,52.98,100.0,0.0,Safe D,44.75,3.08,52.98,40.92,12.07,76.49,23.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.42,-0.4,24.7,-47.2,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-06,301,52.98,100.0,0.0,Safe D,44.75,3.08,52.98,40.92,12.07,76.49,23.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.42,-0.4,24.7,-47.2,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-07,300,52.98,100.0,0.0,Safe D,44.75,3.08,52.98,40.92,12.07,76.49,23.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.42,-0.4,24.7,-47.3,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-08,299,52.98,100.0,0.0,Safe D,44.75,3.08,52.98,40.92,12.07,76.49,23.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.42,-0.4,24.7,-47.3,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-09,298,53.0,100.0,0.0,Safe D,44.75,3.09,53.0,40.92,12.08,76.5,23.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.43,-0.4,24.7,-47.3,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-10,297,53.0,100.0,0.0,Safe D,44.75,3.09,53.0,40.92,12.08,76.5,23.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.43,-0.4,24.7,-47.3,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-11,296,52.94,100.0,0.0,Safe D,44.74,3.05,52.94,40.92,12.02,76.47,23.53,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.39,-0.4,24.6,-47.5,72.2,98.0,90.2,92.2,85.2,85.2,82.9,79.9,74.9,71.9,71.9,72.9,72.9,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-12,295,53.01,100.0,0.0,Safe D,44.76,3.1,53.01,40.92,12.09,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.44,-0.4,24.5,-47.6,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-13,294,53.0,100.0,0.0,Safe D,44.75,3.09,53.0,40.92,12.08,76.5,23.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.43,-0.4,24.5,-47.8,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-14,293,53.0,100.0,0.0,Safe D,44.75,3.09,53.0,40.92,12.08,76.5,23.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.43,-0.4,24.5,-47.7,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-15,292,53.03,100.0,0.0,Safe D,44.76,3.11,53.03,40.92,12.11,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.45,-0.4,24.5,-47.7,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-16,291,53.03,100.0,0.0,Safe D,44.76,3.11,53.03,40.92,12.11,76.51,23.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.45,-0.4,24.5,-47.8,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-17,290,53.08,100.0,0.0,Safe D,44.78,3.15,53.08,40.92,12.16,76.54,23.46,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.49,-0.4,24.4,-47.9,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.1,69.1,71.1,72.1,78.1,84.1,82.1,86.1,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-18,289,52.98,100.0,0.0,Safe D,44.75,3.08,52.98,40.92,12.07,76.49,23.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.42,-0.4,24.5,-47.8,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.0,69.0,71.0,72.0,78.0,84.0,82.0,86.0,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-19,288,53.04,100.0,0.0,Safe D,44.77,3.12,53.04,40.92,12.12,76.52,23.48,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.46,-0.4,24.5,-47.7,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.1,69.1,71.1,72.1,78.1,84.1,82.1,86.1,81.5,80.5,80.5,79.5,78.5,77.5,76.5,75.5,75.5,74.5,74.5,74.5,75.5,75.5,76.5,77.5
2026-01-20,287,53.14,100.0,0.0,Safe D,44.8,3.19,53.14,40.92,12.22,76.57,23.43,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2238812,0,0,43.53,-0.4,24.3,-48.0,72.3,98.0,90.3,92.3,85.3,85.3,83.0,80.0,75.0,72.0,72.0,73.0,73.0,74.1,69.1,71.1,72.1,78.1,84.1,82.1,86.1,81.6,80.6,80.6,79.6,78.6,77.6,76.6,75.6,75.6,74.6,74.6,74.6,75.6,75.6,76.6,77.6
