date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-4.57,33.1,66.9,Lean R,-6.08,3.18,-4.57,-9.98,5.41,47.72,52.28,0.0,False,False,,,,0.0,0.0,0.0,-6.6,45.4,-5.7,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-02,305,-4.57,33.1,66.9,Lean R,-6.08,3.18,-4.57,-9.98,5.41,47.72,52.28,0.0,False,False,,,,0.0,0.0,0.0,-6.6,45.4,-5.7,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-03,304,-4.55,33.2,66.8,Lean R,-6.08,3.19,-4.55,-9.98,5.42,47.72,52.28,0.0,False,False,,,,0.0,0.0,0.0,-6.59,45.4,-5.7,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-04,303,-4.64,32.9,67.1,Lean R,-6.1,3.13,-4.64,-9.98,5.34,47.68,52.32,0.0,False,False,,,,0.0,0.0,0.0,-6.65,45.5,-5.5,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.0,43.0,45.0,46.0,52.0,58.0,56.0,60.0,52.6,51.6,51.6,50.6,49.6,48.6,47.6,46.6,46.6,45.6,45.6,45.6,46.6,46.6,47.6,48.6
2026-01-05,302,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.5,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-06,301,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.5,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-07,300,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.6,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-08,299,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.6,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-09,298,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.6,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-10,297,-4.58,33.1,66.9,Lean R,-6.09,3.17,-4.58,-9.98,5.39,47.71,52.29,0.0,False,False,,,,0.0,0.0,0.0,-6.61,45.5,-5.6,42.0,88.0,60.0,62.0,55.0,55.0,55.0,52.0,47.0,44.0,44.0,45.0,45.0,48.1,43.1,45.1,46.1,52.1,58.1,56.1,60.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
