date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,29.29,99.7,0.3,Safe D,24.23,3.18,29.29,20.36,8.93,64.65,35.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.23,0.21,32.6,-31.4,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-02,305,29.29,99.7,0.3,Safe D,24.23,3.18,29.29,20.36,8.93,64.65,35.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.23,0.21,32.6,-31.4,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-03,304,29.31,99.7,0.3,Safe D,24.24,3.19,29.31,20.36,8.94,64.65,35.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.24,0.21,32.6,-31.4,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-04,303,29.22,99.7,0.3,Safe D,24.21,3.13,29.22,20.36,8.86,64.61,35.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.18,0.21,32.7,-31.2,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.6,58.6,60.6,61.6,67.6,73.6,71.6,75.6,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-05,302,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.2,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-06,301,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.2,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-07,300,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.3,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-08,299,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.3,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-09,298,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.3,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-10,297,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.7,-31.3,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-11,296,29.25,99.7,0.3,Safe D,24.22,3.15,29.25,20.36,8.89,64.62,35.38,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.2,0.21,32.6,-31.5,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.6,58.6,60.6,61.6,67.6,73.6,71.6,75.6,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-12,295,29.31,99.7,0.3,Safe D,24.24,3.19,29.31,20.36,8.94,64.65,35.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.24,0.21,32.5,-31.6,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-13,294,29.28,99.7,0.3,Safe D,24.23,3.17,29.28,20.36,8.92,64.64,35.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.22,0.21,32.4,-31.8,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.8,68.8,68.8,67.8,66.8,65.8,64.8,63.8,63.8,62.8,62.8,62.8,63.8,63.8,64.8,65.8
2026-01-14,293,29.29,99.7,0.3,Safe D,24.23,3.18,29.29,20.36,8.93,64.65,35.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.23,0.21,32.5,-31.7,54.1,98.0,72.1,74.1,67.1,67.1,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-15,292,29.32,99.7,0.3,Safe D,24.24,3.2,29.32,20.36,8.96,64.66,35.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,24.25,0.21,32.5,-31.7,54.2,98.0,72.2,74.2,67.2,67.2,71.3,68.3,63.3,60.3,60.3,61.3,61.3,63.7,58.7,60.7,61.7,67.7,73.7,71.7,75.7,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
