date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,20.29,97.4,2.6,Safe D,13.57,3.18,20.29,11.29,9.0,60.15,39.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.75,-0.01,36.5,-23.5,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-02,305,20.29,97.4,2.6,Safe D,13.57,3.18,20.29,11.29,9.0,60.15,39.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.75,-0.01,36.5,-23.5,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-03,304,20.3,97.4,2.6,Safe D,13.57,3.19,20.3,11.29,9.01,60.15,39.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.76,-0.01,36.5,-23.5,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-04,303,20.23,97.3,2.7,Safe D,13.56,3.13,20.23,11.29,8.94,60.11,39.89,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.7,-0.01,36.7,-23.2,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.2,64.2,64.2,63.2,62.2,61.2,60.2,59.2,59.2,58.2,58.2,58.2,59.2,59.2,60.2,61.2
2026-01-05,302,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.7,-23.3,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-06,301,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.7,-23.3,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-07,300,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.6,-23.4,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-08,299,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.7,-23.3,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-09,298,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.6,-23.3,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-10,297,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.6,-23.3,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-11,296,20.25,97.3,2.7,Safe D,13.56,3.15,20.25,11.29,8.96,60.13,39.87,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.72,-0.01,36.6,-23.5,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.2,64.2,64.2,63.2,62.2,61.2,60.2,59.2,59.2,58.2,58.2,58.2,59.2,59.2,60.2,61.2
2026-01-12,295,20.3,97.4,2.6,Safe D,13.57,3.19,20.3,11.29,9.01,60.15,39.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.76,-0.01,36.5,-23.7,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-13,294,20.28,97.4,2.6,Safe D,13.57,3.17,20.28,11.29,8.99,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.74,-0.01,36.4,-23.8,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
2026-01-14,293,20.29,97.4,2.6,Safe D,13.57,3.18,20.29,11.29,9.0,60.15,39.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14.75,-0.01,36.5,-23.8,53.1,98.0,71.1,73.1,66.1,66.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,65.3,64.3,64.3,63.3,62.3,61.3,60.3,59.3,59.3,58.3,58.3,58.3,59.3,59.3,60.3,61.3
