date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,34.59,100.0,0.0,Safe D,25.24,3.11,34.59,23.27,11.32,67.29,32.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.58,0.01,31.4,-33.8,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-02,305,34.59,100.0,0.0,Safe D,25.24,3.11,34.59,23.27,11.32,67.29,32.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.58,0.01,31.4,-33.8,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-03,304,34.59,100.0,0.0,Safe D,25.24,3.11,34.59,23.27,11.32,67.29,32.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.58,0.01,31.4,-33.8,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-04,303,34.5,100.0,0.0,Safe D,25.22,3.04,34.5,23.27,11.23,67.25,32.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.51,0.01,31.5,-33.5,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.7,61.7,63.7,64.7,70.7,76.7,74.7,78.7,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-05,302,34.55,100.0,0.0,Safe D,25.23,3.08,34.55,23.27,11.28,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.55,0.01,31.5,-33.5,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-06,301,34.55,100.0,0.0,Safe D,25.23,3.08,34.55,23.27,11.28,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.55,0.01,31.5,-33.5,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-07,300,34.55,100.0,0.0,Safe D,25.23,3.08,34.55,23.27,11.28,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.55,0.01,31.5,-33.7,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-08,299,34.55,100.0,0.0,Safe D,25.23,3.08,34.55,23.27,11.28,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.55,0.01,31.5,-33.6,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-09,298,34.56,100.0,0.0,Safe D,25.23,3.09,34.56,23.27,11.3,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.56,0.01,31.5,-33.6,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
2026-01-10,297,34.56,100.0,0.0,Safe D,25.23,3.09,34.56,23.27,11.3,67.28,32.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1976922,840,0,27.56,0.01,31.5,-33.6,55.4,98.0,73.4,75.4,68.4,68.4,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.8,61.8,63.8,64.8,70.8,76.8,74.8,78.8,72.2,71.2,71.2,70.2,69.2,68.2,67.2,66.2,66.2,65.2,65.2,65.2,66.2,66.2,67.2,68.2
