date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,21.18,97.8,2.2,Safe D,16.33,3.18,21.18,14.34,6.83,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.69,35.3,-25.9,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-02,305,21.18,97.8,2.2,Safe D,16.33,3.18,21.18,14.34,6.83,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.69,35.3,-25.9,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-03,304,21.19,97.8,2.2,Safe D,16.33,3.19,21.19,14.34,6.85,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.7,35.3,-25.9,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-04,303,21.11,97.8,2.2,Safe D,16.32,3.13,21.11,14.34,6.77,60.56,39.44,0.0,False,False,,,,0.0,0.0,0.0,18.64,35.4,-25.6,49.9,95.9,67.9,69.9,62.9,62.9,67.6,64.6,59.6,56.6,56.6,57.6,57.6,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-05,302,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.7,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-06,301,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.7,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-07,300,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-08,299,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-09,298,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-10,297,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.4,-25.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-11,296,21.14,97.8,2.2,Safe D,16.32,3.15,21.14,14.34,6.8,60.57,39.43,0.0,False,False,,,,0.0,0.0,0.0,18.66,35.4,-26.0,49.9,95.9,67.9,69.9,62.9,62.9,67.6,64.6,59.6,56.6,56.6,57.6,57.6,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-12,295,21.19,97.8,2.2,Safe D,16.33,3.19,21.19,14.34,6.85,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.7,35.3,-26.1,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-13,294,21.16,97.8,2.2,Safe D,16.33,3.17,21.16,14.34,6.82,60.58,39.42,0.0,False,False,,,,0.0,0.0,0.0,18.68,35.2,-26.3,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.5,64.5,64.5,63.5,62.5,61.5,60.5,59.5,59.5,58.5,58.5,58.5,59.5,59.5,60.5,61.5
2026-01-14,293,21.18,97.8,2.2,Safe D,16.33,3.18,21.18,14.34,6.83,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.69,35.2,-26.2,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-15,292,21.2,97.9,2.1,Safe D,16.33,3.2,21.2,14.34,6.86,60.6,39.4,0.0,False,False,,,,0.0,0.0,0.0,18.71,35.2,-26.2,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-16,291,21.2,97.9,2.1,Safe D,16.33,3.2,21.2,14.34,6.86,60.6,39.4,0.0,False,False,,,,0.0,0.0,0.0,18.71,35.2,-26.3,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-17,290,21.25,97.9,2.1,Safe D,16.34,3.24,21.25,14.34,6.91,60.63,39.37,0.0,False,False,,,,0.0,0.0,0.0,18.75,35.2,-26.4,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-18,289,21.19,97.8,2.2,Safe D,16.33,3.19,21.19,14.34,6.85,60.59,39.41,0.0,False,False,,,,0.0,0.0,0.0,18.7,35.2,-26.3,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-19,288,21.24,97.9,2.1,Safe D,16.34,3.23,21.24,14.34,6.9,60.62,39.38,0.0,False,False,,,,0.0,0.0,0.0,18.74,35.2,-26.2,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-20,287,21.34,97.9,2.1,Safe D,16.36,3.31,21.34,14.34,7.0,60.67,39.33,0.0,False,False,,,,0.0,0.0,0.0,18.82,35.1,-26.5,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-21,286,21.34,97.9,2.1,Safe D,16.36,3.31,21.34,14.34,7.0,60.67,39.33,0.0,False,False,,,,0.0,0.0,0.0,18.82,35.1,-26.4,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-22,285,21.36,97.9,2.1,Safe D,16.37,3.33,21.36,14.34,7.02,60.68,39.32,0.0,False,False,,,,0.0,0.0,0.0,18.84,35.1,-26.5,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-23,284,21.38,97.9,2.1,Safe D,16.37,3.34,21.38,14.34,7.03,60.69,39.31,0.0,False,False,,,,0.0,0.0,0.0,18.85,35.1,-26.5,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.7,64.7,64.7,63.7,62.7,61.7,60.7,59.7,59.7,58.7,58.7,58.7,59.7,59.7,60.7,61.7
2026-01-24,283,21.38,97.9,2.1,Safe D,16.37,3.34,21.38,14.34,7.03,60.69,39.31,0.0,False,False,,,,0.0,0.0,0.0,18.85,35.1,-26.5,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.7,64.7,64.7,63.7,62.7,61.7,60.7,59.7,59.7,58.7,58.7,58.7,59.7,59.7,60.7,61.7
2026-01-25,282,21.3,97.9,2.1,Safe D,16.35,3.28,21.3,14.34,6.96,60.65,39.35,0.0,False,False,,,,0.0,0.0,0.0,18.79,35.1,-26.6,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.0,55.0,57.0,58.0,64.0,70.0,68.0,72.0,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-26,281,21.34,97.9,2.1,Safe D,16.36,3.31,21.34,14.34,7.0,60.67,39.33,0.0,False,False,,,,0.0,0.0,0.0,18.82,34.9,-26.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-27,280,21.34,97.9,2.1,Safe D,16.36,3.31,21.34,14.34,7.0,60.67,39.33,0.0,False,False,,,,0.0,0.0,0.0,18.82,35.0,-26.8,50.0,96.0,68.0,70.0,63.0,63.0,67.7,64.7,59.7,56.7,56.7,57.7,57.7,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-28,279,21.38,97.9,2.1,Safe D,16.37,3.34,21.38,14.34,7.03,60.69,39.31,0.0,False,False,,,,0.0,0.0,0.0,18.85,35.0,-26.9,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.7,64.7,64.7,63.7,62.7,61.7,60.7,59.7,59.7,58.7,58.7,58.7,59.7,59.7,60.7,61.7
2026-01-29,278,21.36,97.9,2.1,Safe D,16.37,3.33,21.36,14.34,7.02,60.68,39.32,0.0,False,False,,,,0.0,0.0,0.0,18.84,35.0,-26.8,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.6,64.6,64.6,63.6,62.6,61.6,60.6,59.6,59.6,58.6,58.6,58.6,59.6,59.6,60.6,61.6
2026-01-30,277,21.38,97.9,2.1,Safe D,16.37,3.34,21.38,14.34,7.03,60.69,39.31,0.0,False,False,,,,0.0,0.0,0.0,18.85,34.9,-26.9,50.1,96.1,68.1,70.1,63.1,63.1,67.8,64.8,59.8,56.8,56.8,57.8,57.8,60.1,55.1,57.1,58.1,64.1,70.1,68.1,72.1,65.7,64.7,64.7,63.7,62.7,61.7,60.7,59.7,59.7,58.7,58.7,58.7,59.7,59.7,60.7,61.7
