section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,CT-05,house,Democratic candidate (CT-05),Republican candidate (CT-05),15.02,92.6,7.4,Likely D,139171,102824,0,241996.0,57.51,42.49,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,8.03,5.32,False,12.0,36.3,-24.3,,,,,,,,,,,
demographic,,,,,,,,,80151,82855,0,,49.2,50.8,0.0,,,0.0,0,,,,,,,,,,,,,race,White,67.36,163006.0,,,,,,,
demographic,,,,,,,,,20254,1028,0,,95.2,4.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,8.79,21282.0,,,,,,,
demographic,,,,,,,,,29238,14290,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,17.99,43528.0,,,,,,,
demographic,,,,,,,,,7046,3141,0,,69.2,30.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,4.21,10187.0,,,,,,,
demographic,,,,,,,,,2257,1373,0,,62.2,37.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.5,3630.0,,,,,,,
demographic,,,,,,,,,225,137,0,,62.2,37.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.15,362.0,,,,,,,
demographic,,,,,,,,,25581,13895,0,,64.8,35.2,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.31,39476.0,,,,,,,
demographic,,,,,,,,,23375,14447,0,,61.8,38.2,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,15.63,37823.0,,,,,,,
demographic,,,,,,,,,23027,17512,0,,56.8,43.2,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,16.75,40538.0,,,,,,,
demographic,,,,,,,,,24131,20720,0,,53.8,46.2,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,18.53,44851.0,,,,,,,
