date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,17.87,95.6,4.4,Safe D,15.88,3.1,17.87,14.76,3.11,58.93,41.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.9,-0.09,35.1,-26.4,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-02,305,17.88,95.6,4.4,Safe D,15.88,3.11,17.88,14.76,3.12,58.94,41.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.91,-0.09,35.1,-26.4,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-03,304,17.88,95.6,4.4,Safe D,15.88,3.11,17.88,14.76,3.12,58.94,41.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.91,-0.09,35.1,-26.4,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-04,303,17.81,95.5,4.5,Safe D,15.88,3.04,17.81,14.76,3.05,58.9,41.1,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.84,-0.09,35.2,-26.2,49.5,95.5,67.5,69.5,62.5,62.5,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-05,302,17.84,95.6,4.4,Safe D,15.88,3.07,17.84,14.76,3.08,58.92,41.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.87,-0.09,35.2,-26.2,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-06,301,17.85,95.6,4.4,Safe D,15.88,3.08,17.85,14.76,3.09,58.92,41.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.88,-0.09,35.2,-26.2,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-07,300,17.85,95.6,4.4,Safe D,15.88,3.08,17.85,14.76,3.09,58.92,41.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.88,-0.09,35.2,-26.3,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-08,299,17.85,95.6,4.4,Safe D,15.88,3.08,17.85,14.76,3.09,58.92,41.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.88,-0.09,35.2,-26.3,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-09,298,17.86,95.6,4.4,Safe D,15.88,3.09,17.86,14.76,3.1,58.93,41.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.89,-0.09,35.2,-26.3,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
2026-01-10,297,17.86,95.6,4.4,Safe D,15.88,3.09,17.86,14.76,3.1,58.93,41.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.89,-0.09,35.2,-26.3,49.6,95.6,67.6,69.6,62.6,62.6,66.1,63.1,58.1,55.1,55.1,56.1,56.1,58.1,53.1,55.1,56.1,62.1,68.1,66.1,70.1,63.9,62.9,62.9,61.9,60.9,59.9,58.9,57.9,57.9,56.9,56.9,56.9,57.9,57.9,58.9,59.9
