date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,24.85,99.1,0.9,Safe D,17.63,3.11,24.85,14.84,10.01,62.42,37.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.44,-0.28,35.7,-25.1,49.3,95.3,67.3,69.3,62.3,62.3,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-02,305,24.85,99.1,0.9,Safe D,17.63,3.11,24.85,14.84,10.01,62.42,37.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.44,-0.28,35.7,-25.1,49.3,95.3,67.3,69.3,62.3,62.3,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-03,304,24.85,99.1,0.9,Safe D,17.63,3.11,24.85,14.84,10.01,62.42,37.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.44,-0.28,35.7,-25.1,49.3,95.3,67.3,69.3,62.3,62.3,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-04,303,24.76,99.1,0.9,Safe D,17.62,3.04,24.76,14.84,9.92,62.38,37.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.37,-0.28,35.9,-24.8,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.3,57.3,59.3,60.3,66.3,72.3,70.3,74.3,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-05,302,24.81,99.1,0.9,Safe D,17.63,3.08,24.81,14.84,9.97,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.41,-0.28,35.8,-24.9,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-06,301,24.81,99.1,0.9,Safe D,17.63,3.08,24.81,14.84,9.97,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.41,-0.28,35.8,-24.9,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-07,300,24.81,99.1,0.9,Safe D,17.63,3.08,24.81,14.84,9.97,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.41,-0.28,35.8,-25.0,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-08,299,24.81,99.1,0.9,Safe D,17.63,3.08,24.81,14.84,9.97,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.41,-0.28,35.9,-25.0,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-09,298,24.82,99.1,0.9,Safe D,17.63,3.09,24.82,14.84,9.98,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.42,-0.28,35.8,-24.9,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
2026-01-10,297,24.82,99.1,0.9,Safe D,17.63,3.09,24.82,14.84,9.98,62.41,37.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.42,-0.28,35.8,-24.9,49.2,95.2,67.2,69.2,62.2,62.2,69.7,66.7,61.7,58.7,58.7,59.7,59.7,62.4,57.4,59.4,60.4,66.4,72.4,70.4,74.4,67.5,66.5,66.5,65.5,64.5,63.5,62.5,61.5,61.5,60.5,60.5,60.5,61.5,61.5,62.5,63.5
