date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-8.29,21.4,78.6,Likely R,-8.67,3.11,-8.29,-12.62,4.32,45.85,54.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.71,0.1,46.2,-4.2,36.5,82.5,54.5,56.5,49.5,49.5,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.9,40.9,42.9,43.9,49.9,55.9,53.9,57.9,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-02,305,-8.29,21.4,78.6,Likely R,-8.67,3.11,-8.29,-12.62,4.32,45.85,54.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.71,0.1,46.2,-4.2,36.5,82.5,54.5,56.5,49.5,49.5,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.9,40.9,42.9,43.9,49.9,55.9,53.9,57.9,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-03,304,-8.29,21.4,78.6,Likely R,-8.67,3.11,-8.29,-12.62,4.32,45.85,54.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.71,0.1,46.2,-4.2,36.5,82.5,54.5,56.5,49.5,49.5,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.9,40.9,42.9,43.9,49.9,55.9,53.9,57.9,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-04,303,-8.39,21.2,78.8,Likely R,-8.7,3.04,-8.39,-12.62,4.22,45.8,54.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.78,0.1,46.3,-3.9,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-05,302,-8.33,21.3,78.7,Likely R,-8.68,3.08,-8.33,-12.62,4.28,45.83,54.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.74,0.1,46.3,-4.0,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-06,301,-8.33,21.3,78.7,Likely R,-8.68,3.08,-8.33,-12.62,4.28,45.83,54.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.74,0.1,46.3,-4.0,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-07,300,-8.33,21.3,78.7,Likely R,-8.68,3.08,-8.33,-12.62,4.28,45.83,54.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.74,0.1,46.3,-4.1,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-08,299,-8.33,21.3,78.7,Likely R,-8.68,3.08,-8.33,-12.62,4.28,45.83,54.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.74,0.1,46.3,-4.1,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-09,298,-8.32,21.3,78.7,Likely R,-8.68,3.09,-8.32,-12.62,4.29,45.84,54.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.73,0.1,46.3,-4.1,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-10,297,-8.32,21.3,78.7,Likely R,-8.68,3.09,-8.32,-12.62,4.29,45.84,54.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.73,0.1,46.3,-4.1,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-11,296,-8.38,21.2,78.8,Likely R,-8.69,3.05,-8.38,-12.62,4.24,45.81,54.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.77,0.1,46.2,-4.3,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-12,295,-8.31,21.4,78.6,Likely R,-8.67,3.1,-8.31,-12.62,4.31,45.85,54.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.72,0.1,46.1,-4.4,36.5,82.5,54.5,56.5,49.5,49.5,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.9,40.9,42.9,43.9,49.9,55.9,53.9,57.9,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-13,294,-8.32,21.3,78.7,Likely R,-8.68,3.09,-8.32,-12.62,4.29,45.84,54.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.73,0.1,46.1,-4.6,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-14,293,-8.32,21.3,78.7,Likely R,-8.68,3.09,-8.32,-12.62,4.29,45.84,54.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.73,0.1,46.1,-4.5,36.4,82.4,54.4,56.4,49.4,49.4,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.8,40.8,42.8,43.8,49.8,55.8,53.8,57.8,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
2026-01-15,292,-8.29,21.4,78.6,Likely R,-8.67,3.11,-8.29,-12.62,4.32,45.85,54.15,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,692231,805309,0,-7.71,0.1,46.1,-4.5,36.5,82.5,54.5,56.5,49.5,49.5,53.1,50.1,45.1,42.1,42.1,43.1,43.1,45.9,40.9,42.9,43.9,49.9,55.9,53.9,57.9,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,46.0,47.0
