section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,FL-26,house,Democratic candidate (FL-26),Republican candidate (FL-26),-5.93,28.4,71.6,Lean R,107675,121257,0,228932.0,47.03,52.97,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-9.59,5.32,False,-7.41,40.7,-15.4,,,,,,,,,,,
demographic,,,,,,,,,7941,20135,0,,28.3,71.7,0.0,,,0.0,0,,,,,,,,,,,,,race,White,12.26,28076.0,,,,,,,
demographic,,,,,,,,,17736,6140,0,,74.3,25.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,10.43,23876.0,,,,,,,
demographic,,,,,,,,,76996,89362,0,,46.3,53.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,72.67,166358.0,,,,,,,
demographic,,,,,,,,,4201,4500,0,,48.3,51.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,3.8,8700.0,,,,,,,
demographic,,,,,,,,,702,999,0,,41.3,58.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,0.74,1701.0,,,,,,,
demographic,,,,,,,,,91,129,0,,41.3,58.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.1,221.0,,,,,,,
demographic,,,,,,,,,19020,16026,0,,54.3,45.7,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,15.31,35046.0,,,,,,,
demographic,,,,,,,,,19613,18640,0,,51.3,48.7,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,16.71,38252.0,,,,,,,
demographic,,,,,,,,,20791,24141,0,,46.3,53.7,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,19.63,44931.0,,,,,,,
demographic,,,,,,,,,19487,25546,0,,43.3,56.7,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,19.67,45033.0,,,,,,,
