section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,GA-06,house,Democratic candidate (GA-06),Republican candidate (GA-06),59.69,100.0,0.0,Safe D,210061,53030,0,263091.0,79.84,20.16,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,52.7,5.32,False,55.52,18.7,-59.4,,,,,,,,,,,
demographic,,,,,,,,,45477,39745,0,,53.4,46.6,0.0,,,0.0,0,,,,,,,,,,,,,race,White,32.39,85223.0,,,,,,,
demographic,,,,,,,,,131767,2689,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,51.11,134456.0,,,,,,,
demographic,,,,,,,,,19734,7919,0,,71.4,28.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,10.51,27653.0,,,,,,,
demographic,,,,,,,,,8207,2980,0,,73.4,26.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,4.25,11187.0,,,,,,,
demographic,,,,,,,,,2809,1424,0,,66.4,33.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.61,4232.0,,,,,,,
demographic,,,,,,,,,226,115,0,,66.4,33.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.13,341.0,,,,,,,
demographic,,,,,,,,,47271,7580,0,,86.2,13.8,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,20.85,54852.0,,,,,,,
demographic,,,,,,,,,46800,9463,0,,83.2,16.8,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,21.39,56264.0,,,,,,,
demographic,,,,,,,,,37769,10541,0,,78.2,21.8,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,18.36,48310.0,,,,,,,
demographic,,,,,,,,,32622,10770,0,,75.2,24.8,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.49,43392.0,,,,,,,
demographic,,,,,,,,,24608,8124,0,,75.2,24.8,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,12.44,32731.0,,,,,,,
demographic,,,,,,,,,14227,4448,0,,76.2,23.8,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,7.1,18675.0,,,,,,,
demographic,,,,,,,,,6755,2112,0,,76.2,23.8,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,3.37,8867.0,,,,,,,
demographic,,,,,,,,,16040,4361,0,,78.6,21.4,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,7.75,20401.0,,,,,,,
demographic,,,,,,,,,39531,14162,0,,73.6,26.4,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,20.41,53692.0,,,,,,,
demographic,,,,,,,,,34745,11199,0,,75.6,24.4,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,17.46,45944.0,,,,,,,
demographic,,,,,,,,,15678,4783,0,,76.6,23.4,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.78,20461.0,,,,,,,
