date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-14.43,8.4,91.6,Likely R,-10.19,3.11,-14.43,-14.2,-0.23,42.78,57.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.37,-0.27,48.5,0.4,24.4,70.4,42.4,44.4,37.4,37.4,49.6,46.6,41.6,38.6,38.6,39.6,39.6,43.8,38.8,40.8,41.8,47.8,53.8,51.8,55.8,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-02,305,-14.43,8.4,91.6,Likely R,-10.19,3.11,-14.43,-14.2,-0.23,42.78,57.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.37,-0.27,48.5,0.4,24.4,70.4,42.4,44.4,37.4,37.4,49.6,46.6,41.6,38.6,38.6,39.6,39.6,43.8,38.8,40.8,41.8,47.8,53.8,51.8,55.8,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-03,304,-14.43,8.4,91.6,Likely R,-10.19,3.11,-14.43,-14.2,-0.23,42.78,57.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.37,-0.27,48.5,0.4,24.4,70.4,42.4,44.4,37.4,37.4,49.6,46.6,41.6,38.6,38.6,39.6,39.6,43.8,38.8,40.8,41.8,47.8,53.8,51.8,55.8,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-04,303,-14.53,8.3,91.7,Likely R,-10.22,3.04,-14.53,-14.2,-0.33,42.73,57.27,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.44,-0.27,48.6,0.6,24.3,70.3,42.3,44.3,37.3,37.3,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.7,38.7,40.7,41.7,47.7,53.7,51.7,55.7,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-05,302,-14.48,8.4,91.6,Likely R,-10.21,3.08,-14.48,-14.2,-0.27,42.76,57.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.4,-0.27,48.6,0.6,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.7,38.7,40.7,41.7,47.7,53.7,51.7,55.7,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-06,301,-14.48,8.4,91.6,Likely R,-10.21,3.08,-14.48,-14.2,-0.27,42.76,57.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.4,-0.27,48.6,0.6,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.7,38.7,40.7,41.7,47.7,53.7,51.7,55.7,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-07,300,-14.48,8.4,91.6,Likely R,-10.21,3.08,-14.48,-14.2,-0.27,42.76,57.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.4,-0.27,48.6,0.5,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.7,38.7,40.7,41.7,47.7,53.7,51.7,55.7,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-08,299,-14.48,8.3,91.7,Likely R,-10.21,3.08,-14.48,-14.2,-0.27,42.76,57.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.4,-0.27,48.6,0.5,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.7,38.7,40.7,41.7,47.7,53.7,51.7,55.7,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-09,298,-14.46,8.4,91.6,Likely R,-10.2,3.09,-14.46,-14.2,-0.26,42.77,57.23,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.39,-0.27,48.6,0.5,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.8,38.8,40.8,41.8,47.8,53.8,51.8,55.8,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
2026-01-10,297,-14.46,8.4,91.6,Likely R,-10.2,3.09,-14.46,-14.2,-0.26,42.77,57.23,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,22756,856720,0,-10.39,-0.27,48.6,0.5,24.4,70.4,42.4,44.4,37.4,37.4,49.5,46.5,41.5,38.5,38.5,39.5,39.5,43.8,38.8,40.8,41.8,47.8,53.8,51.8,55.8,47.4,46.4,46.4,45.4,44.4,43.4,42.4,41.4,41.4,40.4,40.4,40.4,41.4,41.4,42.4,43.4
