section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,HI-01,house,Democratic candidate (HI-01),Republican candidate (HI-01),36.25,100.0,0.0,Safe D,118666,55521,0,174187.0,68.13,31.87,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,29.26,5.32,False,32.3,26.2,-44.5,,,,,,,,,,,
demographic,,,,,,,,,12709,11929,0,,51.6,48.4,0.0,,,0.0,0,,,,,,,,,,,,,race,White,14.14,24638.0,,,,,,,
demographic,,,,,,,,,4655,115,0,,97.6,2.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,2.74,4770.0,,,,,,,
demographic,,,,,,,,,7042,3078,0,,69.6,30.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,5.81,10120.0,,,,,,,
demographic,,,,,,,,,74685,29650,0,,71.6,28.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,59.9,104335.0,,,,,,,
demographic,,,,,,,,,1851,1015,0,,64.6,35.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.65,2867.0,,,,,,,
demographic,,,,,,,,,17732,9725,0,,64.6,35.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,15.76,27457.0,,,,,,,
demographic,,,,,,,,,22681,7516,0,,75.1,24.9,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,17.34,30197.0,,,,,,,
demographic,,,,,,,,,22967,8883,0,,72.1,27.9,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.28,31850.0,,,,,,,
demographic,,,,,,,,,18460,9047,0,,67.1,32.9,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.79,27507.0,,,,,,,
demographic,,,,,,,,,17706,9912,0,,64.1,35.9,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,15.86,27619.0,,,,,,,
demographic,,,,,,,,,16817,9415,0,,64.1,35.9,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.06,26232.0,,,,,,,
demographic,,,,,,,,,11593,6212,0,,65.1,34.9,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.22,17806.0,,,,,,,
demographic,,,,,,,,,8449,4528,0,,65.1,34.9,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,7.45,12977.0,,,,,,,
demographic,,,,,,,,,9330,4431,0,,67.8,32.2,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,7.9,13761.0,,,,,,,
demographic,,,,,,,,,26061,15436,0,,62.8,37.2,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,23.82,41497.0,,,,,,,
demographic,,,,,,,,,21404,11625,0,,64.8,35.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,18.96,33029.0,,,,,,,
demographic,,,,,,,,,13028,6771,0,,65.8,34.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,11.37,19799.0,,,,,,,
demographic,,,,,,,,,30387,11933,0,,71.8,28.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,24.3,42321.0,,,,,,,
demographic,,,,,,,,,12467,3557,0,,77.8,22.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,9.2,16023.0,,,,,,,
demographic,,,,,,,,,3674,1173,0,,75.8,24.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,2.78,4847.0,,,,,,,
demographic,,,,,,,,,2322,588,0,,79.8,20.2,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.67,2910.0,,,,,,,
demographic,,,,,,,,,5090,1861,0,,73.2,26.8,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,3.99,6950.0,,,,,,,
demographic,,,,,,,,,2997,1152,0,,72.2,27.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,2.38,4149.0,,,,,,,
demographic,,,,,,,,,2485,956,0,,72.2,27.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,1.98,3441.0,,,,,,,
demographic,,,,,,,,,3205,1294,0,,71.2,28.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,2.58,4499.0,,,,,,,
demographic,,,,,,,,,2715,1151,0,,70.2,29.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,2.22,3867.0,,,,,,,
demographic,,,,,,,,,2982,1325,0,,69.2,30.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,2.47,4307.0,,,,,,,
demographic,,,,,,,,,3136,1460,0,,68.2,31.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,2.64,4597.0,,,,,,,
demographic,,,,,,,,,3317,1617,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,2.83,4934.0,,,,,,,
demographic,,,,,,,,,3468,1690,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,2.96,5158.0,,,,,,,
demographic,,,,,,,,,6284,3204,0,,66.2,33.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,5.45,9488.0,,,,,,,
demographic,,,,,,,,,9458,4823,0,,66.2,33.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,8.2,14280.0,,,,,,,
demographic,,,,,,,,,14902,7599,0,,66.2,33.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,12.92,22501.0,,,,,,,
demographic,,,,,,,,,13073,6372,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,11.16,19446.0,,,,,,,
demographic,,,,,,,,,10424,5081,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,8.9,15505.0,,,,,,,
demographic,,,,,,,,,14679,6835,0,,68.2,31.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,12.35,21513.0,,,,,,,
demographic,,,,,,,,,20457,9093,0,,69.2,30.8,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,16.96,29550.0,,,,,,,
county,,,,,36.25,,,,118666,55521,0,174187.0,,,,,,,0,,,,,,,,,,,,,,,,,15003,18.8,2.0,7.7,45.7,0.1,8.5
