date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,31.16,99.9,0.1,Safe D,26.32,3.18,31.16,22.06,9.1,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.89,-0.85,30.2,-36.2,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-02,305,31.16,99.9,0.1,Safe D,26.32,3.18,31.16,22.06,9.1,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.89,-0.85,30.2,-36.2,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-03,304,31.18,99.9,0.1,Safe D,26.32,3.19,31.18,22.06,9.11,65.59,34.41,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.9,-0.85,30.2,-36.2,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-04,303,31.1,99.9,0.1,Safe D,26.3,3.13,31.1,22.06,9.04,65.55,34.45,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.84,-0.85,30.3,-35.9,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-05,302,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.0,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-06,301,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.0,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-07,300,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.1,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-08,299,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.1,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-09,298,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.0,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-10,297,31.15,99.9,0.1,Safe D,26.31,3.17,31.15,22.06,9.09,65.58,34.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.88,-0.85,30.3,-36.0,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-11,296,31.13,99.9,0.1,Safe D,26.31,3.15,31.13,22.06,9.06,65.56,34.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,26.86,-0.85,30.2,-36.2,52.4,98.0,70.4,72.4,65.4,65.4,72.7,69.7,64.7,61.7,61.7,62.7,62.7,66.0,61.0,63.0,64.0,70.0,76.0,74.0,78.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
