date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,29.64,99.8,0.2,Safe D,25.73,3.18,29.64,23.56,6.08,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.98,-0.93,29.5,-37.6,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-02,305,29.64,99.8,0.2,Safe D,25.73,3.18,29.64,23.56,6.08,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.98,-0.93,29.5,-37.6,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-03,304,29.65,99.8,0.2,Safe D,25.73,3.19,29.65,23.56,6.09,64.83,35.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.99,-0.93,29.5,-37.6,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-04,303,29.59,99.8,0.2,Safe D,25.73,3.13,29.59,23.56,6.03,64.8,35.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.93,-0.93,29.6,-37.4,50.0,96.0,68.0,70.0,63.0,63.0,71.8,68.8,63.8,60.8,60.8,61.8,61.8,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-05,302,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.4,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-06,301,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.4,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-07,300,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.6,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-08,299,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.5,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-09,298,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.5,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-10,297,29.63,99.8,0.2,Safe D,25.73,3.17,29.63,23.56,6.07,64.82,35.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,27.97,-0.93,29.6,-37.5,50.0,96.0,68.0,70.0,63.0,63.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,64.9,59.9,61.9,62.9,68.9,74.9,72.9,76.9,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
