date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,0.52,52.0,48.0,Toss-up,-12.1,3.18,0.52,-13.45,13.97,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.34,-1.42,47.6,-1.3,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-02,305,0.52,52.0,48.0,Toss-up,-12.1,3.18,0.52,-13.45,13.97,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.34,-1.42,47.6,-1.3,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-03,304,0.53,52.0,48.0,Toss-up,-12.1,3.19,0.53,-13.45,13.98,50.27,49.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.33,-1.42,47.6,-1.3,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-04,303,0.47,51.8,48.2,Toss-up,-12.1,3.13,0.47,-13.45,13.92,50.24,49.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.39,-1.42,47.8,-1.0,46.5,92.5,64.5,66.5,59.5,59.5,57.2,54.2,49.2,46.2,46.2,47.2,47.2,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.3,54.3,54.3,53.3,52.3,51.3,50.3,49.3,49.3,48.3,48.3,48.3,49.3,49.3,50.3,51.3
2026-01-05,302,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.8,-1.1,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-06,301,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.8,-1.1,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-07,300,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.7,-1.2,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-08,299,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.8,-1.1,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-09,298,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.7,-1.1,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
2026-01-10,297,0.51,52.0,48.0,Toss-up,-12.1,3.17,0.51,-13.45,13.96,50.26,49.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-10.35,-1.42,47.7,-1.1,46.5,92.5,64.5,66.5,59.5,59.5,57.3,54.3,49.3,46.3,46.3,47.3,47.3,50.8,45.8,47.8,48.8,54.8,60.8,58.8,62.8,55.4,54.4,54.4,53.4,52.4,51.4,50.4,49.4,49.4,48.4,48.4,48.4,49.4,49.4,50.4,51.4
