date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-46.88,0.0,100.0,Safe R,-47.23,3.05,-46.88,-46.2,-0.67,26.56,73.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.15,-0.56,61.2,25.8,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-02,305,-46.88,0.0,100.0,Safe R,-47.23,3.05,-46.88,-46.2,-0.67,26.56,73.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.15,-0.56,61.2,25.8,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-03,304,-46.88,0.0,100.0,Safe R,-47.23,3.05,-46.88,-46.2,-0.67,26.56,73.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.15,-0.56,61.2,25.8,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-04,303,-46.95,0.0,100.0,Safe R,-47.24,2.99,-46.95,-46.2,-0.75,26.52,73.48,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.21,-0.56,61.3,26.0,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.7,30.7,30.7,29.7,28.7,27.7,26.7,25.7,25.7,24.7,24.7,24.7,25.7,25.7,26.7,27.7
2026-01-05,302,-46.91,0.0,100.0,Safe R,-47.24,3.02,-46.91,-46.2,-0.71,26.54,73.46,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.18,-0.56,61.3,26.0,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-06,301,-46.91,0.0,100.0,Safe R,-47.24,3.02,-46.91,-46.2,-0.71,26.54,73.46,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.18,-0.56,61.3,26.0,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-07,300,-46.9,0.0,100.0,Safe R,-47.23,3.03,-46.9,-46.2,-0.7,26.55,73.45,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.17,-0.56,61.3,25.9,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-08,299,-46.9,0.0,100.0,Safe R,-47.23,3.03,-46.9,-46.2,-0.7,26.55,73.45,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.17,-0.56,61.3,25.9,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-09,298,-46.9,0.0,100.0,Safe R,-47.23,3.03,-46.9,-46.2,-0.7,26.55,73.45,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.17,-0.56,61.3,25.9,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
2026-01-10,297,-46.89,0.0,100.0,Safe R,-47.23,3.04,-46.89,-46.2,-0.69,26.56,73.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,181024,662615,0,-42.16,-0.56,61.3,25.9,23.4,69.4,41.4,43.4,36.4,36.4,33.7,30.7,25.7,22.7,22.7,23.7,23.7,27.2,22.2,24.2,25.2,31.2,37.2,35.2,39.2,31.8,30.8,30.8,29.8,28.8,27.8,26.8,25.8,25.8,24.8,24.8,24.8,25.8,25.8,26.8,27.8
