date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-45.46,0.0,100.0,Safe R,-36.28,3.18,-45.46,-37.52,-7.94,27.27,72.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.78,0.31,57.5,18.4,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-02,305,-45.46,0.0,100.0,Safe R,-36.28,3.18,-45.46,-37.52,-7.94,27.27,72.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.78,0.31,57.5,18.4,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-03,304,-45.45,0.0,100.0,Safe R,-36.28,3.19,-45.45,-37.52,-7.93,27.27,72.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.77,0.31,57.5,18.4,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-04,303,-45.51,0.0,100.0,Safe R,-36.28,3.13,-45.51,-37.52,-7.99,27.24,72.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.83,0.31,57.6,18.7,23.8,69.8,41.8,43.8,36.8,36.8,34.1,31.1,26.1,23.1,23.1,24.1,24.1,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-05,302,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.6,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-06,301,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.6,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-07,300,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.5,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-08,299,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.5,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-09,298,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.5,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
2026-01-10,297,-45.47,0.0,100.0,Safe R,-36.28,3.17,-45.47,-37.52,-7.95,27.26,72.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.31,57.6,18.5,23.8,69.8,41.8,43.8,36.8,36.8,34.2,31.2,26.2,23.2,23.2,24.2,24.2,27.7,22.7,24.7,25.7,31.7,37.7,35.7,39.7,32.4,31.4,31.4,30.4,29.4,28.4,27.4,26.4,26.4,25.4,25.4,25.4,26.4,26.4,27.4,28.4
