date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,43.25,100.0,0.0,Safe D,37.96,3.11,43.25,32.27,10.99,71.63,28.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.73,0.13,27.7,-41.1,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-02,305,43.25,100.0,0.0,Safe D,37.96,3.11,43.25,32.27,10.99,71.63,28.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.73,0.13,27.7,-41.1,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-03,304,43.25,100.0,0.0,Safe D,37.96,3.11,43.25,32.27,10.99,71.63,28.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.73,0.13,27.7,-41.1,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-04,303,43.15,100.0,0.0,Safe D,37.93,3.04,43.15,32.27,10.89,71.58,28.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.66,0.13,27.8,-40.9,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.7,66.7,68.7,69.7,75.7,81.7,79.7,83.7,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-05,302,43.21,100.0,0.0,Safe D,37.94,3.08,43.21,32.27,10.94,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.7,0.13,27.8,-40.9,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-06,301,43.21,100.0,0.0,Safe D,37.94,3.08,43.21,32.27,10.94,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.7,0.13,27.8,-40.9,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-07,300,43.21,100.0,0.0,Safe D,37.94,3.08,43.21,32.27,10.94,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.7,0.13,27.8,-41.0,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-08,299,43.21,100.0,0.0,Safe D,37.94,3.08,43.21,32.27,10.94,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.7,0.13,27.8,-41.0,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-09,298,43.22,100.0,0.0,Safe D,37.95,3.09,43.22,32.27,10.96,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.71,0.13,27.8,-41.0,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-10,297,43.22,100.0,0.0,Safe D,37.95,3.09,43.22,32.27,10.96,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.71,0.13,27.8,-41.0,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-11,296,43.17,100.0,0.0,Safe D,37.93,3.05,43.17,32.27,10.9,71.58,28.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.67,0.13,27.7,-41.2,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.7,66.7,68.7,69.7,75.7,81.7,79.7,83.7,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-12,295,43.24,100.0,0.0,Safe D,37.95,3.1,43.24,32.27,10.97,71.62,28.38,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.72,0.13,27.7,-41.3,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-13,294,43.22,100.0,0.0,Safe D,37.95,3.09,43.22,32.27,10.96,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.71,0.13,27.6,-41.5,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-14,293,43.22,100.0,0.0,Safe D,37.95,3.09,43.22,32.27,10.96,71.61,28.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.71,0.13,27.6,-41.4,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-15,292,43.25,100.0,0.0,Safe D,37.96,3.11,43.25,32.27,10.99,71.63,28.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,352025,32135,0,38.73,0.13,27.6,-41.4,45.8,91.8,63.8,65.8,58.8,58.8,78.7,75.7,70.7,67.7,67.7,68.7,68.7,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
