date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,45.89,100.0,0.0,Safe D,37.23,3.18,45.89,31.81,14.08,72.95,27.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.58,2.55,25.0,-46.7,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-02,305,45.89,100.0,0.0,Safe D,37.23,3.18,45.89,31.81,14.08,72.95,27.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.58,2.55,25.0,-46.7,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-03,304,45.91,100.0,0.0,Safe D,37.23,3.19,45.91,31.81,14.1,72.95,27.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.59,2.55,25.0,-46.7,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-04,303,45.82,100.0,0.0,Safe D,37.21,3.13,45.82,31.81,14.01,72.91,27.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.53,2.55,25.1,-46.4,60.7,98.0,78.7,80.7,73.7,73.7,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.6,67.6,69.6,70.6,76.6,82.6,80.6,84.6,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-05,302,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.4,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-06,301,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.4,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-07,300,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.6,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-08,299,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.5,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-09,298,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.5,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
2026-01-10,297,45.88,100.0,0.0,Safe D,37.23,3.17,45.88,31.81,14.07,72.94,27.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.57,2.55,25.1,-46.5,60.8,98.0,78.8,80.8,73.8,73.8,79.4,76.4,71.4,68.4,68.4,69.4,69.4,72.7,67.7,69.7,70.7,76.7,82.7,80.7,84.7,78.0,77.0,77.0,76.0,75.0,74.0,73.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,73.0,74.0
