date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,18.1,95.8,4.2,Safe D,13.25,3.18,18.1,10.63,7.47,59.05,40.95,0.0,False,False,,,,0.0,0.0,0.0,14.2,38.0,-20.6,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-02,305,18.1,95.8,4.2,Safe D,13.25,3.18,18.1,10.63,7.47,59.05,40.95,0.0,False,False,,,,0.0,0.0,0.0,14.2,38.0,-20.6,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-03,304,18.11,95.8,4.2,Safe D,13.25,3.19,18.11,10.63,7.48,59.05,40.95,0.0,False,False,,,,0.0,0.0,0.0,14.21,38.0,-20.6,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-04,303,18.02,95.7,4.3,Safe D,13.23,3.13,18.02,10.63,7.4,59.01,40.99,0.0,False,False,,,,0.0,0.0,0.0,14.15,38.1,-20.4,47.5,93.5,65.5,67.5,60.5,60.5,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-05,302,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.4,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-06,301,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.4,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-07,300,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.5,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-08,299,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.5,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-09,298,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.5,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
2026-01-10,297,18.08,95.8,4.2,Safe D,13.25,3.17,18.08,10.63,7.46,59.04,40.96,0.0,False,False,,,,0.0,0.0,0.0,14.19,38.1,-20.5,47.6,93.6,65.6,67.6,60.6,60.6,65.7,62.7,57.7,54.7,54.7,55.7,55.7,59.3,54.3,56.3,57.3,63.3,69.3,67.3,71.3,63.8,62.8,62.8,61.8,60.8,59.8,58.8,57.8,57.8,56.8,56.8,56.8,57.8,57.8,58.8,59.8
