date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,16.65,94.4,5.6,Likely D,12.91,3.11,16.0,11.14,5.51,58.32,41.68,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,16.02,0.0,36.2,-24.1,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-02,305,16.65,94.4,5.6,Likely D,12.91,3.11,16.0,11.14,5.51,58.32,41.68,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,16.02,0.0,36.2,-24.1,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-03,304,16.65,94.4,5.6,Likely D,12.91,3.11,16.0,11.14,5.51,58.32,41.68,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,16.02,0.0,36.2,-24.1,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-04,303,16.59,94.3,5.7,Likely D,12.91,3.04,15.93,11.14,5.45,58.29,41.71,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,15.95,0.0,36.3,-23.9,47.1,93.1,65.1,67.1,60.1,60.1,65.2,62.2,57.2,54.2,54.2,55.2,55.2,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.2,62.2,62.2,61.2,60.2,59.2,58.2,57.2,57.2,56.2,56.2,56.2,57.2,57.2,58.2,59.2
2026-01-05,302,16.62,94.4,5.6,Likely D,12.91,3.08,15.97,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,15.99,0.0,36.3,-23.9,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-06,301,16.62,94.4,5.6,Likely D,12.91,3.08,15.97,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,15.99,0.0,36.3,-23.9,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-07,300,16.62,94.4,5.6,Likely D,12.91,3.08,15.97,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,15.99,0.0,36.3,-24.0,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-08,299,16.62,94.4,5.6,Likely D,12.91,3.08,15.97,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,15.99,0.0,36.3,-24.0,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-09,298,16.63,94.4,5.6,Likely D,12.91,3.09,15.98,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,16.0,0.0,36.3,-24.0,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
2026-01-10,297,16.63,94.4,5.6,Likely D,12.91,3.09,15.98,11.14,5.49,58.31,41.69,0.0,False,False,,,,0.0,0.0,0.0,54.3,34.0,1,20.3,0.15,0,0,0,16.0,0.0,36.3,-24.0,47.1,93.1,65.1,67.1,60.1,60.1,65.3,62.3,57.3,54.3,54.3,55.3,55.3,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.3,62.3,62.3,61.3,60.3,59.3,58.3,57.3,57.3,56.3,56.3,56.3,57.3,57.3,58.3,59.3
