date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,7.69,76.9,23.1,Likely D,2.84,3.18,7.69,0.4,7.29,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.02,40.9,-14.8,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-02,305,7.69,76.9,23.1,Likely D,2.84,3.18,7.69,0.4,7.29,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.02,40.9,-14.8,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-03,304,7.7,76.9,23.1,Likely D,2.84,3.19,7.7,0.4,7.3,53.85,46.15,0.0,False,False,,,,0.0,0.0,0.0,6.03,40.9,-14.8,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-04,303,7.64,76.7,23.3,Likely D,2.84,3.13,7.64,0.4,7.24,53.82,46.18,0.0,False,False,,,,0.0,0.0,0.0,5.97,41.0,-14.6,41.9,87.9,59.9,61.9,54.9,54.9,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-05,302,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.6,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-06,301,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.6,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-07,300,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.8,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-08,299,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.7,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-09,298,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.7,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
2026-01-10,297,7.68,76.8,23.2,Likely D,2.84,3.17,7.68,0.4,7.28,53.84,46.16,0.0,False,False,,,,0.0,0.0,0.0,6.01,41.0,-14.7,42.0,88.0,60.0,62.0,55.0,55.0,61.0,58.0,53.0,50.0,50.0,51.0,51.0,54.9,49.9,51.9,52.9,58.9,64.9,62.9,66.9,58.8,57.8,57.8,56.8,55.8,54.8,53.8,52.8,52.8,51.8,51.8,51.8,52.8,52.8,53.8,54.8
