date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-30.82,0.2,99.8,Safe R,-29.6,3.18,-30.82,-30.39,-0.44,34.59,65.41,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.14,-1.71,55.2,13.9,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-02,305,-30.82,0.2,99.8,Safe R,-29.6,3.18,-30.82,-30.39,-0.44,34.59,65.41,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.14,-1.71,55.2,13.9,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-03,304,-30.81,0.2,99.8,Safe R,-29.6,3.19,-30.81,-30.39,-0.43,34.59,65.41,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.13,-1.71,55.2,13.9,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-04,303,-30.87,0.2,99.8,Safe R,-29.6,3.13,-30.87,-30.39,-0.49,34.56,65.44,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.19,-1.71,55.4,14.2,31.6,77.6,49.6,51.6,44.6,44.6,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-05,302,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.3,14.1,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-06,301,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.3,14.1,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-07,300,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.3,14.0,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-08,299,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.4,14.0,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-09,298,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.3,14.1,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
2026-01-10,297,-30.83,0.2,99.8,Safe R,-29.6,3.17,-30.83,-30.39,-0.45,34.58,65.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-28.15,-1.71,55.3,14.1,31.7,77.7,49.7,51.7,44.7,44.7,41.6,38.6,33.6,30.6,30.6,31.6,31.6,35.5,30.5,32.5,33.5,39.5,45.5,43.5,47.5,39.6,38.6,38.6,37.6,36.6,35.6,34.6,33.6,33.6,32.6,32.6,32.6,33.6,33.6,34.6,35.6
