section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,KS-02,house,Democratic candidate (KS-02),Republican candidate (KS-02),-13.78,9.2,90.8,Likely R,92917,122615,0,215532.0,43.11,56.89,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-17.43,5.32,False,-13.89,47.8,-1.2,,,,,,,,,,,
demographic,,,,,,,,,56097,101157,0,,35.7,64.3,0.0,,,0.0,0,,,,,,,,,,,,,race,White,72.96,157253.0,,,,,,,
demographic,,,,,,,,,17268,3875,0,,81.7,18.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,9.81,21143.0,,,,,,,
demographic,,,,,,,,,12252,10575,0,,53.7,46.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,10.59,22827.0,,,,,,,
demographic,,,,,,,,,2663,2120,0,,55.7,44.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,2.22,4783.0,,,,,,,
demographic,,,,,,,,,4321,4556,0,,48.7,51.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,4.12,8877.0,,,,,,,
demographic,,,,,,,,,316,333,0,,48.7,51.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.3,649.0,,,,,,,
demographic,,,,,,,,,19740,19672,0,,50.1,49.9,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,18.29,39412.0,,,,,,,
demographic,,,,,,,,,17785,19986,0,,47.1,52.9,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,17.52,37772.0,,,,,,,
demographic,,,,,,,,,13771,18950,0,,42.1,57.9,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.18,32721.0,,,,,,,
demographic,,,,,,,,,13889,21646,0,,39.1,60.9,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.49,35536.0,,,,,,,
