date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,8.02,77.8,22.2,Likely D,4.28,3.18,8.02,4.17,3.84,54.01,45.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.92,-1.11,40.6,-15.4,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-02,305,8.02,77.8,22.2,Likely D,4.28,3.18,8.02,4.17,3.84,54.01,45.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.92,-1.11,40.6,-15.4,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-03,304,8.03,77.8,22.2,Likely D,4.29,3.19,8.03,4.17,3.86,54.02,45.98,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.93,-1.11,40.6,-15.4,48.6,94.6,66.6,68.6,61.6,61.6,61.0,58.0,53.0,50.0,50.0,51.0,51.0,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-04,303,7.95,77.6,22.4,Likely D,4.26,3.13,7.95,4.17,3.77,53.97,46.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.87,-1.11,40.7,-15.2,48.5,94.5,66.5,68.5,61.5,61.5,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.3,47.3,49.3,50.3,56.3,62.3,60.3,64.3,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-05,302,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.2,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-06,301,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.2,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-07,300,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.4,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-08,299,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.3,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-09,298,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.3,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-10,297,8.0,77.8,22.2,Likely D,4.28,3.17,8.0,4.17,3.83,54.0,46.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.91,-1.11,40.7,-15.3,48.6,94.6,66.6,68.6,61.6,61.6,60.9,57.9,52.9,49.9,49.9,50.9,50.9,52.4,47.4,49.4,50.4,56.4,62.4,60.4,64.4,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
