date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-17.12,5.1,94.9,Likely R,-15.56,3.11,-17.12,-16.41,-0.71,41.44,58.56,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.59,-0.43,49.0,1.4,35.3,81.3,53.3,55.3,48.3,48.3,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-02,305,-17.12,5.1,94.9,Likely R,-15.56,3.11,-17.12,-16.41,-0.71,41.44,58.56,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.59,-0.43,49.0,1.4,35.3,81.3,53.3,55.3,48.3,48.3,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-03,304,-17.12,5.1,94.9,Likely R,-15.56,3.11,-17.12,-16.41,-0.71,41.44,58.56,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.59,-0.43,49.0,1.4,35.3,81.3,53.3,55.3,48.3,48.3,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-04,303,-17.21,5.0,95.0,Likely R,-15.57,3.04,-17.21,-16.41,-0.8,41.39,58.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.66,-0.43,49.1,1.7,35.2,81.2,53.2,55.2,48.2,48.2,48.2,45.2,40.2,37.2,37.2,38.2,38.2,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.4,45.4,45.4,44.4,43.4,42.4,41.4,40.4,40.4,39.4,39.4,39.4,40.4,40.4,41.4,42.4
2026-01-05,302,-17.16,5.1,94.9,Likely R,-15.56,3.08,-17.16,-16.41,-0.75,41.42,58.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.62,-0.43,49.1,1.6,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-06,301,-17.16,5.1,94.9,Likely R,-15.56,3.08,-17.16,-16.41,-0.75,41.42,58.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.62,-0.43,49.1,1.6,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-07,300,-17.16,5.1,94.9,Likely R,-15.56,3.08,-17.16,-16.41,-0.75,41.42,58.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.62,-0.43,49.1,1.5,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-08,299,-17.16,5.1,94.9,Likely R,-15.56,3.08,-17.16,-16.41,-0.75,41.42,58.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.62,-0.43,49.1,1.5,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-09,298,-17.15,5.1,94.9,Likely R,-15.56,3.09,-17.15,-16.41,-0.74,41.43,58.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.61,-0.43,49.1,1.5,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-10,297,-17.15,5.1,94.9,Likely R,-15.56,3.09,-17.15,-16.41,-0.74,41.43,58.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.61,-0.43,49.1,1.5,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-11,296,-17.2,5.0,95.0,Likely R,-15.57,3.05,-17.2,-16.41,-0.79,41.4,58.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.65,-0.43,49.0,1.3,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-12,295,-17.14,5.1,94.9,Likely R,-15.56,3.1,-17.14,-16.41,-0.73,41.43,58.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.6,-0.43,48.9,1.2,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-13,294,-17.15,5.1,94.9,Likely R,-15.56,3.09,-17.15,-16.41,-0.74,41.43,58.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.61,-0.43,48.9,1.0,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
2026-01-14,293,-17.15,5.1,94.9,Likely R,-15.56,3.09,-17.15,-16.41,-0.74,41.43,58.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,3331963,0,-13.61,-0.43,48.9,1.1,35.2,81.2,53.2,55.2,48.2,48.2,48.3,45.3,40.3,37.3,37.3,38.3,38.3,41.4,36.4,38.4,39.4,45.4,51.4,49.4,53.4,46.5,45.5,45.5,44.5,43.5,42.5,41.5,40.5,40.5,39.5,39.5,39.5,40.5,40.5,41.5,42.5
