date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,30.38,99.8,0.2,Safe D,19.74,3.11,30.38,19.27,11.11,65.19,34.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.64,-0.38,34.1,-28.4,52.8,98.0,70.8,72.8,65.8,65.8,72.1,69.1,64.1,61.1,61.1,62.1,62.1,65.1,60.1,62.1,63.1,69.1,75.1,73.1,77.1,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-02,305,30.38,99.8,0.2,Safe D,19.74,3.11,30.38,19.27,11.11,65.19,34.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.64,-0.38,34.1,-28.4,52.8,98.0,70.8,72.8,65.8,65.8,72.1,69.1,64.1,61.1,61.1,62.1,62.1,65.1,60.1,62.1,63.1,69.1,75.1,73.1,77.1,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-03,304,30.38,99.8,0.2,Safe D,19.74,3.11,30.38,19.27,11.11,65.19,34.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.64,-0.38,34.1,-28.4,52.8,98.0,70.8,72.8,65.8,65.8,72.1,69.1,64.1,61.1,61.1,62.1,62.1,65.1,60.1,62.1,63.1,69.1,75.1,73.1,77.1,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-04,303,30.29,99.8,0.2,Safe D,19.73,3.04,30.29,19.27,11.03,65.15,34.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.57,-0.38,34.2,-28.2,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.0,60.0,62.0,63.0,69.0,75.0,73.0,77.0,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-05,302,30.34,99.8,0.2,Safe D,19.74,3.08,30.34,19.27,11.08,65.17,34.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.61,-0.38,34.2,-28.2,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.0,60.0,62.0,63.0,69.0,75.0,73.0,77.0,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-06,301,30.34,99.8,0.2,Safe D,19.74,3.08,30.34,19.27,11.08,65.17,34.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.61,-0.38,34.2,-28.2,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.0,60.0,62.0,63.0,69.0,75.0,73.0,77.0,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-07,300,30.34,99.8,0.2,Safe D,19.74,3.08,30.34,19.27,11.08,65.17,34.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.61,-0.38,34.2,-28.3,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.0,60.0,62.0,63.0,69.0,75.0,73.0,77.0,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-08,299,30.34,99.8,0.2,Safe D,19.74,3.08,30.34,19.27,11.08,65.17,34.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.61,-0.38,34.2,-28.3,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.0,60.0,62.0,63.0,69.0,75.0,73.0,77.0,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-09,298,30.36,99.8,0.2,Safe D,19.74,3.09,30.36,19.27,11.09,65.18,34.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.62,-0.38,34.2,-28.3,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.1,60.1,62.1,63.1,69.1,75.1,73.1,77.1,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
2026-01-10,297,30.36,99.8,0.2,Safe D,19.74,3.09,30.36,19.27,11.09,65.18,34.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1448999,25659,0,22.62,-0.38,34.2,-28.3,52.8,98.0,70.8,72.8,65.8,65.8,72.0,69.0,64.0,61.0,61.0,62.0,62.0,65.1,60.1,62.1,63.1,69.1,75.1,73.1,77.1,70.1,69.1,69.1,68.1,67.1,66.1,65.1,64.1,64.1,63.1,63.1,63.1,64.1,64.1,65.1,66.1
