date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-33.42,0.1,99.9,Safe R,-34.93,3.18,-33.42,-36.16,2.74,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.5,0.9,57.8,19.1,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-02,305,-33.42,0.1,99.9,Safe R,-34.93,3.18,-33.42,-36.16,2.74,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.5,0.9,57.8,19.1,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-03,304,-33.4,0.1,99.9,Safe R,-34.93,3.19,-33.4,-36.16,2.76,33.3,66.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.49,0.9,57.8,19.1,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-04,303,-33.48,0.1,99.9,Safe R,-34.94,3.13,-33.48,-36.16,2.68,33.26,66.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.55,0.9,57.9,19.3,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-05,302,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.3,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-06,301,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.3,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-07,300,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.1,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-08,299,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.2,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-09,298,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.2,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-10,297,-33.43,0.1,99.9,Safe R,-34.93,3.17,-33.43,-36.16,2.73,33.29,66.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.51,0.9,57.9,19.2,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-11,296,-33.45,0.1,99.9,Safe R,-34.94,3.15,-33.45,-36.16,2.71,33.27,66.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.53,0.9,57.8,19.0,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
2026-01-12,295,-33.4,0.1,99.9,Safe R,-34.93,3.19,-33.4,-36.16,2.76,33.3,66.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-31.49,0.9,57.8,18.9,30.2,76.2,48.2,50.2,43.2,43.2,40.4,37.4,32.4,29.4,29.4,30.4,30.4,33.7,28.7,30.7,31.7,37.7,43.7,41.7,45.7,38.3,37.3,37.3,36.3,35.3,34.3,33.3,32.3,32.3,31.3,31.3,31.3,32.3,32.3,33.3,34.3
